Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,time , HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
480,45,46,34,43,3645.6,3645.6,9656,9372,485,3.24E+05,5.21E+07,36569223,18503509,2.47E+06,6.59E+04,80077,0.3244143,52.05871,36.569223,1.85E+02,2.47E+01,6.59E-01,8.01E-01,2029,1145,162.32,121.74,64.119,0,0,0,0,0,0
485,45,46,34,43,3645.6,3645.6,9656,9656,490,301077,5.06E+07,3.57E+07,18503509,2.88E+06,6.13E+04,7.14E+04,0.301077,50.57497,35.73563,1.85E+02,2.88E+01,6.13E-01,7.14E-01,2082,1146,166.56,124.92,64.119,0,0,0,0,0,0
490,45,47,34,43,3645.6,3645.6,9656,9656,495,792810,4.64E+07,60464511,2.62E+07,2.88E+06,2.04E+05,7.14E+04,0.79281,46.4186,60.464511,2.62E+02,2.88E+01,2.04E+00,7.14E-01,2028,1144,162.24,121.68,64.119,0,0,0,0,0,0
495,45,46,34,43,3645.6,3645.6,9372,9656,500,8.51E+05,61766370,87615373,2.82E+07,2.88E+06,221876,7.14E+04,0.8506555,61.76637,87.615373,2.82E+02,2.88E+01,2.22E+00,7.14E-01,2037,1145,162.96,122.22,64.119,0,0,0,0,0,0
500,45,46,34,43,3645.6,3567.2,9372,9656,505,7.91E+05,5.97E+07,84354243,29809987,2.88E+06,201187,7.14E+04,0.7913035,59.72581,84.354243,2.98E+02,2.88E+01,2.01E+00,7.14E-01,2032,1145,162.56,121.92,64.119,0,11.8,0,77.6,0,77600
505,45,47,34,43,3567.2,3645.6,9656,9656,510,775933,5.96E+07,79858741,3.15E+07,2.88E+06,220123,7.14E+04,0.775933,59.5748,79.858741,3.15E+02,2.88E+01,2.20E+00,7.14E-01,2018,1145,161.44,121.08,64.119,0,0,0,0,0,0
510,45,46,34,43,3645.6,3645.6,9656,9656,515,784422,58554917,82711566,37654634,2.88E+06,2.22E+05,7.14E+04,0.784422,58.554917,82.711566,3.77E+02,2.88E+01,2.22E+00,7.14E-01,2023,1146,161.84,121.38,64.119,0,0,0,0,0,0
515,45,46,34,43,3645.6,3645.6,9656,9372,520,7.97E+05,5.91E+07,8.37E+07,3.69E+07,2.88E+06,2.22E+05,235595,0.7969835,59.05557,83.65942,3.69E+02,2.88E+01,2.22E+00,2.36E+00,2015,1145,161.2,120.9,64.119,0,0,0,0,0,0
520,45,47,34,43,3645.6,3645.6,9372,9656,525,7.83E+05,59229397,79471556,4.02E+07,2.88E+06,2.15E+05,235595,0.7831745,59.229397,79.471556,4.02E+02,2.88E+01,2.15E+00,2.36E+00,2014,1145,161.12,120.84,64.119,0,0,0,0,0,0
525,45,46,34,43,3645.6,3645.6,9656,9656,530,8.47E+05,75767580,108025823,3.76E+07,2.88E+06,225418,235595,0.8469265,75.76758,108.025823,3.76E+02,2.88E+01,2.25E+00,2.36E+00,2018,1144,161.44,121.08,64.119,0,0,0,0,0,0
530,45,46,34,43,3645.6,3645.6,9656,9372,535,3.58E+05,95579718,1.41E+08,18992689,7.36E+05,1.01E+04,7.33E+03,0.3580982,95.579718,141.1333,1.90E+02,7.36E+00,1.01E-01,7.33E-02,2029,1145,162.32,121.74,64.119,0,10.2,0,79.1,0,79100
535,45,47,34,43,3645.6,3645.6,9656,9656,540,5.88E+05,104208612,1.48E+08,38967411,7.36E+05,2.14E+05,7.33E+03,0.5880075,104.208612,147.9475,3.90E+02,7.36E+00,2.14E+00,7.33E-02,2236,1143,178.88,134.16,64.119,0,0,0,0,0,0
540,45,46,34,43,3645.6,3645.6,9656,9372,545,7.85E+05,1.04E+08,150771357,3.24E+07,7.36E+05,2.14E+05,217684,0.7852935,103.9003,150.771357,3.24E+02,7.36E+00,2.14E+00,2.18E+00,2051,1144,164.08,123.06,64.119,0,0,0,0,0,0
545,45,46,34,43,3645.6,3645.6,9656,9656,550,1033512,69823331,2.02E+08,2.40E+07,2683781,2.14E+05,1.48E+05,1.033512,69.823331,201.7869,2.40E+02,2.68E+01,2.14E+00,1.48E+00,2050,1143,164,123,64.119,0,0,0,0,0,0
550,44,46,34,43,3645.6,3645.6,9656,9656,555,8.08E+05,105891937,149569886,3.66E+07,2683781,207609,1.48E+05,0.8078875,105.891937,149.569886,3.66E+02,2.68E+01,2.08E+00,1.48E+00,2046,1144,163.68,122.76,64.119,0,0,0,0,0,0
555,45,46,34,43,3645.6,3645.6,9372,9656,560,8.52E+05,1.03E+08,149940219,3.57E+07,2683781,253621,1.48E+05,0.8521455,103.1372,149.940219,3.57E+02,2.68E+01,2.54E+00,1.48E+00,2047,1145,163.76,122.82,64.119,0,0,0,0,0,0
560,44,47,34,43,3645.6,3645.6,9656,9656,565,7.86E+05,104475147,150055004,39268358,2683781,253621,1.96E+05,0.7858685,104.475147,150.055004,3.93E+02,2.68E+01,2.54E+00,1.96E+00,2048,1145,163.84,122.88,64.119,0,12.2,0,78.7,0,78700
565,44,46,34,43,3645.6,3645.6,9656,9372,570,7.95E+05,1.06E+08,1.51E+08,3.74E+07,2683781,253621,2.52E+05,0.7947695,106.41,150.9745,3.74E+02,2.68E+01,2.54E+00,2.52E+00,2041,1143,163.28,122.46,64.119,0,0,0,0,0,0
570,45,46,34,43,3645.6,3645.6,9372,9656,575,7.98E+05,101569055,147736143,35440397,2683781,222384,2.52E+05,0.7978885,101.569055,147.736143,3.54E+02,2.68E+01,2.22E+00,2.52E+00,2036,1143,162.88,122.16,64.119,0,0,0,0,0,0
575,45,46,34,43,3567.2,3645.6,9656,9656,580,1032544,6.69E+07,196044419,2.10E+07,5616263,8.10E+04,2.52E+05,1.032544,66.89549,196.044419,2.10E+02,5.62E+01,8.10E-01,2.52E+00,2040,1143,163.2,122.4,64.119,0,0,0,0,0,0
580,44,46,34,43,3645.6,3645.6,9372,9656,585,153074,1.22E+08,1.69E+08,3.35E+07,5616263,8.10E+04,9.03E+04,0.153074,121.515,169.4479,3.35E+02,5.62E+01,8.10E-01,9.03E-01,2052,1144,164.16,123.12,64.119,0,0,0,0,0,0
585,45,46,34,43,3645.6,3645.6,9372,9372,590,842460,102577408,148985630,3.10E+07,5616263,2.35E+05,9.03E+04,0.84246,102.577408,148.98563,3.10E+02,5.62E+01,2.35E+00,9.03E-01,2081,1145,166.48,124.86,64.119,0,0,0,0,0,0
590,45,46,34,43,3645.6,3645.6,9656,9656,595,7.92E+05,104644618,151353120,39650992,5616263,2.58E+05,9.03E+04,0.7917085,104.644618,151.35312,3.97E+02,5.62E+01,2.58E+00,9.03E-01,2042,1145,163.36,122.52,64.119,0,11,0,77.8,0,77800
595,44,47,34,43,3645.6,3567.2,9656,9656,600,782536,106454090,150046057,36883945,5616263,219342,9.03E+04,0.782536,106.45409,150.046057,3.69E+02,5.62E+01,2.19E+00,9.03E-01,2042,1143,163.36,122.52,64.119,0,0,0,0,0,0
600,44,47,34,43,3645.6,3645.6,9656,9656,605,788946,102358220,1.49E+08,3.65E+07,5616263,236694,9.03E+04,0.788946,102.35822,149.0569,3.65E+02,5.62E+01,2.37E+00,9.03E-01,2040,1144,163.2,122.4,64.119,0,0,0,0,0,0
605,43,49,34,43,3645.6,3645.6,9372,9656,610,7.85E+05,103690567,1.50E+08,37587113,5616263,236694,2.19E+05,0.7851075,103.690567,149.8729,3.76E+02,5.62E+01,2.37E+00,2.19E+00,2044,1145,163.52,122.64,64.119,0,0,0,0,0,0
610,43,49,34,43,3645.6,3645.6,9656,9656,615,7.88E+05,1.06E+08,150207115,3.90E+07,5616263,236694,240170,0.7881045,106.4401,150.207115,3.90E+02,5.62E+01,2.37E+00,2.40E+00,2040,1145,163.2,122.4,64.119,0,0,0,0,0,0
615,43,49,34,43,3645.6,3567.2,9656,9656,620,866022,1.02E+08,1.49E+08,3.39E+07,5616263,245582,240170,0.866022,102.4308,149.3064,3.39E+02,5.62E+01,2.46E+00,2.40E+00,2043,1144,163.44,122.58,64.119,0,0,0,0,0,0
620,43,49,34,43,3645.6,3645.6,9656,9656,625,7.80E+05,104260716,1.49E+08,3.39E+07,7.33E+06,245582,1.87E+05,0.7799285,104.260716,149.34,3.39E+02,7.33E+01,2.46E+00,1.87E+00,2050,1145,164,123,64.119,0,14.8,0,90.1,0,90100
625,43,49,34,44,3645.6,3645.6,9372,9656,630,6.28E+05,6.82E+07,1.96E+08,2.43E+07,2223162,245582,9.06E+04,0.6284707,68.22495,195.5097,2.43E+02,2.22E+01,2.46E+00,9.06E-01,2041,1143,163.28,122.46,64.119,0,0,0,0,0,0
630,43,50,34,44,3645.6,3645.6,9372,9656,635,470375,9.80E+07,1.44E+08,37667639,2223162,245582,128262,0.470375,98.02188,144.2671,3.77E+02,2.22E+01,2.46E+00,1.28E+00,2102,1143,168.16,126.12,64.119,0,0,0,0,0,0
635,43,50,34,44,3645.6,3645.6,9372,9656,640,7.94E+05,1.02E+08,1.49E+08,38971382,2223162,232484,128262,0.7937045,102.4626,149.2184,3.90E+02,2.22E+01,2.32E+00,1.28E+00,2050,1144,164,123,64.119,0,0,0,0,0,0
640,42,50,34,44,3645.6,3645.6,9656,9656,645,786033,108997897,153465776,39217844,2223162,232484,2.30E+05,0.786033,108.997897,153.465776,3.92E+02,2.22E+01,2.32E+00,2.30E+00,2048,1143,163.84,122.88,64.119,0,0,0,0,0,0
645,42,50,34,44,3645.6,3567.2,9656,9656,650,8.46E+05,1.08E+08,1.56E+08,39021534,2223162,232832,2.30E+05,0.8458745,107.7515,156.1095,3.90E+02,2.22E+01,2.33E+00,2.30E+00,2052,1144,164.16,123.12,64.119,0,0,0,0,0,0
650,42,50,34,44,3645.6,3645.6,9656,9656,655,7.95E+05,1.04E+08,149576821,3.72E+07,2223162,221410,2.30E+05,0.7950885,103.9933,149.576821,3.72E+02,2.22E+01,2.21E+00,2.30E+00,2052,1143,164.16,123.12,64.119,0,12.6,0,80.2,0,80200
655,42,51,34,44,3645.6,3645.6,9656,9656,660,786845,105117392,149668511,34131914,2223162,221410,2.43E+05,0.786845,105.117392,149.668511,3.41E+02,2.22E+01,2.21E+00,2.43E+00,2051,1144,164.08,123.06,64.119,0,0,0,0,0,0
660,42,50,34,45,3645.6,3645.6,9372,9372,665,7.75E+05,1.04E+08,149590516,35422082,2223162,189158,2.43E+05,0.7752315,103.6404,149.590516,3.54E+02,2.22E+01,1.89E+00,2.43E+00,2049,1145,163.92,122.94,64.119,0,0,0,0,0,0
665,42,51,34,45,3645.6,3645.6,9656,9656,670,5.28E+05,1.31E+08,83465975,35422082,1.93E+06,3390831,8.56E+05,0.5279743,130.5989,83.465975,3.54E+02,1.93E+01,3.39E+01,8.56E+00,2054,1144,164.32,123.24,64.119,0,0,0,0,0,0
670,42,50,34,45,3645.6,3645.6,9372,9656,675,523203,39193205,1.38E+07,2.07E+05,1.93E+06,2201455,14223374,0.523203,39.193205,13.81405,2.07E+00,1.93E+01,2.20E+01,1.42E+02,2025,1145,162,121.5,64.119,0.2,0,12.8,0,12800,0
675,42,51,34,45,3645.6,3645.6,9656,9656,680,444121,1.21E+07,17245643,6.97E+04,9.96E+04,3.74E+05,14223374,0.444121,12.11361,17.245643,6.97E-01,9.96E-01,3.74E+00,1.42E+02,2020,1143,161.6,121.2,64.119,0,0,0,0,0,0
680,42,51,34,45,3645.6,3645.6,9656,9372,685,4.47E+05,35581700,1.33E+07,6.97E+04,1.83E+05,1.64E+07,155009,0.4472313,35.5817,13.27326,6.97E-01,1.83E+00,1.64E+02,1.55E+00,2097,1144,167.76,125.82,64.119,0,12.8,0,84.3,0,84300
685,42,52,34,45,3645.6,3645.6,9656,9656,690,5.27E+05,3.79E+07,13435053,2.05E+05,1.83E+05,12630930,3.76E+06,0.5272107,37.8791,13.435053,2.05E+00,1.83E+00,1.26E+02,3.76E+01,2023,1143,161.84,121.38,64.119,0,0,0,0,0,0
690,42,51,34,45,3645.6,3645.6,9656,9372,695,523000,3.40E+07,12991702,1.99E+05,1.83E+05,1.21E+07,4.15E+06,0.523,34.00082,12.991702,1.99E+00,1.83E+00,1.21E+02,4.15E+01,2031,1146,162.48,121.86,64.119,0,0,0,0,0,0
695,42,50,34,45,3645.6,3567.2,9372,9372,700,521519,3.46E+07,13148256,1.93E+05,1.83E+05,8.31E+05,1.54E+07,0.521519,34.61826,13.148256,1.93E+00,1.83E+00,8.31E+00,1.54E+02,2023,1144,161.84,121.38,64.119,0,0,0,0,0,0
700,42,51,34,45,3645.6,3645.6,9656,9656,705,5.23E+05,38971494,1.39E+07,2.21E+05,1.83E+05,15527766,812661,0.5226407,38.971494,13.92222,2.21E+00,1.83E+00,1.55E+02,8.13E+00,2025,1144,162,121.5,64.119,0,0,0,0,0,0
705,42,50,34,45,3645.6,3645.6,9656,9656,710,5.73E+05,3.61E+07,13864388,2.21E+05,1.83E+05,7.65E+06,8.80E+06,0.5728093,36.06058,13.864388,2.21E+00,1.83E+00,7.65E+01,8.80E+01,2023,1143,161.84,121.38,64.119,0,0,0,0,0,0
710,42,51,34,45,3645.6,3645.6,9656,9372,715,5.25E+05,3.55E+07,1.33E+07,2.21E+05,1.83E+05,1.09E+07,5.50E+06,0.5254017,35.50538,13.27072,2.21E+00,1.83E+00,1.09E+02,5.50E+01,2026,1145,162.08,121.56,64.119,0,15.8,0,95,0,95000
715,42,51,34,45,3645.6,3645.6,9656,9656,720,524962,40011415,1.48E+07,1.87E+05,1.83E+05,8.03E+06,8244386,0.524962,40.011415,14.80422,1.87E+00,1.83E+00,8.03E+01,8.24E+01,2022,1144,161.76,121.32,64.119,0,0,0,0,0,0
720,42,51,34,45,3645.6,3645.6,9372,9372,725,1.05E+06,1.64E+07,2.44E+07,149438,107313,8.03E+06,1.42E+07,1.048787,16.36247,24.36899,1.49E+00,1.07E+00,8.03E+01,1.42E+02,2030,1145,162.4,121.8,64.119,0,0,0,0,0,0
725,42,50,34,45,3645.6,3645.6,9656,9656,730,9.53E+04,24536669,8.74E+06,149438,9.18E+04,2.41E+04,16342564,0.09529533,24.536669,8.739786,1.49E+00,9.18E-01,2.41E-01,1.63E+02,2025,1144,162,121.5,64.119,0,0,0,0,0,0
730,42,51,34,45,3645.6,3645.6,9372,9656,735,5.29E+05,3.91E+07,14138133,326377,9.18E+04,16264250,1.70E+05,0.5288703,39.1076,14.138133,3.26E+00,9.18E-01,1.63E+02,1.70E+00,2076,1143,166.08,124.56,64.119,0,0,0,0,0,0
735,42,50,34,45,3645.6,3645.6,9656,9656,740,5.66E+05,3.68E+07,14263659,239927,9.18E+04,1.53E+07,8.61E+05,0.5656687,36.80941,14.263659,2.40E+00,9.18E-01,1.53E+02,8.61E+00,2031,1143,162.48,121.86,64.119,0,0,0,0,0,0
740,42,51,34,45,3567.2,3567.2,9656,9656,745,786099,27547940,20696930,239927,257860,2.31E+07,8.61E+05,0.786099,27.54794,20.69693,2.40E+00,2.58E+00,2.31E+02,8.61E+00,2029,1145,162.32,121.74,64.119,0,12.4,0,83,0,83000
745,41,51,34,45,3567.2,3645.6,9656,9372,750,5.30E+05,3.81E+07,1.37E+07,239927,229598,5046035,1.15E+07,0.5304987,38.10728,13.65879,2.40E+00,2.30E+00,5.05E+01,1.15E+02,2026,1143,162.08,121.56,64.119,0,0,0,0,0,0
750,42,51,34,45,3724,3645.6,9372,9372,755,5.23E+05,3.59E+07,1.38E+07,2.80E+05,229598,7.55E+06,8.65E+06,0.5232117,35.87845,13.79364,2.80E+00,2.30E+00,7.55E+01,8.65E+01,2029,1145,162.32,121.74,64.119,0,0,0,0,0,0
755,41,51,34,45,3645.6,3645.6,9656,9656,760,521228,3.56E+07,13487252,2.80E+05,1.72E+05,7.27E+06,8.96E+06,0.521228,35.59935,13.487252,2.80E+00,1.72E+00,7.27E+01,8.96E+01,2031,1145,162.48,121.86,64.119,0,0,0,0,0,0
760,41,51,34,46,3645.6,3645.6,9656,9656,765,5.26E+05,5.78E+07,2.04E+07,203622,1.72E+05,1.11E+07,6.46E+06,0.5261993,57.80318,20.36735,2.04E+00,1.72E+00,1.11E+02,6.46E+01,2032,1145,162.56,121.92,64.119,0,0,0,0,0,0
765,41,52,34,46,3645.6,3645.6,9656,9656,770,5.66E+05,220628572,7.63E+07,177420,1.72E+05,2.55E+06,2.42E+07,0.5661803,220.628572,76.27265,1.77E+00,1.72E+00,2.55E+01,2.42E+02,2061,1145,164.88,123.66,64.119,0,0,0,0,0,0
770,41,51,34,46,3645.6,3645.6,9656,9656,775,8.48E+05,1.01E+08,1.37E+08,118729,1.48E+05,25694061,2.42E+07,0.8480927,101.4337,137.0068,1.19E+00,1.48E+00,2.57E+02,2.42E+02,2058,1145,164.64,123.48,64.119,0,12.4,0,82.2,0,82200
775,41,52,34,46,3645.6,3645.6,9656,9656,780,2.01E+05,2.03E+08,68008189,118729,1.59E+05,2.69E+07,6.77E+04,0.2009007,203.1144,68.008189,1.19E+00,1.59E+00,2.69E+02,6.77E-01,2149,1144,171.92,128.94,64.119,0,0,0,0,0,0
780,42,51,34,46,3645.6,3645.6,9656,9656,785,527547,2.06E+08,7.07E+07,219449,1.59E+05,7507385,1.95E+07,0.527547,205.7029,70.6842,2.19E+00,1.59E+00,7.51E+01,1.95E+02,2059,1145,164.72,123.54,64.119,0,0,0,0,0,0
785,41,52,34,46,3645.6,3567.2,9656,9656,790,7.97E+05,191529802,133247661,2.92E+05,1.59E+05,7507385,29609232,0.7965065,191.529802,133.247661,2.92E+00,1.59E+00,7.51E+01,2.96E+02,2058,1145,164.64,123.48,64.119,0,0,0,0,0,0
790,42,52,34,46,3645.6,3645.6,9656,9656,795,518536,2.10E+08,7.08E+07,2.92E+05,250573,19714569,7.27E+06,0.518536,209.802,70.81587,2.92E+00,2.51E+00,1.97E+02,7.27E+01,2060,1144,164.8,123.6,64.119,0,0,0,0,0,0
795,41,52,34,46,3645.6,3645.6,9656,9372,800,8.74E+05,1.56E+08,107399597,3.52E+05,250573,2.06E+07,7.27E+06,0.8737765,156.2385,107.399597,3.52E+00,2.51E+00,2.06E+02,7.27E+01,2066,1145,165.28,123.96,64.119,0,0,0,0,0,0
800,41,52,34,46,3724,3645.6,9656,9656,805,5.20E+05,2.08E+08,7.08E+07,3.52E+05,1.90E+05,8.84E+06,18145545,0.5198543,208.4053,70.76327,3.52E+00,1.90E+00,8.84E+01,1.81E+02,2055,1144,164.4,123.3,64.119,0,12.8,0,108.6,0,108600
805,42,51,34,46,3645.6,3645.6,9372,9656,810,5.26E+05,2.10E+08,7.17E+07,206214,1.90E+05,1.80E+07,9.04E+06,0.5256843,209.9606,71.66555,2.06E+00,1.90E+00,1.80E+02,9.04E+01,2059,1145,164.72,123.54,64.119,0,0,0,0,0,0
810,41,52,34,46,3645.6,3645.6,9656,9372,815,5.23E+05,2.06E+08,70287744,2.40E+05,1.90E+05,1.50E+07,11971102,0.5232933,205.7866,70.287744,2.40E+00,1.90E+00,1.50E+02,1.20E+02,2061,1144,164.88,123.66,64.119,0,0,0,0,0,0
815,41,52,34,46,3645.6,3645.6,9656,9656,820,5.24E+05,1.95E+08,6.67E+07,1.76E+05,1.90E+05,1727839,23929886,0.5242263,195.1848,66.73234,1.76E+00,1.90E+00,1.73E+01,2.39E+02,2059,1144,164.72,123.54,64.119,0,0,0,0,0,0
820,41,52,34,46,3645.6,3645.6,9656,9656,825,4.57E+05,3.66E+07,2.35E+07,5.43E+04,1.90E+05,6.38E+05,23929886,0.4567385,36.62432,23.53574,5.43E-01,1.90E+00,6.38E+00,2.39E+02,2049,1145,163.92,122.94,64.119,0,0,0,0,0,0
825,41,52,34,46,3645.6,3645.6,9656,9656,830,550917,40226019,29950784,2.92E+05,1.90E+05,9521461,23929886,0.550917,40.226019,29.950784,2.92E+00,1.90E+00,9.52E+01,2.39E+02,2134,1144,170.72,128.04,64.119,0,0,0,0,0,0
830,41,52,34,46,3645.6,3645.6,9656,9656,835,5.24E+05,5.76E+07,2.06E+07,2.92E+05,2.05E+05,8.16E+06,1.19E+06,0.5242963,57.64289,20.60523,2.92E+00,2.05E+00,8.16E+01,1.19E+01,2049,1145,163.92,122.94,64.119,0,12.2,0,83.9,0,83900
835,41,52,34,46,3645.6,3645.6,9372,9656,840,782884,4.35E+07,3.09E+07,2.92E+05,3.01E+05,8.16E+06,5526354,0.782884,43.51214,30.87412,2.92E+00,3.01E+00,8.16E+01,5.53E+01,2038,1143,163.04,122.28,64.119,0,0,0,0,0,0
840,41,52,34,46,3645.6,3645.6,9372,9656,845,5.25E+05,5.49E+07,20121180,2.01E+05,3.01E+05,1.44E+05,9.24E+06,0.5248553,54.8665,20.12118,2.01E+00,3.01E+00,1.44E+00,9.24E+01,2041,1143,163.28,122.46,64.119,0,0,0,0,0,0
845,41,52,34,46,3645.6,3645.6,9656,9656,850,5.21E+05,5.62E+07,20288912,2.01E+05,2.00E+05,8741275,5.57E+05,0.5208563,56.24555,20.288912,2.01E+00,2.00E+00,8.74E+01,5.57E+00,2045,1144,163.6,122.7,64.119,0,0,0,0,0,0
850,41,53,34,46,3645.6,3645.6,9372,9372,855,5.26E+05,5.73E+07,20311772,2.01E+05,2.25E+05,5951772,3.35E+06,0.5255803,57.25348,20.311772,2.01E+00,2.25E+00,5.95E+01,3.35E+01,2039,1145,163.12,122.34,64.119,0,0,0,0,0,0
855,42,52,34,46,3645.6,3645.6,9656,9656,860,5.79E+05,55367822,2.05E+07,2.01E+05,1.45E+05,3016775,6.33E+06,0.5791677,55.367822,20.45234,2.01E+00,1.45E+00,3.02E+01,6.33E+01,2041,1143,163.28,122.46,64.119,0,0,0,0,0,0
860,41,52,34,46,3645.6,3645.6,9372,9656,865,5.25E+05,5.65E+07,1.98E+07,2.01E+05,223812,5605766,3.72E+06,0.5250837,56.45327,19.83137,2.01E+00,2.24E+00,5.61E+01,3.72E+01,2044,1145,163.52,122.64,64.119,0,16.6,0,96.9,0,96900
865,41,52,34,46,3645.6,3645.6,9656,9656,870,5.27E+05,5.69E+07,2.00E+07,194747,223812,829034,8.48E+06,0.5272307,56.87096,20.00948,1.95E+00,2.24E+00,8.29E+00,8.48E+01,2043,1144,163.44,122.58,64.119,0,0,0,0,0,0
870,41,52,34,46,3645.6,3645.6,9656,9656,875,1.57E+05,4.26E+07,1.46E+07,2.84E+04,223812,2.70E+04,9.05E+06,0.1569937,42.55192,14.56999,2.84E-01,2.24E+00,2.70E-01,9.05E+01,2043,1144,163.44,122.58,64.119,0,0,0,0,0,0
875,41,52,34,46,3645.6,3645.6,9656,9656,880,4.62E+05,5.45E+07,1.95E+07,2.84E+04,1.74E+05,2.98E+06,6.25E+06,0.4621853,54.5353,19.52226,2.84E-01,1.74E+00,2.98E+01,6.25E+01,2088,1144,167.04,125.28,64.119,0,0,0,0,0,0
880,41,52,34,46,3724,3645.6,9656,9656,885,795077,42551650,30090536,314930,1.74E+05,1.37E+07,6.25E+06,0.795077,42.55165,30.090536,3.15E+00,1.74E+00,1.37E+02,6.25E+01,2048,1145,163.84,122.88,64.119,0,0,0,0,0,0
885,41,52,34,46,3645.6,3645.6,9372,9656,890,859438,40979321,3.00E+07,339563,1.74E+05,10616716,6.25E+06,0.859438,40.979321,29.9776,3.40E+00,1.74E+00,1.06E+02,6.25E+01,2042,1144,163.36,122.52,64.119,0,0,0,0,0,0
890,41,52,34,46,3645.6,3645.6,9372,9656,895,5.30E+05,60463453,2.14E+07,339563,2.07E+05,8.79E+06,5.37E+05,0.5300523,60.463453,21.37892,3.40E+00,2.07E+00,8.79E+01,5.37E+00,2043,1145,163.44,122.58,64.119,0,12.4,0,86.9,0,86900
895,41,52,34,47,3645.6,3645.6,9656,9656,900,532743,6.25E+07,2.21E+07,339563,2.10E+05,4770400,4531105,0.532743,62.52258,22.1346,3.40E+00,2.10E+00,4.77E+01,4.53E+01,2057,1143,164.56,123.42,64.119,0,0,0,0,0,0
900,41,53,34,47,3567.2,3567.2,9656,9656,905,5.26E+05,5.99E+07,2.18E+07,1.93E+05,2.10E+05,4019766,5197254,0.5257397,59.89671,21.77518,1.93E+00,2.10E+00,4.02E+01,5.20E+01,2059,1144,164.72,123.54,64.119,0,0,0,0,0,0
905,41,52,34,47,3645.6,3645.6,9656,9656,910,517859,61005616,2.14E+07,1.93E+05,2.02E+05,5.36E+06,3.89E+06,0.517859,61.005616,21.44052,1.93E+00,2.02E+00,5.36E+01,3.89E+01,2059,1143,164.72,123.54,64.119,0,0,0,0,0,0
910,41,53,34,47,3645.6,3645.6,9372,9656,915,5.23E+05,6.29E+07,2.19E+07,179162,2.02E+05,523737,8746262,0.5229853,62.88632,21.9265,1.79E+00,2.02E+00,5.24E+00,8.75E+01,2061,1144,164.88,123.66,64.119,0,0,0,0,0,0
915,41,52,34,47,3645.6,3645.6,9372,9372,920,1110538,2.77E+07,3.97E+07,1.17E+05,1.05E+05,523737,5.58E+05,1.110538,27.72016,39.65509,1.17E+00,1.05E+00,5.24E+00,5.58E+00,2059,1144,164.72,123.54,64.119,0,0,0,0,0,0
920,41,52,34,47,3645.6,3645.6,9656,9656,925,116911,5.61E+07,1.90E+07,1.17E+05,1.59E+05,6.77E+04,9252337,0.116911,56.06717,19.03899,1.17E+00,1.59E+00,6.77E-01,9.25E+01,2216,1143,177.28,132.96,64.119,0,12.4,0,87.8,0,87800
925,41,53,34,47,3645.6,3567.2,9656,9656,930,5.16E+05,6.26E+07,21886667,1.17E+05,224701,6.09E+06,3.31E+06,0.5164437,62.64016,21.886667,1.17E+00,2.25E+00,6.09E+01,3.31E+01,2059,1143,164.72,123.54,64.119,0,0,0,0,0,0
930,42,52,34,47,3645.6,3645.6,9656,9372,935,5.21E+05,6.01E+07,2.18E+07,1.83E+05,224701,1.59E+05,9.20E+06,0.5205147,60.08089,21.80071,1.83E+00,2.25E+00,1.59E+00,9.20E+01,2060,1144,164.8,123.6,64.119,0,0,0,0,0,0
935,41,52,34,47,3724,3645.6,9656,9656,940,5.25E+05,60908186,21343822,1.83E+05,2.12E+05,3.15E+06,6144303,0.5254193,60.908186,21.343822,1.83E+00,2.12E+00,3.15E+01,6.14E+01,2058,1145,164.64,123.48,64.119,0,0,0,0,0,0
940,41,52,34,47,3645.6,3645.6,9656,9656,945,522844,6.29E+07,2.23E+07,1.83E+05,219095,3.38E+06,5937562,0.522844,62.92938,22.25906,1.83E+00,2.19E+00,3.38E+01,5.94E+01,2058,1144,164.64,123.48,64.119,0,0,0,0,0,0
945,41,51,34,47,3645.6,3645.6,9656,9656,950,5.71E+05,6.28E+07,2.28E+07,269189,219095,8.23E+06,1002967,0.5710083,62.84129,22.83641,2.69E+00,2.19E+00,8.23E+01,1.00E+01,2062,1143,164.96,123.72,64.119,0,0,0,0,0,0
950,41,51,34,46,3645.6,3645.6,9372,9656,955,5.26E+05,6.22E+07,21740473,3.02E+05,219095,5273281,3992230,0.5258807,62.21327,21.740473,3.02E+00,2.19E+00,5.27E+01,3.99E+01,2062,1144,164.96,123.72,64.119,0,16.2,0,100.6,0,100600
955,42,52,34,46,3645.6,3645.6,9656,9656,960,5.25E+05,8.93E+07,31412604,3.02E+05,1.74E+05,8.69E+05,1.30E+07,0.5246833,89.28544,31.412604,3.02E+00,1.74E+00,8.69E+00,1.30E+02,2058,1143,164.64,123.48,64.119,0,0,0,0,0,0
