Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,Volts,InputDCPwr,AllPwrExtBd,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
260,42,46,34,42,3645.6,3567.2,9656,9656,748117,9902739,11192942,2.39E+05,208290,267256,220659,0.748117,9.902739,11.192942,2.39E+00,2.08E+00,2.67E+00,2.21E+00,1413,1122,1585.386,1109.7702,887.81616,44.390808,0,0,0,0,0,0
265,42,45,34,42,3645.6,3645.6,9656,9372,760846,8786837,8.70E+06,2.34E+05,208290,267256,79707,0.760846,8.786837,8.695078,2.34E+00,2.08E+00,2.67E+00,7.97E-01,1438,1121,1611.998,1128.3986,902.71888,45.135944,0,0,0,0,0,0
270,42,45,34,42,3645.6,3645.6,9656,9656,8.07E+05,10094178,10328564,2.34E+05,2.63E+05,267256,179557,0.8066695,10.094178,10.328564,2.34E+00,2.63E+00,2.67E+00,1.80E+00,1415,1130,1598.95,1119.265,895.412,44.7706,0,0,0,0,0,0
275,42,45,34,42,3645.6,3645.6,9656,9656,766340,9147932,9180253,2.34E+05,2.68E+05,267256,99115,0.76634,9.147932,9.180253,2.34E+00,2.68E+00,2.67E+00,9.91E-01,1451,1134,1645.434,1151.8038,921.44304,46.072152,0,11,0,55.6,0,56934.4
280,42,45,34,42,3645.6,3645.6,9656,9656,7.76E+05,9034499,9.27E+06,2.34E+05,234676,267256,124680,0.7764375,9.034499,9.269358,2.34E+00,2.35E+00,2.67E+00,1.25E+00,1424,1132,1611.968,1128.3776,902.70208,45.135104,0,1.2,0,0.8,0,819.2
285,42,45,34,42,3645.6,3567.2,9656,9656,7.76E+05,19610911,9.27E+06,2.34E+05,234676,2.26E+05,2.11E+05,0.7764375,19.610911,9.269358,2.34E+00,2.35E+00,2.26E+00,2.11E+00,1456,1131,1646.736,1152.7152,922.17216,46.108608,0,0,0,0,0,0
290,42,46,34,42,3645.6,3567.2,9656,9656,766370,9034992,9.91E+06,2.34E+05,234676,2.26E+05,180094,0.76637,9.034992,9.91176,2.34E+00,2.35E+00,2.26E+00,1.80E+00,1417,1130,1601.21,1120.847,896.6776,44.83388,0,0,0,0,0,0
295,42,46,34,42,3724,3645.6,9656,9656,758425,9578511,9.56E+06,2.34E+05,2.57E+05,2.26E+05,97422,0.758425,9.578511,9.563978,2.34E+00,2.57E+00,2.26E+00,9.74E-01,1418,1129,1600.922,1120.6454,896.51632,44.825816,0,0,0,0,0,0
300,42,46,34,42,3645.6,3645.6,9656,9656,819119,1.08E+07,1.19E+07,2.34E+05,141571,2.26E+05,245468,0.819119,10.76913,11.91284,2.34E+00,1.42E+00,2.26E+00,2.45E+00,1408,1128,1588.224,1111.7568,889.40544,44.470272,0,0,0,0,0,0
305,42,46,34,42,3645.6,3645.6,9656,9656,757335,8.88E+06,10059542,2.34E+05,1.48E+05,2.26E+05,1.90E+05,0.757335,8.879584,10.059542,2.34E+00,1.48E+00,2.26E+00,1.90E+00,1411,1127,1590.197,1113.1379,890.51032,44.525516,0,14,0,69.4,0,71065.6
310,43,45,34,42,3645.6,3645.6,9656,9656,1023558,9206654,9458778,250125,1.48E+05,2.26E+05,1.16E+05,1.023558,9.206654,9.458778,2.50E+00,1.48E+00,2.26E+00,1.16E+00,1411,1124,1585.964,1110.1748,888.13984,44.406992,0,1.2,0,0.8,0,819.2
315,42,46,34,42,3645.6,3645.6,9656,9656,1023558,1.97E+07,9458778,250125,1.48E+05,2.59E+05,274921,1.023558,19.69436,9.458778,2.50E+00,1.48E+00,2.59E+00,2.75E+00,1418,1131,1603.758,1122.6306,898.10448,44.905224,0,0,0,0,0,0
