Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,ProcPwr,disk_read_kbytes,disk_write_kbytes
1155,91.30434783,88.23529412,91.89189189,91.66666667,95.69892473,97.84946237,74.3902439,72.56097561,48.23082791,49.90329311,54.63557354,17.0694257,4.409671818,44.31401536,0.312124034,0.976794156,0,0
1160,91.30434783,88.23529412,91.89189189,91.66666667,97.84946237,97.84946237,74.3902439,72.56097561,29.3055046,50.43830152,55.06926392,20.29735549,2.178322186,25.93515282,21.69429807,0.977223893,0,0
1165,91.30434783,88.23529412,91.89189189,91.66666667,97.84946237,97.84946237,72.56097561,72.56097561,25.57113829,47.32147333,51.60261931,4.083805905,5.78313123,0.153103354,54.30686111,1,0,0
1170,91.30434783,86.2745098,91.89189189,91.66666667,97.84946237,97.84946237,72.56097561,74.3902439,51.29105636,60.38826227,62.97088478,7.308687529,20.60497681,53.03036854,0.879544905,0.906317147,0,100
1175,91.30434783,86.2745098,91.89189189,89.58333333,95.69892473,97.84946237,74.3902439,72.56097561,49.66398663,100,99.82708483,53.34730716,9.259131591,67.83397728,27.76731213,0.897722389,0,60.61046512
1180,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,74.3902439,72.56097561,47.72181152,3.00697761,6.524138504,4.593286071,1.879696206,0.256175595,0.45139868,0.889127632,0,0
1185,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,74.3902439,72.56097561,49.4427717,3.569515792,6.430465708,35.75709357,2.565449517,0.273002264,0.34279042,0.889987108,100,1.162790698
1190,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,100,72.56097561,74.3902439,60.62690177,3.313234098,6.112284678,24.35723957,2.700073418,0.301481769,0.297820913,0.890416846,0,14.24418605
1195,91.30434783,88.23529412,91.89189189,89.58333333,97.84946237,97.84946237,74.3902439,72.56097561,48.04575236,2.535207757,4.252809885,5.855116876,3.612533897,0.195564957,0.221694064,0.890846584,0,0
1200,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,100,74.3902439,74.3902439,48.11504427,2.827055883,4.598181704,6.160411663,3.809808945,0.203632579,0.519982211,0.891276321,0,2.325581395
1205,91.30434783,88.23529412,91.89189189,89.58333333,97.84946237,97.84946237,74.3902439,74.3902439,48.85564358,3.001038389,5.65467458,4.759867965,1.56180125,0.253416415,0.749546657,0.891276321,0,23.40116279
