Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr
420,41.00,50.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986658379,4986668007,4986663193,4986673244,4986677662,4986675453,4986658384,4986668013,4986663199,225.9,115.5,1.811,169.425,135.54,67.77
425,41.00,51.00,32.00,46.00,3645.60,3567.20,8449.00,8662.00,4986668477,4986666747,4986667612,4986674116,4986664151,4986669134,4986668477,4986666736,4986667607,225.6,115.5,1.816,169.2,135.36,67.68
430,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986701358,4986714614,4986707986,4986704625,4986701127,4986702876,4986701358,4986714619,4986707989,225.3,115.5,1.86,168.975,135.18,67.59
435,41.00,50.00,32.00,46.00,3567.20,3645.60,8662.00,8662.00,4986642290,4986634066,4986638178,4986632357,4986638233,4986635295,4986642286,4986634062,4986638174,225.3,115.5,1.84,168.975,135.18,67.59
440,41.00,51.00,32.00,46.00,3567.20,3567.20,7171.00,7029.00,4986665903,4986668430,4986667167,4986667271,4986669597,4986668434,4986665907,4986668435,4986667171,225.4,115.4,1.814,169.05,135.24,67.62
445,41.00,50.00,32.00,46.00,3488.80,3567.20,8662.00,8662.00,4986691749,4986675439,4986683594,4986674820,4986672087,4986673454,4986691743,4986675432,4986683588,225.6,115.5,1.813,169.2,135.36,67.68
450,41.00,51.00,32.00,46.00,3488.80,3567.20,8662.00,8449.00,4986654091,4986663715,4986658903,4986671164,4986679326,4986675245,4986654098,4986663718,4986658908,225.7,115.5,1.813,169.275,135.42,67.71
455,41.00,51.00,32.00,46.00,3488.80,3567.20,8449.00,8449.00,4986671619,4986668843,4986670231,4986694624,4986676449,4986685537,4986671622,4986668840,4986670231,225.7,115.5,1.809,169.275,135.42,67.71
460,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8662.00,4986672844,4986682788,4986677816,4986647885,4986665433,4986656659,4986672840,4986682792,4986677816,225.8,115.5,1.799,169.35,135.48,67.74
465,41.00,51.00,32.00,46.00,3567.20,3567.20,8449.00,8449.00,4986671655,4986658614,4986665135,4986669195,4986667610,4986668403,4986671655,4986658613,4986665134,226,115.4,1.799,169.5,135.6,67.8
470,41.00,51.00,32.00,46.00,3567.20,3645.60,8662.00,8662.00,4986671937,4986671293,4986671615,4986668914,4986669438,4986669176,4986671939,4986671294,4986671617,226,115.6,1.796,169.5,135.6,67.8
475,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986673610,4986682917,4986678264,4986699921,4986670474,4986685198,4986673604,4986682911,4986678258,225.6,115.5,1.799,169.2,135.36,67.68
480,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986662074,4986661503,4986661789,4986977385,4986668159,4986822772,4986662080,4986661509,4986661795,225.5,115.4,1.814,169.125,135.3,67.65
485,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986669273,4986670467,4986669870,4986334686,4986666195,4986500441,4986669265,4986670463,4986669864,224.8,115.5,1.795,168.6,134.88,67.44
490,41.00,51.00,32.00,46.00,3488.80,3567.20,8662.00,8662.00,4986672781,4986677010,4986674896,4986671184,4986681042,4986676113,4986672792,4986677020,4986674906,225.3,115.6,1.796,168.975,135.18,67.59
495,41.00,51.00,32.00,46.00,3567.20,3645.60,8662.00,8449.00,4986675081,4986659740,4986667411,4986673725,4986668966,4986671346,4986675076,4986659731,4986667404,225.5,115.5,1.796,169.125,135.3,67.65
500,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8662.00,4986662699,4986674898,4986668799,4986663367,4986664287,4986663827,4986662699,4986674901,4986668800,225.6,115.5,1.797,169.2,135.36,67.68
505,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986682021,4986680094,4986681058,4986679259,4986675503,4986677381,4986682021,4986680088,4986681055,225.8,115.6,1.797,169.35,135.48,67.74
510,41.00,51.00,32.00,46.00,3488.80,3567.20,8449.00,8449.00,4986661426,4986660803,4986661115,4986666057,4986676256,4986671157,4986661428,4986660811,4986661120,225.9,115.6,1.797,169.425,135.54,67.77
515,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986667594,4986668534,4986668064,4986666475,4986656742,4986661609,4986667593,4986668534,4986668064,226,115.5,1.797,169.5,135.6,67.8
520,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986684975,4986666322,4986675649,4986673069,4986677938,4986675504,4986684975,4986666320,4986675648,226,115.4,1.797,169.5,135.6,67.8
525,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986682438,4986701956,4986692197,4986694092,4986690987,4986692540,4986682437,4986701954,4986692196,225.7,115.6,1.798,169.275,135.42,67.71
530,41.00,51.00,32.00,46.00,3488.80,3567.20,8662.00,8449.00,4986647199,4986638797,4986642998,4986654774,4986647884,4986651329,4986647200,4986638800,4986643000,225.6,115.5,1.862,169.2,135.36,67.68
535,41.00,51.00,32.00,47.00,3567.20,3567.20,8662.00,8662.00,4986683082,4986677920,4986680501,4986738843,4986669143,4986703993,4986683077,4986677915,4986680496,225.6,115.5,1.797,169.2,135.36,67.68
540,41.00,51.00,32.00,47.00,3567.20,3567.20,8662.00,8449.00,4986659243,4986669984,4986664614,4986597323,4986680791,4986639057,4986659247,4986669990,4986664619,225.7,115.4,1.797,169.275,135.42,67.71
545,41.00,51.00,32.00,46.00,3567.20,3567.20,8449.00,8449.00,4986666377,4986669585,4986667981,4986664641,4986657962,4986661302,4986666379,4986669579,4986667979,225.7,115.4,1.797,169.275,135.42,67.71
550,41.00,52.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986682166,4986680533,4986681350,4986702370,4986678447,4986690409,4986682162,4986680537,4986681350,225.8,115.5,1.8,169.35,135.48,67.74
555,41.00,51.00,32.00,47.00,3567.20,3567.20,8662.00,8449.00,4986662387,4986655091,4986658739,4986648800,4986665638,4986657219,4986662391,4986655093,4986658742,225.9,115.6,1.798,169.425,135.54,67.77
560,41.00,52.00,32.00,47.00,3567.20,3567.20,8662.00,8662.00,4986666042,4986678305,4986672174,4986664396,4986668524,4986666460,4986666040,4986678303,4986672172,225.9,115.5,1.796,169.425,135.54,67.77
565,41.00,51.00,32.00,47.00,3567.20,3567.20,8662.00,8449.00,4986692413,4986670844,4986681629,4986668976,4986670448,4986669712,4986692412,4986670839,4986681626,226.1,115.5,1.796,169.575,135.66,67.83
570,41.00,52.00,32.00,47.00,3567.20,3567.20,8662.00,8662.00,4986650518,4986669518,4986660018,4986667094,4986668573,4986667834,4986650521,4986669523,4986660022,226,115.4,1.797,169.5,135.6,67.8
575,41.00,51.00,32.00,47.00,3567.20,3567.20,8875.00,8449.00,4986669713,4986671476,4986670595,4986673071,4987355569,4987014320,4986669708,4986671470,4986670589,225.5,115.6,1.807,169.125,135.3,67.65
580,41.00,51.00,32.00,47.00,3567.20,3567.20,8662.00,8449.00,4986672183,4986677084,4986674634,4986676911,4985988322,4986332617,4986672182,4986677087,4986674635,225.6,115.4,1.861,169.2,135.36,67.68
585,41.00,49.00,32.00,47.00,3567.20,3567.20,8662.00,8449.00,4986670743,4986658835,4986664789,4986666291,4986679765,4986673028,4986670743,4986658836,4986664790,225.7,115.7,1.795,169.275,135.42,67.71
590,41.00,49.00,32.00,47.00,3567.20,3645.60,8662.00,8662.00,4986669167,4986673423,4986671295,4986668479,4986661007,4986664743,4986669167,4986673427,4986671297,225.7,115.6,1.797,169.275,135.42,67.71
595,41.00,51.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986684580,4986671332,4986677956,4986672225,4986669796,4986671011,4986684584,4986671326,4986677955,225.8,115.6,1.797,169.35,135.48,67.74
600,42.00,50.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986665140,4986666856,4986665998,4986672330,4986671565,4986671948,4986665140,4986666860,4986666000,225.8,115.5,1.797,169.35,135.48,67.74
605,41.00,50.00,32.00,47.00,3567.20,3567.20,8662.00,8662.00,4986665975,4986675165,4986670570,4986668867,4986670979,4986669923,4986665970,4986675160,4986670565,225.9,115.5,1.796,169.425,135.54,67.77
610,41.00,49.00,32.00,46.00,3567.20,3567.20,8662.00,8449.00,4986697567,4986671994,4986684781,4986668524,4986670437,4986669481,4986697572,4986671998,4986684785,226,115.6,1.8,169.5,135.6,67.8
615,42.00,48.00,32.00,46.00,3567.20,3567.20,8662.00,8662.00,4986641257,4986666696,4986653977,4986672470,4986676102,4986674286,4986641256,4986666688,4986653972,226,115.6,1.798,169.5,135.6,67.8
620,41.00,49.00,32.00,46.00,3567.20,3567.20,8662.00,8662.00,4986674618,4986668258,4986671438,4986671150,4986665106,4986668128,4986674619,4986668266,4986671443,225.6,115.6,1.797,169.2,135.36,67.68
