scheduler,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
tas,255,0,41.74,210.4,41.73,48.97,36.73
tas,255,1,44.8,301.3,42.48,64.76,48.57
tas,255,2,92.89,208.8,39.73,56.91,42.68
tas,255,3,67.13,316.3,41.98,70.9,53.18
tas,260,0,42.52,214,41.48,49.67,37.25
tas,260,1,45.99,305.9,42.48,65.73,49.3
tas,260,2,94.75,213.7,39.98,58.08,43.56
tas,260,3,69.08,322.9,42.23,72.36,54.27
tas,265,0,43.37,217.8,41.73,50.49,37.87
tas,265,1,47.03,310.7,42.48,66.7,50.02
tas,265,2,96.74,218.7,39.98,59.24,44.43
tas,265,3,71.03,329.2,42.1,73.72,55.29
tas,270,0,44.26,221.8,41.98,51.34,38.5
tas,270,1,48.06,315.4,42.6,67.67,50.75
tas,270,2,98.75,223.9,39.85,60.42,45.31
tas,270,3,72.86,335.6,42.1,75.09,56.32
tas,275,0,45.15,225.7,42.1,52.15,39.12
tas,275,1,49.27,320.3,42.98,68.76,51.57
tas,275,2,100.6,229.9,39.48,61.65,46.24
tas,275,3,74.69,342.5,41.85,76.52,57.39
tas,280,0,46.02,229.6,42.23,52.98,39.73
tas,280,1,50.5,326.2,43.1,69.96,52.47
tas,280,2,102.1,236.9,39.23,63.03,47.27
tas,280,3,76.65,348.8,42.1,77.92,58.44
tas,285,0,46.83,233.3,42.35,53.74,40.3
tas,285,1,51.74,332.7,43.1,71.25,53.44
tas,285,2,103.5,244.4,39.23,64.52,48.39
tas,285,3,78.71,354.6,42.1,79.23,59.42
tas,290,0,47.6,236.8,42.48,54.49,40.86
tas,290,1,52.94,340.4,43.48,72.8,54.6
tas,290,2,104.8,252.6,39.23,66.1,49.58
tas,290,3,80.88,360,41.73,80.44,60.33
tas,295,0,48.33,240,42.48,55.13,41.35
tas,295,1,54.21,348.5,43.48,74.36,55.77
tas,295,2,106.1,260.8,39.48,67.73,50.79
tas,295,3,82.98,365.7,41.48,81.69,61.27
tas,300,0,48.98,242.7,42.48,55.69,41.77
tas,300,1,55.45,357.2,43.48,76.03,57.02
tas,300,2,107.6,268.5,39.85,69.32,51.99
tas,300,3,84.99,371.8,41.35,83.03,62.27
tas,305,0,49.54,245,42.23,56.13,42.1
tas,305,1,56.65,366.2,43.48,77.72,58.29
tas,305,2,109,276.3,40.1,70.9,53.18
tas,305,3,86.76,379,41.23,84.5,63.37
tas,310,0,50,247,42.1,56.52,42.39
tas,310,1,57.93,375.2,43.48,79.43,59.57
tas,310,2,110.4,284.5,40.23,72.51,54.38
tas,310,3,88.51,386.5,41.23,86.03,64.52
tas,315,0,50.47,249.2,42.1,56.96,42.72
tas,315,1,59.11,384.5,43.23,81.13,60.85
tas,315,2,111.9,292,40.48,74.06,55.55
tas,315,3,90.26,394.1,41.35,87.61,65.71
tas,320,0,50.95,251.4,42.1,57.4,43.05
tas,320,1,60.53,393,43.23,82.79,62.1
tas,320,2,113.5,299.6,40.6,75.61,56.71
tas,320,3,91.81,402.5,41.23,89.25,66.94
tas,325,0,51.53,253.8,42.23,57.93,43.44
tas,325,1,62.1,401,43.35,84.4,63.3
tas,325,2,115.1,306.9,40.73,77.12,57.84
tas,325,3,93.2,411.8,41.35,91.06,68.29
tas,330,0,52.16,256.5,42.23,58.48,43.86
tas,330,1,63.8,408.1,43.1,85.83,64.37
tas,330,2,116.9,313.3,40.73,78.5,58.87
tas,330,3,94.36,422.6,41.73,93.11,69.84
tas,335,0,52.82,259.3,42.23,59.05,44.29
tas,335,1,65.48,415,43.35,87.3,65.48
tas,335,2,118.7,320,40.48,79.85,59.89
tas,335,3,95.57,433.5,41.73,95.14,71.36
tas,340,0,53.51,262.2,42.23,59.66,44.75
tas,340,1,67.22,421.3,43.48,88.67,66.5
tas,340,2,120.2,327,40.23,81.24,60.93
tas,340,3,96.96,444.3,41.73,97.17,72.88
tas,345,0,54.24,265.4,42.23,60.32,45.24
tas,345,1,69,427.6,43.48,90.02,67.51
tas,345,2,121.7,334.2,39.98,82.64,61.98
tas,345,3,98.5,454.6,42.1,99.2,74.4
tas,350,0,55.05,268.7,42.35,61.02,45.77
tas,350,1,70.79,433.7,43.48,91.34,68.5
tas,350,2,123.2,340.5,39.85,83.93,62.94
tas,350,3,100.1,464.9,42.1,101.2,75.89
tas,355,0,55.86,271.9,42.35,61.69,46.27
tas,355,1,72.58,439.6,43.48,92.62,69.46
tas,355,2,124.5,347.3,39.6,85.23,63.92
tas,355,3,101.7,474.8,42.35,103.1,77.36
tas,360,0,56.68,275.1,42.48,62.38,46.78
tas,360,1,74.21,445.9,43.6,93.96,70.47
tas,360,2,125.8,353.6,39.48,86.49,64.86
tas,360,3,103.3,484.6,42.23,105,78.76
tas,365,0,57.42,278,42.35,62.96,47.22
tas,365,1,75.77,452.4,43.73,95.32,71.49
tas,365,2,127,360.9,39.48,87.9,65.93
tas,365,3,105.1,493.1,41.98,106.7,80.03
tas,370,0,58.09,280.8,42.35,63.54,47.66
tas,370,1,77.18,459.4,43.73,96.72,72.54
tas,370,2,128,369,39.48,89.42,67.06
tas,370,3,107.2,500.1,41.98,108.2,81.16
tas,375,0,58.73,283.5,42.35,64.1,48.08
tas,375,1,78.49,466.9,43.48,98.14,73.61
tas,375,2,129,377.2,39.48,90.95,68.21
tas,375,3,109.4,506.3,42.23,109.7,82.24
tas,380,0,59.52,286.1,42.73,64.73,48.55
tas,380,1,79.8,474.8,43.35,99.65,74.74
tas,380,2,130,385.9,39.48,92.57,69.43
tas,380,3,111.6,512.5,42.23,111.1,83.29
tas,385,0,60.39,288.5,42.85,65.29,48.97
tas,385,1,81.21,482.3,43.35,101.1,75.86
tas,385,2,131.1,394.5,39.73,94.22,70.66
tas,385,3,113.6,519.4,41.98,112.5,84.37
tas,390,0,61.18,290.9,42.85,65.82,49.37
tas,390,1,82.66,489.6,43.35,102.6,76.95
tas,390,2,132.2,403.8,39.73,95.96,71.97
tas,390,3,115.4,526.7,42.1,114,85.52
tas,395,0,62.02,293.5,42.98,66.42,49.82
tas,395,1,84.21,496.8,43.35,104.1,78.04
tas,395,2,133.5,413.1,40.1,97.78,73.34
tas,395,3,117.1,534.8,41.85,115.6,86.72
tas,400,0,62.91,296.4,42.98,67.04,50.28
tas,400,1,85.79,503.7,43.23,105.5,79.09
tas,400,2,134.8,422.4,40.48,99.62,74.71
tas,400,3,118.9,543.1,41.85,117.3,87.98
tas,405,0,63.83,299.2,43.1,67.69,50.77
tas,405,1,87.45,510.4,43.35,106.9,80.15
tas,405,2,136.2,430.8,40.48,101.2,75.94
tas,405,3,120.2,552.5,41.73,119.1,89.31
tas,410,0,64.89,302.3,43.23,68.41,51.31
tas,410,1,89.23,517.2,43.48,108.3,81.23
tas,410,2,137.8,438.5,40.48,102.8,77.1
tas,410,3,121.4,562.4,41.6,120.9,90.68
tas,415,0,66.01,305.6,43.35,69.16,51.87
tas,415,1,91.17,523.5,43.6,109.7,82.29
tas,415,2,139.4,446,40.6,104.3,78.25
tas,415,3,122.4,573.2,41.48,122.9,92.14
tas,420,0,67.01,309.2,43.23,69.9,52.43
tas,420,1,93.11,529.8,43.73,111.1,83.33
tas,420,2,141.2,453,40.6,105.8,79.35
tas,420,3,123.3,583.9,41.6,124.8,93.6
tas,425,0,67.95,313.1,43.48,70.75,53.06
tas,425,1,94.93,536.4,43.73,112.5,84.39
tas,425,2,142.9,460.2,40.6,107.3,80.46
tas,425,3,124.4,593.6,41.6,126.6,94.94
tas,430,0,68.94,316.9,43.6,71.57,53.68
tas,430,1,96.71,543.1,43.85,113.9,85.46
tas,430,2,144.6,467.3,40.6,108.7,81.56
tas,430,3,125.4,603.4,41.48,128.4,96.29
tas,435,0,69.87,320.3,43.6,72.29,54.22
tas,435,1,98.35,550.4,43.85,115.4,86.57
tas,435,2,146.3,474.2,40.6,110.2,82.63
tas,435,3,126.4,612.9,41.48,130.1,97.6
tas,440,0,70.8,323.6,43.6,73,54.75
tas,440,1,99.89,557.8,43.85,116.9,87.7
tas,440,2,147.9,480.8,40.35,111.5,83.64
tas,440,3,127.5,622.3,41.73,131.9,98.94
tas,445,0,71.7,326.9,43.73,73.73,55.29
tas,445,1,101.3,565.6,43.73,118.4,88.83
tas,445,2,149.6,487.4,40.35,112.9,84.67
tas,445,3,128.7,631.3,41.73,133.6,100.2
tas,450,0,72.51,330,43.85,74.4,55.8
tas,450,1,102.7,572.9,43.73,119.9,89.92
tas,450,2,151.2,494.3,40.48,114.3,85.75
tas,450,3,129.9,640.5,41.6,135.3,101.5
tas,455,0,73.28,332.9,43.85,75.01,56.26
tas,455,1,104.1,580,43.6,121.3,90.97
tas,455,2,152.9,500.9,40.35,115.7,86.76
tas,455,3,131,649.7,41.73,137.1,102.8
tas,460,0,74.03,335.8,43.73,75.59,56.69
tas,460,1,105.5,587.1,43.6,122.7,92.02
tas,460,2,154.4,507.7,40.35,117.1,87.8
tas,460,3,132.1,659,41.73,138.8,104.1
tas,465,0,74.74,338.4,43.48,76.1,57.08
tas,465,1,106.9,594.2,43.73,124.1,93.1
tas,465,2,155.9,514.4,40.35,118.4,88.83
tas,465,3,133.2,668.2,41.73,140.5,105.4
tas,470,0,75.4,341.2,43.23,76.64,57.48
tas,470,1,108.2,601.7,43.85,125.6,94.21
tas,470,2,157.3,521.1,40.35,119.8,89.85
tas,470,3,134.3,677,41.73,142.2,106.6
tas,475,0,76.09,344.2,43.23,77.24,57.93
tas,475,1,109.5,609.1,43.98,127.1,95.32
tas,475,2,158.7,528.1,40.1,121.2,90.87
tas,475,3,135.5,685.8,41.73,143.8,107.9
tas,480,0,76.79,347.1,43.23,77.85,58.39
tas,480,1,110.9,616.4,44.1,128.6,96.42
tas,480,2,160.2,535.2,40.35,122.6,91.97
tas,480,3,136.7,694.9,41.48,145.5,109.1
tas,485,0,77.48,349.8,43.1,78.4,58.8
tas,485,1,112.5,622.9,44.23,129.9,97.46
tas,485,2,161.6,542.6,40.35,124.1,93.07
tas,485,3,137.7,704.7,41.48,147.3,110.5
tas,490,0,78.14,352.5,42.85,78.91,59.18
tas,490,1,114,630,44.1,131.3,98.51
tas,490,2,163,550.3,40.23,125.6,94.18
tas,490,3,138.9,713.9,41.73,149.1,111.8
tas,495,0,78.76,355,42.85,79.44,59.58
tas,495,1,115.4,637.7,44.23,132.9,99.67
tas,495,2,164.5,557.5,40.35,127.1,95.29
tas,495,3,140,723,41.48,150.7,113.1
tas,500,0,79.34,357.3,42.85,79.92,59.94
tas,500,1,116.9,645.6,44.48,134.5,100.9
tas,500,2,166.2,564.2,40.35,128.4,96.34
tas,500,3,141.1,732.5,41.35,152.5,114.4
tas,505,0,79.9,359.4,42.85,80.36,60.27
tas,505,1,118.4,653.4,44.73,136.1,102.1
tas,505,2,167.8,571,40.23,129.8,97.38
tas,505,3,142,742.2,41.35,154.3,115.7
tas,510,0,80.43,361.3,42.98,80.79,60.59
tas,510,1,119.8,661.8,44.48,137.7,103.3
tas,510,2,169.4,578.3,40.1,131.3,98.47
tas,510,3,143.3,750.7,41.6,155.9,117
tas,515,0,80.89,363.1,42.98,81.17,60.88
tas,515,1,121.1,670.4,44.35,139.3,104.5
tas,515,2,170.8,586,39.98,132.8,99.6
tas,515,3,144.8,758.1,41.85,157.5,118.1
tas,520,0,81.26,364.9,42.98,81.53,61.14
tas,520,1,122.3,679.6,44.23,141,105.8
tas,520,2,172,594.4,39.6,134.3,100.7
tas,520,3,146.7,763.8,42.1,158.8,119.1
tas,525,0,81.64,366.7,42.98,81.89,61.42
tas,525,1,123.4,688.9,43.98,142.7,107
tas,525,2,173.1,603.1,39.85,136,102
tas,525,3,148.7,769.3,42.1,160,120
tas,530,0,82.07,368.9,43.23,82.37,61.78
tas,530,1,124.8,697.3,44.1,144.4,108.3
tas,530,2,174.3,611.6,39.98,137.6,103.2
tas,530,3,150.4,775.8,41.98,161.4,121
tas,535,0,82.55,371.4,43.23,82.86,62.15
tas,535,1,126.2,705.6,44.1,146,109.5
tas,535,2,175.3,621.4,40.1,139.5,104.6
tas,535,3,152.5,781.3,42.1,162.6,122
tas,540,0,83.03,373.8,43.23,83.35,62.51
tas,540,1,127.7,713.3,44.1,147.5,110.6
tas,540,2,176.1,631.7,39.98,141.3,106
tas,540,3,154.6,786.9,42.1,163.9,122.9
