time    cpu HT0     HT1       HT2       L2miss   
     630   0  799388         0  38883562   543714
     635   0  949237         0  47823657   544561
     635   3       0  54362334         0 15667766
     640   3       0  47262954         0  3230712
     640   2       0  47307464         0 12595004
     645   1 1894555         0  57621389   489798
     645   3       0  51319529         0 18771993
     650   2       0  55971144         0  4715628
     650   1 1530264         0  48682968   816076
     650   3       0  55975701         0  8300275
     655   0 1517147         0  45952561   622546
     655   2       0  46707102         0 11285356
     660   0 1509466         0  64608268   631139
     660   1 1509466         0  64610190   950189
     660   2       0  73204415         0 14089851
     665   2       0 143753975         0 11254007
     665   3       0 143798772         0 18541577
     670   0 1503016         0 123228522   609349
     670   1 1503016         0 123233998   424844
     670   3       0 155432234         0 19421536
     675   2       0  71108623         0 13314639
     680   1  218634         0 102785545  1339762
     680   2       0 118273934         0 20449705
     685   2       0 108794720         0  4155552
     685   0 1495477         0  87842954   650366
     685   3       0 108853549         0 13909828
     690   1 1508638         0  44738472   996064
     690   2       0  56425618         0 14226341
     695   1 1521273         0 130848203   572688
     695   3       0 172317603         0 27576334
     700   3       0  52400748         0   515231
     700   2       0  52437552         0 22564441
     705   0 1883011         0 111000589   775719
     705   2       0 137299737         0 16597311
     710   1 1510484         0 112764923   383720
     710   0 1510484         0 112769836   998402
     710   2       0 144299305         0  8091699
     715   2       0 123928942         0  1472185
     715   3       0 123982874         0 19350007
     720   0 1528750         0  95270603   753988
     720   3       0 117829389         0 16587090
     725   1 1042607         0 124243902   894288
     725   3       0 167918811         0  1353647
     725   2       0 168007132         0 24260907
     730   0  677629         0  97160232   366870
     730   3       0 124239197         0 21706739
     735   2       0  98039791         0  7131497
     735   0 1708552         0  82462098  1141540
     735   3       0  98040004         0 10343000
     740   3       0  69404380         0  4203808
     740   2       0  69447742         0  9803368
     745   0 1490944         0 124494287   668446
     745   2       0 158822928         0 17268053
     750   2       0  80616816         0  1776103
     750   3       0  80667328         0 21659009
     755   1 1525446         0  84280193  1070328
     755   0 1525446         0  84279250   919203
     755   3       0  96834330         0  9902284
     760   0 1503174         0  79949582   619195
     760   3       0  95911259         0 10998843
     765   1 1646597         0  49582353   505922
     765   3       0  52484844         0  7938875
     770   1 1516014         0  42259529   763531
     770   3       0  53420699         0  6700385
     775   1  721200         0  81142439   198933
     775   3       0 102996423         0 12637876
     775   2       0 103089938         0  6204755
     780   0 1033283         0  53759243   855871
     780   2       0  68701634         0 15372213
     785   0 1521873         0  47050350   760689
     785   2       0  57118857         0 17671797
     790   2       0 109717042         0   477829
     790   3       0 109759971         0 19337200
     795   1 1697847         0 100725994   425969
     795   2       0 123517367         0 23004074
     800   2       0 143420821         0  7254027
     800   3       0 143467074         0 17748823
     805   0 1513093         0  78514140  3855412
     805   1 1513095         0  78538281  8687580
     810   0 1531777         0  72920052 14513262
     810   1 1531777         0  72919024  4602663
     815   2       0  50704507         0   516352
     815   3       0  50711626         0   506579
     815   1 1529186         0  53682974 10109149
     820   3       0  36654598         0   350708
     825   2       0  32826727         0   197541
     825   3       0  32852541         0   226602
     825   0  376048         0  43418582 10315398
     830   3       0  48570288         0   475708
     830   0 1513849         0  53069977 10678532
     835   1 1523516         0  65819646  3050536
     835   0 1523514         0  65818877 15985025
     840   3       0  55217427         0   495689
     840   0 1495036         0  56359627 12165859
     845   2       0  54563252         0   485841
     845   0 1527784         0  60386889 12931800
     850   0 1521797         0  46736720  1234649
     850   1 1521801         0  46776445 17946273
     855   1 1659377         0  45993290  4016424
     855   0 1659381         0  46037108  8936661
     860   0 1492106         0  46805188  8584929
     860   1 1492108         0  46850716  4207890
     865   1 1530804         0  56354874  6909798
     865   3       0  45029440         0  1296360
     865   0 1530808         0  56398586 16161797
     870   3       0  54381451         0   327727
     870   0  991025         0  60010914 15821057
     870   2       0  54442863         0   318301
     875   0  742997         0  48669083  5843457
     875   2       0  43830937         0   279838
     880   1 1513169         0  50366880  4441919
     880   0 1513169         0  50384346 12065672
