time,cpu,FSB,L2miss
986,0,78823364,
988,1,,113332
988,0,,4664529
990,1,154681754,
990,0,154671426,
992,1,,409161
992,0,,3934697
994,1,68783739,
994,0,68786386,
996,1,,39305
996,0,,5086823
998,1,139118366,
1000,0,,4700990
1002,1,55852332,
1002,0,55864512,
1004,1,,101665
1004,0,,5468920
1006,1,111973654,
1008,1,,157534
1008,0,,4433011
1010,1,94280598,
1010,0,94292500,
1012,0,,5333037
1012,1,,381989
1014,1,104001534,
1016,0,,56699
1016,1,,3565237
1018,1,107092830,
1020,1,,2707061
1020,0,,3490614
1022,1,78710464,
1022,0,78715032,
1024,1,,47961
1024,0,,3445862
1026,1,125547740,
1026,0,125595250,
1028,1,,1424969
1028,0,,3283177
1030,1,81757128,
1030,0,81759996,
1032,1,,837378
1034,1,169343734,
1036,1,,3500087
1038,1,79298488,
1040,1,,3975031
1040,0,,958246
1042,1,166703992,
1044,1,,484427
1044,0,,3291607
1046,1,67222446,
1048,1,,3913125
1050,0,145215166,
1050,1,145221896,
1052,1,,3850940
1052,0,,147405
1054,0,80237973,
1056,1,,34954
1056,0,,4474459
1058,1,140778802,
1058,0,140771976,
1060,0,,3948678
1062,1,62823970,
1064,0,,177584
1064,1,,5378676
1066,0,131885112,
1068,0,,3001680
1070,1,75188398,
1070,0,75200262,
1072,1,,79107
1072,0,,5063210
1074,1,95718163,
1074,0,95718410,
1076,1,,108798
1076,0,,4600818
1078,1,94024910,
1078,0,94019846,
1080,1,,323166
1082,0,102963816,
1084,1,,45509
1084,0,,3668804
1086,0,120548469,
1086,1,120645280,
1088,1,,927335
1088,0,,5011636
1090,1,78788790,
1092,1,,3041776
1094,1,144625646,
1094,0,144658310,
1096,1,,3651688
1098,0,77788212,
1098,1,77807912,
1100,0,,926741
1100,1,,2520788
1102,1,163577212,
1102,0,164013758,
1104,1,,89353
1104,0,,3328308
1106,0,80107436,
1106,1,80250610,
1108,0,,3906521
1110,1,161693100,
1110,0,161688644,
1112,1,,169865
1112,0,,3888565
1114,1,65838256,
1114,0,65861040,
1116,0,,2373818
1118,0,155618566,
1118,1,155619387,
1120,1,,3737236
1122,1,77822336,
1122,0,77839432,
1124,1,,110767
1124,0,,4862337
1126,1,143854802,
1128,1,,979878
1130,1,53683935,
1130,0,53723722,
1132,1,,89529
1132,0,,5611608
1134,1,107892530,
1136,0,,2720203
1138,0,95048019,
1138,1,95054648,
