Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
365,44,42,32,41,3488.8,3567.2,8662,8236,1522284,1522284,1522284,430547065,430540580,430543822.5,654354777,654363777,654359277,171714156,363667,4973751,455203,233.5,114.4,1.88,175.13,140.1,70.05,67.9485,1.52,430.54,654.36,1717.14,3.64,49.74,4.55,0,0,0,0,0,0
370,45,42,32,41,3567.2,3567.2,8662,8449,1508206,1508206,1508206,411476150,411463681,411469915.5,615875265,615874091,615874678,173724747,720649,3599796,444979,233.1,114.5,1.92,174.83,139.86,69.93,67.8321,1.51,411.47,615.87,1737.25,7.21,36,4.45,0,0.2,0,2.4,0,2457.6
375,44,43,32,41,3567.2,3567.2,8662,8449,1534602,1534567,1534584.5,435892509,435919231,435905870,658713870,658687379,658700624.5,171639837,381612,559479,5050880,233.3,114.4,1.9,174.98,139.98,69.99,67.8903,1.53,435.91,658.7,1716.4,3.82,5.59,50.51,0,0,0,0,0,0
380,44,42,32,41,3567.2,3567.2,8662,8236,840143,840141,840142,376200312,376372514,376286413,561458700,561299000,561378850,226421,177951200,594681,227075,233.3,114.5,1.87,174.98,139.98,69.99,67.8903,0.84,376.29,561.38,2.26,1779.51,5.95,2.27,0,0,0,0,0,0
385,44,43,32,40,3488.8,3567.2,8662,8236,929398,929435,929416.5,395533471,395330578,395432024.5,594738751,594932707,594835729,273936,175532268,2196019,314074,233.2,114.5,1.88,174.9,139.92,69.96,67.8612,0.93,395.43,594.84,2.74,1755.32,21.96,3.14,0,0.6,0,4,0,4096
390,44,43,32,41,3488.8,3567.2,8662,8449,1517455,1517455,1517455,409490568,409496085,409493326.5,616991467,616989000,616990233.5,174036489,391695,3114474,1466624,233.3,114.4,1.87,174.98,139.98,69.99,67.8903,1.52,409.49,616.99,1740.36,3.92,31.14,14.67,0,0.8,0,3.8,0,3891.2
395,45,43,33,41,3567.2,3567.2,8662,8236,1528856,1528856,1528856,434729827,434746810,434738318.5,656069777,656064900,656067338.5,171485672,347620,586448,5186034,233.4,114.4,1.88,175.05,140.04,70.02,67.9194,1.53,434.74,656.07,1714.86,3.48,5.86,51.86,0,0,0,0,0,0
400,45,42,32,40,3488.8,3567.2,8662,8236,1541608,1541608,1541608,441829405,441810156,441819780.5,668131723,668131088,668131405.5,170957579,743854,2016035,3540198,233.5,114.4,1.88,175.13,140.1,70.05,67.9485,1.54,441.82,668.13,1709.58,7.44,20.16,35.4,0,0.4,0,6.3,0,6451.2
405,45,42,32,41,3567.2,3567.2,8449,8236,1555833,1555833,1555833,386537953,386550153,386544053,575125786,575122063,575123924.5,1881889,175966292,1255896,482870,233.5,114.4,1.88,175.13,140.1,70.05,67.9485,1.56,386.54,575.12,18.82,1759.66,12.56,4.83,0,0,0,0,0,0
410,45,42,33,41,3567.2,3567.2,8662,8449,1526688,1526688,1526688,415441866,415431306,415436586,621046363,621052433,621049398,174194609,375022,2801264,489020,233.8,114.4,1.88,175.35,140.28,70.14,68.0358,1.53,415.44,621.05,1741.95,3.75,28.01,4.89,0,0,0,0,0,0
415,45,43,33,41,3567.2,3567.2,8662,8236,1525962,1525962,1525962,445105540,445124110,445114825,675756786,675754093,675755439.5,169564853,399204,1854627,5649202,233.6,114.4,1.87,175.2,140.16,70.08,67.9776,1.53,445.11,675.76,1695.65,3.99,18.55,56.49,0,0.2,0,1.2,0,1228.8
420,45,42,33,41,3567.2,3567.2,8449,8236,1551750,1551750,1551750,404054085,404025514,404039799.5,603582926,603584568,603583747,393249,175989134,2594033,401002,233.2,114.2,1.93,174.9,139.92,69.96,67.8612,1.55,404.04,603.58,3.93,1759.89,25.94,4.01,0,1.4,0,8.2,0,8396.8
425,45,42,33,41,3567.2,3567.2,8662,8236,1528258,1528258,1528258,421910171,421932030,421921100.5,634218817,634226617,634222717,171208216,2255300,1787445,2512788,233.4,114.4,1.87,175.05,140.04,70.02,67.9194,1.53,421.92,634.22,1712.08,22.55,17.87,25.13,0,0,0,0,0,0
