 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6555548 7581680 147 1929 0 1 1 0  0  1  0  0  0  576 1627  295 25  3 72
 0 0 0 6550080 7576412 147 2042 0 0 0 0  0  0  0  0  0  504 1617  269 25  3 72
 0 0 0 6549408 7575620 147 1842 0 0 0 0  0  0  0  0  0  550 1605  307 25  3 72
 0 0 0 6548384 7574756 90 1048 0 0 0  0  0  0  0  0  0  503 1224  262 25  2 73
 0 0 0 6547352 7573580 57 900 0 0  0  0  0  0  0  0  0  480 1092  221 25  2 73
 0 0 0 6545644 7572004 147 1883 0 0 0 0  0  0  0  0  0  508 1638  268 25  3 72
 0 0 0 6544964 7571176 147 1919 0 0 0 0  0  1  0  0  0  561 1628  265 25  3 72
 0 0 0 6543296 7569648 147 1836 0 1 1 0  0  0  0  0  0  552 1630  302 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6542808 7569016 147 1879 0 0 0 0  0  0  0  0  0  545 1630  303 25  3 72
 0 0 0 6541508 7567896 147 1873 0 0 0 0  0  0  0  0  0  536 1625  272 25  3 72
 0 0 0 6540200 7566436 147 1899 0 0 0 0  0  0  0  0  0  527 1635  303 25  3 72
 0 0 0 6539036 7565424 147 1873 0 0 0 0  0  0  0  0  0  535 1696  300 25  3 72
 0 0 0 6538132 7564524 147 1870 0 1 1 0  0  1  0  0  0  548 1615  270 25  3 72
 0 0 0 6537612 7563856 58 747 0 0  0  0  0  0  0  0  0  502 1170  261 25  2 73
 0 0 0 6536588 7562832 89 1151 0 0 0  0  0  0  0  0  0  484 1214  229 25  2 73
 0 0 0 6535424 7561824 147 1878 0 0 0 0  0  0  0  0  0  542 1638  303 25  3 72
 0 0 0 6535048 7561280 147 1873 0 0 0 0  0  0  0  0  0  531 1627  273 25  3 72
 0 0 0 6533720 7560096 147 1885 0 0 0 0  0  1  0  0  0  543 1637  262 25  3 72
