Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
155,41,43,32,41,3567.2,3567.2,8662,8449,1540340,1540340,1540340,14280165,14280740,14280452.5,15396164,15399385,15397774.5,462627,418814,317889,221736,205.9,114.8,1.732,154.425,123.54,61.77,1.54034,14.2804525,15.3977745,4.62627,4.18814,3.17889,2.21736
160,41,43,33,41,3567.2,3567.2,8449,8449,1540106,1540106,1540106,13968578,13970433,13969505.5,16512628,16518821,16515724.5,354370,238591,371864,469533,205.9,114.8,1.653,154.425,123.54,61.77,1.540106,13.9695055,16.5157245,3.5437,2.38591,3.71864,4.69533
165,41,43,32,41,3567.2,3567.2,8449,8662,1548757,1548757,1548757,16009244,16007213,16008228.5,21641090,21631038,21636064,553619,364656,282141,586112,206,114.9,1.652,154.5,123.6,61.8,1.548757,16.0082285,21.636064,5.53619,3.64656,2.82141,5.86112
170,41,43,32,41,3567.2,3567.2,8662,8449,1542968,1542968,1542968,14428168,14430306,14429237,17114257,17115121,17114689,433127,174226,398845,407340,206.1,114.8,1.655,154.575,123.66,61.83,1.542968,14.429237,17.114689,4.33127,1.74226,3.98845,4.0734
175,41,43,32,41,3567.2,3567.2,8449,8449,1537748,1537706,1537727,16677010,16675151,16676080.5,22129542,22120547,22125044.5,507090,387178,368737,438536,206.1,114.8,1.656,154.575,123.66,61.83,1.537727,16.6760805,22.1250445,5.0709,3.87178,3.68737,4.38536
180,41,43,32,41,3488.8,3567.2,8662,8662,1535597,1535641,1535619,14825801,14825464,14825632.5,17668864,17702378,17685621,502103,402467,351491,266449,206.2,114.7,1.652,154.65,123.72,61.86,1.535619,14.8256325,17.685621,5.02103,4.02467,3.51491,2.66449
185,41,43,32,41,3567.2,3567.2,8449,8449,1529680,1529678,1529679,14196880,14200569,14198724.5,15200397,15174423,15187410,451381,434293,366995,165517,206.2,114.8,1.653,154.65,123.72,61.86,1.529679,14.1987245,15.18741,4.51381,4.34293,3.66995,1.65517
190,41,43,32,41,3567.2,3567.2,8662,8449,512529,511113,511821,3286363,3281292,3283827.5,3970503,3947832,3959167.5,126538,34124,55591,144624,206.3,114.7,1.657,154.725,123.78,61.89,0.511821,3.2838275,3.9591675,1.26538,0.34124,0.55591,1.44624
195,41,43,32,41,3567.2,3567.2,8449,8449,1251265,1252675,1251970,16618443,16619910,16619176.5,21825258,21849676,21837467,451636,419927,313927,524314,206.4,114.8,1.653,154.8,123.84,61.92,1.25197,16.6191765,21.837467,4.51636,4.19927,3.13927,5.24314
200,41,43,32,41,3567.2,3567.2,8662,8449,1532998,1533004,1533001,14544250,14545804,14545027,15594703,15594423,15594563,479800,454901,281186,219479,206,114.8,1.662,154.5,123.6,61.8,1.533001,14.545027,15.594563,4.798,4.54901,2.81186,2.19479
