Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
200,44,47,35,44,3567.2,3567.2,8449,8662,1536959,1536959,1536959,14169796,14813536,14491666,18862607,18868463,18865535,353004,274846,351088,491465,209.9,115,1.659,157.425,125.94,62.97,1.536959,14.491666,18.865535,3.53004,2.74846,3.51088,4.91465
205,44,47,35,44,3567.2,3567.2,8662,8449,1532682,1532682,1532682,13516256,14171009,13843632.5,15204254,15203778,15204016,485970,409790,335926,148269,208.8,115,1.659,156.6,125.28,62.64,1.532682,13.8436325,15.204016,4.8597,4.0979,3.35926,1.48269
210,44,46,35,44,3488.8,3567.2,8662,8449,1552877,1552877,1552877,16762814,13517877,15140345.5,14367006,14357665,14362335.5,506380,407928,293547,197460,208.3,115,1.661,156.225,124.98,62.49,1.552877,15.1403455,14.3623355,5.0638,4.07928,2.93547,1.9746
215,44,46,35,44,3488.8,3567.2,8662,8449,1544641,1544641,1544641,14163239,16759823,15461531,22211684,22220364,22216024,484009,439335,409456,550220,207.5,115,1.742,155.625,124.5,62.25,1.544641,15.461531,22.216024,4.84009,4.39335,4.09456,5.5022
220,44,46,35,44,3567.2,3567.2,8662,8449,1536895,1536895,1536895,17019090,14161623,15590356.5,16559561,16550197,16554879,427674,202407,787782,336110,207.3,114.9,1.674,155.475,124.38,62.19,1.536895,15.5903565,16.554879,4.27674,2.02407,7.87782,3.3611
225,44,46,35,44,3567.2,3567.2,8662,8449,1530887,1530887,1530887,16047887,17017788,16532837.5,24215179,24215133,24215156,405144,211840,611899,310831,207.3,114.9,1.661,155.475,124.38,62.19,1.530887,16.5328375,24.215156,4.05144,2.1184,6.11899,3.10831
230,44,46,35,44,3567.2,3567.2,8662,8449,1535058,1535058,1535058,9600942,16049542,12825242,20800142,20808594,20804368,370653,156505,257031,348629,207.3,115,1.659,155.475,124.38,62.19,1.535058,12.825242,20.804368,3.70653,1.56505,2.57031,3.48629
235,43,46,35,44,3488.8,3567.2,8662,8449,1500494,1508754,1504624,7251113,9600998,8426055.5,11686191,11694009,11690100,277508,81323,164152,265345,207.3,115,1.658,155.475,124.38,62.19,1.504624,8.4260555,11.6901,2.77508,0.81323,1.64152,2.65345
240,43,46,35,44,3567.2,3567.2,8662,8449,277951,269691,273821,16906894,7251008,12078951,8814385,8798116,8806250.5,198356,116771,342198,323944,207.3,115,1.658,155.475,124.38,62.19,0.273821,12.078951,8.8062505,1.98356,1.16771,3.42198,3.23944
245,43,46,35,44,3567.2,3567.2,8662,8449,1552404,1552362,1552383,13956510,16907511,15432010.5,23090371,23081797,23086084,508426,420631,417787,549298,207.4,115,1.658,155.55,124.44,62.22,1.552383,15.4320105,23.086084,5.08426,4.20631,4.17787,5.49298
250,43,46,35,44,3488.8,3567.2,8449,8449,1532535,1532577,1532556,17039442,13958050,15498746,16119418,16125806,16122612,416616,222119,413142,326079,207.4,115.1,1.658,155.55,124.44,62.22,1.532556,15.498746,16.122612,4.16616,2.22119,4.13142,3.26079
255,43,46,35,44,3567.2,3567.2,8662,8449,1524787,1524787,1524787,15117691,17033744,16075717.5,24488383,24489608,24488995.5,403643,262309,431291,643637,207.5,115,1.659,155.625,124.5,62.25,1.524787,16.0757175,24.4889955,4.03643,2.62309,4.31291,6.43637
260,43,45,35,44,3567.2,3567.2,8662,8662,1554064,1554064,1554064,14184278,15122102,14653190,18954669,18963949,18959309,386480,192238,409637,464404,207.4,115.1,1.661,155.55,124.44,62.22,1.554064,14.65319,18.959309,3.8648,1.92238,4.09637,4.64404
265,43,45,35,44,3567.2,3567.2,8662,8449,1546986,1546986,1546986,14215043,14184531,14199787,16266006,16257426,16261716,434057,244528,366447,309798,206.9,115,1.699,155.175,124.14,62.07,1.546986,14.199787,16.261716,4.34057,2.44528,3.66447,3.09798
270,44,45,35,44,3567.2,3645.6,8662,8449,1541115,1541115,1541115,16737320,14217607,15477463.5,16518318,16519016,16518667,403564,248109,384502,430067,206.9,115,1.657,155.175,124.14,62.07,1.541115,15.4774635,16.518667,4.03564,2.48109,3.84502,4.30067
275,44,45,35,44,3567.2,3567.2,8662,8662,1541254,1541254,1541254,14492465,16734634,15613549.5,23367385,23375609,23371497,444722,209640,420022,703431,206.9,115.1,1.657,155.175,124.14,62.07,1.541254,15.6135495,23.371497,4.44722,2.0964,4.20022,7.03431
280,45,45,35,44,3567.2,3567.2,8662,8662,1550861,1550861,1550861,11639278,14492168,13065723,17058074,17049909,17053991.5,415208,236057,636121,310993,206.9,114.9,1.656,155.175,124.14,62.07,1.550861,13.065723,17.0539915,4.15208,2.36057,6.36121,3.10993
285,45,45,35,44,3567.2,3567.2,8662,8449,1132201,1132189,1132195,8780268,11618093,10199180.5,18667751,18668564,18668157.5,253789,209650,274665,138425,215.9,114.9,1.706,161.925,129.54,64.77,1.132195,10.1991805,18.6681575,2.53789,2.0965,2.74665,1.38425
290,45,45,35,44,3567.2,3567.2,8662,8662,647567,647579,647573,14146256,8799695,11472975.5,10316581,10323459,10320020,275156,219229,435309,49757,220.6,115,1.778,165.45,132.36,66.18,0.647573,11.4729755,10.32002,2.75156,2.19229,4.35309,0.49757
295,45,45,35,44,3567.2,3567.2,8662,8449,1535470,1535470,1535470,122847700,14141587,68494643.5,16380779,16371810,16376294.5,403987,244325,977113,312805,225.5,114.9,1.779,169.125,135.3,67.65,1.53547,68.4946435,16.3762945,4.03987,2.44325,9.77113,3.12805
300,45,45,35,44,3567.2,3567.2,8662,8662,4275747,4275705,4275726,57849915,122858047,90353981,137214535,137212901,137213718,3770571,7726579,1158166,5828678,224.2,114.9,1.779,168.15,134.52,67.26,4.275726,90.353981,137.213718,37.70571,77.26579,11.58166,58.28678
305,46,46,35,44,3567.2,3645.6,8662,8449,4172592,4172634,4172613,104357447,57848452,81102949.5,75487619,75497239,75492429,2486418,11257407,808587,868450,223.5,114.9,1.777,167.625,134.1,67.05,4.172613,81.1029495,75.492429,24.86418,112.57407,8.08587,8.6845
310,46,45,35,44,3567.2,3567.2,8662,8449,1548319,1548319,1548319,72838014,104351352,88594683,147964762,147945504,147955133,21499941,443469,952054,3060795,222.9,115,1.781,167.175,133.74,66.87,1.548319,88.594683,147.955133,214.99941,4.43469,9.52054,30.60795
315,46,45,35,44,3567.2,3645.6,8662,8449,1519074,1519074,1519074,74053208,72843763,73448485.5,108438261,108464711,108451486,402387,24763226,706764,683456,222.4,114.9,1.856,166.8,133.44,66.72,1.519074,73.4484855,108.451486,4.02387,247.63226,7.06764,6.83456
320,46,45,35,44,3567.2,3567.2,8662,8449,1567238,1567238,1567238,73036722,74055260,73545991,105893466,105874956,105884211,24903728,397418,785648,726301,222.4,115,1.777,166.8,133.44,66.72,1.567238,73.545991,105.884211,249.03728,3.97418,7.85648,7.26301
325,45,45,35,44,3567.2,3645.6,8662,8449,1531425,1531425,1531425,77691643,73037518,75364580.5,104670211,104665355,104667783,3575051,21598002,1242541,725741,222.3,114.9,1.779,166.725,133.38,66.69,1.531425,75.3645805,104.667783,35.75051,215.98002,12.42541,7.25741
330,46,45,35,44,3567.2,3567.2,8662,8449,1564962,1564962,1564962,74623556,77683384,76153470,109231525,109231197,109231361,24966410,449229,760825,407265,222.4,115,1.78,166.8,133.44,66.72,1.564962,76.15347,109.231361,249.6641,4.49229,7.60825,4.07265
335,46,45,35,44,3567.2,3567.2,8662,8449,846516,860531,853523.5,72319511,74550317,73434914,113040133,113459103,113249618,17827710,6704734,880924,1062728,222.5,115,1.778,166.875,133.5,66.75,0.8535235,73.434914,113.249618,178.2771,67.04734,8.80924,10.62728
340,46,45,35,44,3567.2,3567.2,8662,8662,928091,914076,921083.5,101357716,72392558,86875137,103644995,103230047,103437521,24936965,388083,2523502,366489,222.5,115,1.779,166.875,133.5,66.75,0.9210835,86.875137,103.437521,249.36965,3.88083,25.23502,3.66489
345,46,45,35,44,3567.2,3567.2,8662,8449,1549737,1549737,1549737,75243840,101360322,88302081,150016655,150017182,150016918.5,22920443,786276,573685,870624,222.6,114.9,1.779,166.95,133.56,66.78,1.549737,88.302081,150.0169185,229.20443,7.86276,5.73685,8.70624
350,46,46,35,44,3488.8,3567.2,8449,8449,1533554,1533554,1533554,90174702,75244809,82709755.5,106999498,106995930,106997714,24897895,423833,1006130,954962,222.7,114.9,1.78,167.025,133.62,66.81,1.533554,82.7097555,106.997714,248.97895,4.23833,10.0613,9.54962
355,46,45,35,44,3488.8,3567.2,8662,8449,1529268,1529268,1529268,79938609,90177709,85058159,129762530,129760035,129761282.5,23862077,427882,754821,1676118,222.7,115,1.778,167.025,133.62,66.81,1.529268,85.058159,129.7612825,238.62077,4.27882,7.54821,16.76118
360,46,45,35,43,3488.8,3567.2,8662,8449,1540405,1540405,1540405,101520833,79933205,90727019,113310713,113314718,113312715.5,11966144,13165068,2850488,1034656,222.3,114.9,1.793,166.725,133.38,66.69,1.540405,90.727019,113.3127155,119.66144,131.65068,28.50488,10.34656
365,46,45,35,44,3567.2,3567.2,8449,8449,1557899,1557899,1557899,79120523,101519721,90320122,148374581,148372587,148373584,23270519,492419,1115353,398488,222.4,114.8,1.815,166.8,133.44,66.72,1.557899,90.320122,148.373584,232.70519,4.92419,11.15353,3.98488
370,46,45,35,44,3567.2,3567.2,8662,8662,1547217,1547217,1547217,92993867,79120348,86057107.5,112504651,112502135,112503393,24525116,381500,2071084,654607,222.4,115,1.78,166.8,133.44,66.72,1.547217,86.0571075,112.503393,245.25116,3.815,20.71084,6.54607
375,46,45,35,43,3567.2,3645.6,8662,8662,1548161,1548161,1548161,72173504,92981458,82577481,138097541,138105461,138101501,20544018,3755496,511168,865363,222.4,114.9,1.78,166.8,133.44,66.72,1.548161,82.577481,138.101501,205.44018,37.55496,5.11168,8.65363
