 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6676476 7722168 136 1823 0 0 0 0  0  0  0  0  0  536 1506  281 25  3 72
 0 0 0 6676452 7722156 16 94 0  0  0  0  0  0  0  0  0  452  647  196 25  1 74
 0 0 0 6676452 7722156 121 1733 0 0 0 0  0  0  0  0  0  482 1391  273 25  2 73
 0 0 0 6676168 7722008 136 1826 0 0 0 0  0  0  0  0  0  540 1495  294 25  3 72
 0 0 0 6676452 7722144 136 1824 0 0 0 0  0  0  0  0  0  508 1570  310 25  3 72
 0 0 0 6676168 7722004 136 1826 0 0 0 0  0  0  0  0  0  543 1493  272 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6676452 7722132 137 1825 0 1 1 0  0  1  0  0  0  544 1507  280 25  3 72
 0 0 0 6676184 7722012 136 1822 0 0 0 0  0  1  0  0  0  523 1493  276 25  3 72
 0 0 0 6676432 7722112 136 1827 0 0 0 0  0  0  0  0  0  525 1507  271 25  3 72
 0 0 0 6676180 7722000 136 1826 0 0 0 0  0  0  0  0  0  532 1494  274 25  3 72
 0 0 0 6676148 7721972 136 1823 0 0 0 0  0  0  0  0  0  526 1506  268 25  3 72
 0 0 0 6676432 7722108 16 93 0  1  1  0  0  0  0  0  0  459  639  191 25  1 74
 0 0 0 6676432 7722108 121 1731 0 0 0 0  0  0  0  0  0  530 1399  267 25  2 72
 0 0 0 6676124 7721960 136 1826 0 0 0 0  0  0  0  0  0  520 1494  269 25  3 72
 0 0 0 6676408 7722076 136 1825 0 0 0 0  0  0  0  0  0  531 1507  273 25  3 72
 0 0 0 6676152 7721968 136 1824 0 0 0 0  0  0  0  0  0  516 1491  274 25  3 72
 0 0 0 6676408 7722072 136 1827 0 0 0 0  0  0  0  0  0  531 1510  270 25  3 72
 0 0 0 6676156 7721964 136 1823 0 0 0 0  0  0  0  0  0  514 1489  285 25  3 72
 0 0 0 6676124 7721940 136 1827 0 0 0 0  0  0  0  0  0  536 1509  283 25  3 72
 0 0 0 6676408 7722068 136 1824 0 0 0 0  0  1  0  0  0  531 1492  269 25  3 72
 0 0 0 6676124 7721932 136 1824 0 0 0 0  0  0  0  0  0  528 1505  281 25  3 72
 0 0 0 6676408 7722064 16 93 0  0  0  0  0  0  0  0  0  441  628  189 25  1 74
 0 0 0 6676408 7722064 121 1732 0 0 0 0  0  0  0  0  0  518 1415  269 25  2 72
 0 0 0 6676152 7721956 136 1826 0 0 0 0  0  0  0  0  0  541 1491  270 25  3 72
 0 0 0 6676384 7722048 137 1826 0 1 1 0  0  0  0  0  0  539 1508  278 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6676132 7721940 136 1823 0 0 0 0  0  0  0  0  0  521 1491  284 25  3 72
 0 0 0 6676100 7721900 136 1827 0 0 0 0  0  0  0  0  0  534 1505  297 25  3 72
 0 0 0 6676384 7722036 136 1825 0 0 0 0  0  0  0  0  0  526 1492  274 25  3 72
 0 0 0 6676100 7721900 136 1825 0 0 0 0  0  0  0  0  0  528 1572  303 25  3 72
 0 0 0 6676384 7722028 137 1825 0 1 1 0  0  0  0  0  0  547 1499  270 25  3 72
 0 0 0 6676128 7721920 136 1824 0 0 0 0  0  1  0  0  0  543 1508  287 25  3 72
 0 0 0 6676372 7722016 16 93 0  0  0  0  0  0  0  0  0  442  613  191 25  1 74
 0 0 0 6676364 7722004 121 1733 0 0 0 0  0  0  0  0  0  524 1428  281 25  3 72
 0 0 0 6676112 7721896 136 1825 0 0 0 0  0  0  0  0  0  519 1496  297 25  3 72
 0 0 0 6676080 7721868 136 1825 0 0 0 0  0  0  0  0  0  530 1508  267 25  3 72
 0 0 0 6676364 7722004 136 1823 0 0 0 0  0  0  0  0  0  551 1491  270 25  3 72
 0 0 0 6676056 7721860 137 1827 0 1 1 0  0  0  0  0  0  533 1509  276 25  3 72
 0 0 0 6676340 7721976 136 1825 0 0 0 0  0  0  0  0  0  535 1499  281 25  3 72
 0 0 0 6676084 7721860 136 1826 0 0 0 0  0  0  0  0  0  530 1507  279 25  3 72
 0 0 0 6676340 7721964 136 1823 0 0 0 0  0  0  0  0  0  536 1493  283 25  3 72
 0 0 0 6676088 7721856 136 1827 0 0 0 0  0  0  0  0  0  531 1510  267 25  3 72
 0 0 0 6676340 7721964 16 93 0  0  0  0  0  0  0  0  0  471  593  186 25  0 75
 0 0 0 6676056 7721832 121 1733 0 0 0 0  0  0  0  0  0  531 1464  285 25  3 72
 0 0 0 6676340 7721968 136 1825 0 0 0 0  0  0  0  0  0  522 1493  275 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6676056 7721832 138 1900 0 0 0 0  0  0  0  0  0  523 1532  282 25  3 72
 0 0 0 6676340 7721964 136 1827 0 0 0 0  0  0  0  0  0  534 1498  278 25  3 72
