Time Temp Temp Planar_Temp VRD_0_Temp VRD_1_Temp Fan_1 Fan_2A Fan_2B Fan_3A Fan_3B Fan_4A Fan_4B Fan_5A Fan_5B Fan_Redundancy
1408 34 37 26 18 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
1416 33 37 26 18 21 3150 7500 5250 7425 5400 7575 5325 7875 5250 54h
1424 33 35 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
1432 36 34 26 18 21 3150 7575 5325 7425 5400 7575 5325 7950 5250 54h
1440 34 33 26 19 20 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
1448 34 33 26 19 20 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
1456 32 37 26 18 20 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
1464 30 37 26 18 21 3150 7575 5325 7425 5325 7575 5325 7875 5250 54h
1472 32 34 26 18 21 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
1480 34 34 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
1488 33 34 26 18 21 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
1496 33 33 26 18 21 3150 7500 5250 7500 5325 7575 5250 7950 5250 54h
1504 34 34 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
1512 34 33 26 18 20 3150 7500 5250 7425 5325 7575 5250 7875 5250 54h
1520 35 32 26 19 20 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
1528 35 33 26 19 20 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
1536 34 33 26 19 20 3150 7575 5250 7425 5325 7500 5250 7950 5250 54h
1544 32 36 26 19 20 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
1552 35 35 26 19 20 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
1560 35 35 26 19 20 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
1568 34 37 27 18 20 3150 7575 5250 7425 5325 7500 5250 7950 5250 54h
1576 33 37 26 18 21 3150 7500 5250 7425 5325 7500 5250 7875 5250 54h
1584 32 37 26 18 21 3150 7575 5250 7425 5325 7500 5250 7950 5250 54h
1592 34 38 26 18 21 3150 7575 5250 7425 5400 7500 5250 7950 5250 54h
1600 35 37 26 18 21 3150 7575 5250 7425 5400 7500 5250 7875 5250 54h
1608 32 36 26 18 21 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
1616 34 36 26 18 21 3150 7575 5325 7500 5400 7575 5325 7950 5250 54h
1624 34 34 26 18 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
1632 31 36 26 18 21 3150 7650 5250 7425 5325 7500 5250 7875 5250 54h
