 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10813060 7667860 92 2190 0 0 0 0  0 12  0  0  0  472 1567  277  0  3 97
 0 0 0 10813220 7667868 92 2184 0 0 0 0  0  0  0  0  0  472 1568  271  0  3 97
 0 0 0 10813072 7667884 96 2188 0 0 0 0  0  0  0  0  0  469 1566  272  0  3 97
 0 0 0 10812980 7667780 92 2188 0 0 0 0  0  0  0  0  0  459 1570  276  0  3 97
 1 0 0 10813220 7667868 92 2186 0 0 0 0  0  0  0  0  0  458 1566  266  0  3 97
 0 0 0 10813068 7667896 98 2189 0 0 0 0  0  4  0  0  0  518 1566  340  0  3 97
 0 0 0 10813184 7667836 92 2189 0 0 0 0  0  8  0  0  0  510 1567  282  0  3 97
 0 0 0 10812980 7667776 92 2185 0 0 0 0  0  0  0  0  0  459 1565  262  0  3 97
 0 0 0 10812944 7667756 96 2186 0 0 0 0  0  0  0  0  0  482 1565  270  0  3 97
 0 0 0 10813184 7667832 92 2184 0 0 0 0  0  0  0  0  0  478 1568  275  0  3 97
 0 0 0 10812892 7667692 92 2189 0 0 0 0  0  0  0  0  0  476 1572  267  0  3 97
 0 0 0 10813116 7667796 98 2185 0 0 0 0  0  2  0  0  0  513 1654  353  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10812904 7667704 92 2187 0 0 0 0  0 14  0  0  0  504 1566  282  0  3 97
 0 0 0 10813112 7667760 92 2186 0 0 0 0  0  0  0  0  0  484 1567  271  0  3 97
 0 0 0 10812960 7667796 96 2184 0 0 0 0  0  0  0  0  0  499 1564  273  0  3 97
 0 0 0 10813092 7667740 56 1166 0 0 0 0  0  0  0  0  0  463 1162  256  0  2 98
 0 0 0 10812812 7667620 127 3205 0 0 0 0 0  0  0  0  0  478 1975  309  0  4 96
 0 0 0 10813040 7667752 36 583 0 0 0  0  0  3  0  0  0  530  895  261  0  2 98
 0 0 0 10812944 7667628 154 3786 0 0 0 0 0  9  0  0  0  541 2237  351  0  5 95
 0 0 0 10812964 7667612 17 151 0 0 0  0  0  0  0  0  0  433  707  177  0  1 99
 0 0 0 10812760 7667592 136 3193 0 0 0 0 0  0  0  0  0  499 2035  303  0  5 95
 0 0 0 10812724 7667520 127 3201 0 0 0 0 0  0  0  0  0  503 1966  327  0  3 96
 0 0 0 10812964 7667612 56 1162 0 0 0 0  0  0  0  0  0  457 1127  249  0  2 98
 0 0 0 10812724 7667596 133 3198 0 0 0 0 0  2  0  0  0  527 2002  356  0  4 95
 0 0 0 10812940 7667588 17 151 0 0 0  0  0  6  0  0  0  435  735  209  0  1 99
 0 0 0 10812732 7667532 166 4210 0 0 0 0 0  0  0  0  0  528 2396  355  0  5 95
 0 0 0 10812940 7667624 12 127 0 0 0  0  0  0  0  0  0  427  668  187  0  0 100
 0 0 0 10812712 7667524 140 3217 0 0 0 0 0  0  0  0  0  508 2056  324  0  5 95
 0 0 0 10812656 7667464 127 3201 0 0 0 0 0  0  0  0  0  510 1984  319  0  4 96
 0 0 0 10812888 7667612 30 381 0 0 0  0  0  2  0  0  0  485  824  248  0  1 99
 0 0 0 10812892 7667584 160 3980 0 0 0 0 0 14  0  0  0  527 2305  364  0  5 95
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10812888 7667536 17 151 0 0 0  0  0  0  0  0  0  420  702  177  0  1 99
 0 0 0 10812684 7667532 135 3191 0 0 0 0 0  0  0  0  0  515 2037  311  0  5 95
 0 0 0 10812632 7667428 127 3190 0 0 0 0 0  0  0  0  0  519 1962  320  0  3 96
 0 0 0 10812864 7667512 56 1161 0 0 0 0  0  0  0  0  0  446 1127  226  0  2 98
 0 0 0 10812624 7667496 133 3194 0 0 0 0 0  2  0  0  0  507 2091  395  0  4 95
 0 0 0 10812844 7667492 17 151 0 0 0  0  0 14  0  0  0  435  732  193  0  1 99
 0 0 0 10812636 7667436 166 4204 0 0 0 0 0  0  0  0  0  570 2404  377  0  5 94
 0 0 0 10812844 7667544 0 0  0  0  0  0  0  0  0  0  0  420  604  180  0  0 100
 0 0 0 10812668 7667504 96 2178 0 0 0 0  0  0  0  0  0  469 1570  277  0  3 97
 0 0 0 10812580 7667388 92 2179 0 0 0 0  0  0  0  0  0  476 1568  266  0  3 97
 0 0 0 10812820 7667540 92 2177 0 0 0 0  0  2  0  0  0  493 1569  306  0  3 97
 0 0 0 10812824 7667528 98 2177 0 0 0 0  0  9  0  0  0  476 1564  284  0  3 97
 0 0 0 10812756 7667404 92 2178 0 0 0 0  0  0  0  0  0  482 1565  272  0  3 97
 0 0 0 10812552 7667348 95 2180 0 0 0 0  0  0  0  0  0  466 1568  271  0  3 97
 0 0 0 10812516 7667312 92 2177 0 0 0 0  0  0  0  0  0  467 1569  277  0  3 97
 0 0 0 10812756 7667404 92 2178 0 0 0 0  0  0  0  0  0  455 1568  265  0  3 97
 0 0 0 10812516 7667316 92 2178 0 0 0 0  0  2  0  0  0  502 1563  310  0  3 97
 0 0 0 10812752 7667400 92 2178 0 0 0 0  0 14  0  0  0  447 1565  273  0  3 97
 0 0 0 10812544 7667344 92 2179 0 0 0 0  0  0  0  0  0  475 1566  266  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10812732 7667436 92 2176 0 0 0 0  0  0  0  0  0  472 1564  268  0  3 97
 0 0 0 10812512 7667348 96 2180 0 0 0 0  0  0  0  0  0  466 1580  283  0  3 97
