 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4975828 6007272 137 1825 0 1 1 0  0  1  0  0  0  523 1499  286 25  3 72
 0 0 0 4975548 6007152 136 1825 0 0 0 0  0  1  0  0  0  508 1488  287 25  3 72
 0 0 0 4975756 6007232 136 1826 0 0 0 0  0  0  0  0  0  505 1504  289 25  3 72
 0 0 0 4975804 6007240 136 1823 0 0 0 0  0  0  0  0  0  512 1489  287 25  3 72
 0 0 0 4975520 6007104 136 1826 0 0 0 0  0  0  0  0  0  507 1501  289 25  3 72
 0 0 0 4975804 6007236 136 1824 0 0 0 0  0  0  0  0  0  517 1489  295 25  3 72
 0 0 0 4975548 6007124 136 1826 0 0 0 0  0  1  0  0  0  528 1499  290 25  3 72
 0 0 0 4975804 6007232 136 1824 0 0 0 0  0  1  0  0  0  513 1490  286 25  3 72
 0 0 0 4975552 6007124 41 546 0 0  0  0  0  0  0  0  0  442  847  221 25  1 74
 0 0 0 4975804 6007228 95 1280 0 0 0  0  0  0  0  0  0  484 1182  249 25  2 73
 0 0 0 4975520 6007092 136 1823 0 0 0 0  0  0  0  0  0  507 1500  287 25  3 72
 0 0 0 4975804 6007228 136 1824 0 0 0 0  0  0  0  0  0  510 1488  289 25  3 72
 0 0 0 4975496 6007080 137 1826 0 1 1 0  0  0  0  0  0  524 1502  292 25  3 71
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4975780 6007212 136 1825 0 0 0 0  0  1  0  0  0  514 1489  284 25  3 72
 0 0 0 4975524 6007092 136 1824 0 0 0 0  0  0  0  0  0  508 1502  286 25  3 72
 0 0 0 4975780 6007200 136 1824 0 0 0 0  0  0  0  0  0  493 1488  277 25  3 72
 0 0 0 4975528 6007092 136 1827 0 0 0 0  0  0  0  0  0  522 1500  292 25  3 72
 0 0 0 4975496 6007056 137 1824 0 1 1 0  0  0  0  0  0  514 1552  325 25  3 72
