pic0: pic0=NB_ht_bus0_bandwidth,umask=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
   time cpu event      pic0      pic1      pic2 
295.002   3  tick         0 4986420265         0 
295.002   0  tick 4986635731         0 4986635736 
300.002   1  tick 4986670503         0 4986670505 
300.002   2  tick         0 4986671641         0 
300.002   0  tick 4986666878         0 4986666875 
300.002   3  tick         0 4986675670         0 
305.002   0  tick 4986678530         0 4986678533 
305.002   3  tick         0 4986671715         0 
305.002   1  tick 4986687174         0 4986687175 
305.002   2  tick         0 4986710671         0 
310.002   1  tick 4986654688         0 4986654685 
310.002   0  tick 4986662873         0 4986662869 
310.002   2  tick         0 4986636972         0 
310.002   3  tick         0 4986688113         0 
315.002   0  tick 4986676574         0 4986676584 
315.002   3  tick         0 4986658897         0 
315.002   1  tick 4986695520         0 4986695528 
315.002   2  tick         0 4986695798         0 
320.002   1  tick 4986661152         0 4986661147 
320.002   3  tick         0 4986669565         0 
320.002   0  tick 4986692901         0 4986692900 
320.002   2  tick         0 4986676839         0 
325.002   1  tick 4986656545         0 4986656548 
325.002   0  tick 4986642582         0 4986642578 
325.002   3  tick         0 4986664254         0 
325.002   2  tick         0 4986666612         0 
330.002   1  tick 4986669349         0 4986669343 
330.002   0  tick 4986670319         0 4986670319 
330.002   2  tick         0 4986643048         0 
330.002   3  tick         0 4986699690         0 
335.002   1  tick 4986678576         0 4986678582 
335.002   2  tick         0 4986674712         0 
335.002   0  tick 4986688694         0 4986688694 
335.002   3  tick         0 4986672034         0 
340.002   2  tick         0 4986664031         0 
340.002   0  tick 4986656183         0 4986656179 
340.002   3  tick         0 4986668487         0 
340.003   1  tick 4987401889         0 4987401885 
345.002   0  tick 4986670786         0 4986670793 
345.002   1  tick 4985938950         0 4985938954 
345.002   2  tick         0 4986679024         0 
345.002   3  tick         0 4986674659         0 
350.002   0  tick 4986669745         0 4986669736 
350.002   3  tick         0 4986643145         0 
350.002   1  tick 4986686664         0 4986686669 
350.002   2  tick         0 4986689499         0 
355.002   1  tick 4986649957         0 4986649948 
355.002   3  tick         0 4986669207         0 
355.002   0  tick 4986692643         0 4986692653 
355.002   2  tick         0 4986672225         0 
360.002   1  tick 4986700013         0 4986700011 
360.002   3  tick         0 4986697645         0 
360.002   2  tick         0 4986677354         0 
360.002   0  tick 4986694928         0 4986694924 
365.002   0  tick 4986627377         0 4986627378 
365.002   1  tick 4986651112         0 4986651118 
365.002   2  tick         0 4986639909         0 
365.002   3  tick         0 4986668738         0 
370.002   1  tick 4986664891         0 4986664888 
370.002   0  tick 4986668301         0 4986668302 
370.002   3  tick         0 4986643506         0 
370.002   2  tick         0 4986692822         0 
375.002   1  tick 4986662338         0 4986662336 
