 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6512600 7540892 148 1827 0 0 0 0  0  3  0  0  0  504 1505  268 25  3 72
 0 0 0 6512324 7540772 16 94 0  0  0  0  0  0  0  0  0  403  592  186 25  0 74
 0 0 0 6512576 7540880 132 1734 0 0 0 0  0  0  0  0  0  517 1439  290 25  3 72
 0 0 0 6512292 7540732 148 1827 0 0 0 0  0  0  0  0  0  496 1549  303 25  3 72
 0 0 0 6512524 7540816 148 1836 0 0 0 0  0  0  0  0  0  496 1512  271 25  3 72
 0 0 0 6512024 7540464 148 1825 0 0 0 0  0  0  0  0  0  515 1492  274 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6512300 7540584 148 1826 0 1 1 0  0  2  0  0  0  508 1500  272 25  3 72
 0 0 0 6512044 7540476 148 1827 0 0 0 0  0  0  0  0  0  491 1488  271 25  3 72
 0 0 0 6512300 7540584 148 1825 0 0 0 0  0  0  0  0  0  495 1502  268 25  3 72
 0 0 0 6512048 7540472 148 1826 0 0 0 0  0  0  0  0  0  505 1487  270 25  3 72
 0 0 0 6512016 7540444 146 1757 0 0 0 0  0  0  0  0  0  498 1468  265 25  3 72
 0 0 0 6512300 7540580 2 69  0  1  1  0  0  0  0  0  0  436  559  188 25  0 75
 0 0 0 6512288 7540564 148 1827 0 0 0 0  0  1  0  0  0  523 1554  299 25  3 72
 0 0 0 6511964 7540396 148 1828 0 0 0 0  0  0  0  0  0  497 1492  275 25  3 72
 0 0 0 6512244 7540504 148 1829 0 0 0 0  0  0  0  0  0  500 1505  269 25  3 72
 0 0 0 6511988 7540396 148 1825 0 0 0 0  0  0  0  0  0  496 1483  268 25  3 72
 0 0 0 6512244 7540504 148 1826 0 0 0 0  0  0  0  0  0  492 1502  272 25  3 72
 0 0 0 6511992 7540400 148 1826 0 2 2 0  0  0  0  0  0  521 1489  275 25  3 72
 0 0 0 6511960 7540372 148 1826 0 0 0 0  0  0  0  0  0  505 1498  267 25  3 72
 0 0 0 6512244 7540500 148 1826 0 0 0 0  0  0  0  0  0  506 1505  273 25  3 72
 0 0 0 6511960 7540364 91 1013 0 0 0  0  0  0  0  0  0  452 1126  226 25  3 72
 0 0 0 6512148 7540404 57 817 0 0  0  0  0  0  0  0  0  457  907  232 25  0 74
 0 0 0 6512148 7540404 148 1826 0 0 0 0  0  0  0  0  0  494 1487  268 25  3 72
 0 0 0 6511820 7540216 179 1990 0 2 2 0  0  1  0  0  0  538 1960  283 25  3 71
 0 0 0 6512048 7540308 148 1827 0 0 0 0  0  0  0  0  0  506 1489  291 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6512040 7540296 148 1826 0 0 0 0  0  0  0  0  0  500 1504  274 25  3 72
 0 0 0 6511688 7540080 148 1834 0 0 0 0  0  0  0  0  0  492 1489  268 25  3 72
 0 0 0 6511876 7540116 148 1826 0 0 0 0  0  0  0  0  0  501 1564  304 25  3 72
 0 0 0 6511828 7540104 148 1828 0 0 0 0  0  0  0  0  0  497 1486  271 25  3 72
 0 0 0 6511848 7540084 148 1824 0 1 1 0  0  0  0  0  0  527 1504  271 25  3 72
 0 0 0 6511520 7539904 90 1015 0 0 0  0  0  1  0  0  0  457 1113  226 25  2 73
 0 0 0 6511728 7539964 57 817 0 0  0  0  0  0  0  0  0  458  918  248 25  1 74
