 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 5886128 6938564 148 1841 0 0 0 0  0  0  0  0  0  525 1505  324 25  3 72
 0 0 0 5885872 6938456 148 1841 0 0 0 0  0  0  0  0  0  503 1486  269 25  3 72
 0 0 0 5886128 6938564 147 1836 0 0 0 0  0  0  0  0  0  524 1501  322 25  3 72
 0 0 0 5885852 6938440 148 1841 0 0 0 0  0  0  0  0  0  492 1488  272 25  3 72
 0 0 0 5886092 6938492 123 1180 0 2 2 0  0  1  0  0  0  496 1531  254 25  2 73
 0 0 0 5885800 6938328 58 824 0 0  0  0  0  0  0  0  0  463  960  253 25  2 73
 0 0 0 5886080 6938460 148 1839 0 0 0 0  0  0  0  0  0  511 1568  306 25  3 72
 0 0 0 5885796 6938324 148 1839 0 0 0 0  0  0  0  0  0  497 1486  272 25  3 72
 0 0 0 5886072 6938448 148 1839 0 0 0 0  0  0  0  0  0  525 1505  324 25  3 72
 0 0 0 5885852 6938368 148 1842 0 0 0 0  0  0  0  0  0  532 1489  315 25  3 72
 0 0 0 5886140 6938516 148 1875 0 1 1 0  0  2  0  0  0  547 1503  323 25  3 72
 0 0 0 5884316 6937712 147 1837 0 0 0 0  0  0  0  0  0  492 1488  276 25  3 72
 0 0 0 5884376 6937764 148 1842 0 0 0 0  0  0  0  0  0  495 1504  274 25  3 72
 0 0 0 5884564 6937812 148 1838 0 0 0 0  0  0  0  0  0  511 1484  299 25  3 72
 0 0 0 5884540 6937800 45 515 0 0  0  0  0  0  0  0  0  454  843  256 25  1 74
 0 0 0 5884256 6937664 103 1325 0 0 0 0  0  0  0  0  0  480 1188  278 25  2 73
 0 0 0 5884540 6937788 148 1841 0 1 1 0  0  0  0  0  0  523 1501  304 25  3 72
 0 0 0 5884524 6937792 148 1837 0 0 0 0  0  0  0  0  0  498 1485  273 25  3 72
 0 0 0 5884540 6937784 148 1841 0 0 0 0  0  0  0  0  0  516 1505  315 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 5884288 6937668 148 1840 0 0 0 0  0  0  0  0  0  527 1487  316 25  3 72
 0 0 0 5884448 6937736 148 1841 0 0 0 0  0  0  0  0  0  508 1500  278 25  3 72
 0 0 0 5884540 6937772 148 1839 0 0 0 0  0  0  0  0  0  497 1492  272 25  3 72
 0 0 0 5884256 6937632 148 1841 0 1 1 0  0  1  0  0  0  532 1499  274 25  3 72
