time,cpu,HT0,HT1,HT2,L2miss
925,3,0,168779742,0,509811
925,0,1567650,0,242538812,126304667
930,3,0,178180996,0,526888
930,0,1594013,0,251021072,128959362
935,1,1577386,0,246589919,21431088
935,3,0,172010855,0,898271
935,0,1577425,0,246606198,110121960
940,1,1581656,0,243210337,8979991
945,1,1547914,0,245649723,19482581
945,3,0,176698614,0,468143
945,0,1547877,0,245661638,111589087
950,1,1953189,0,250562571,629817
950,2,0,173688075,0,772677
950,0,1953189,0,250555313,129967781
955,3,0,168206915,0,470192
955,0,1570775,0,241473861,126788591
960,1,1568686,0,244165234,968052
960,0,1568686,0,244164672,129458355
965,1,1297074,0,234049175,15023552
965,0,1297277,0,234042835,115938749
970,2,0,175758799,0,313081
970,3,0,175764865,0,4717149
970,0,580704,0,263466220,111541502
975,3,0,196891147,0,465932
975,0,1578081,0,280547301,125754183
980,1,1729154,0,238101060,19977294
980,2,0,165144115,0,555484
980,3,0,165148957,0,530647
980,0,1729169,0,237843216,110399370
985,1,1583874,0,240653686,550136
985,0,1583826,0,240648107,128708338
990,2,0,175645914,0,540019
990,0,1576313,0,244976184,113055196
995,1,1572897,0,241677060,3505608
1000,2,0,165901026,0,470258
1000,3,0,165893990,0,525208
1000,0,1602093,0,239473040,129044669
1005,1,1595256,0,243008578,6355333
1010,2,0,169103527,0,559029
1010,3,0,169105698,0,725943
1010,0,1708142,0,244054013,128509775
1015,2,0,159601975,0,145414
1020,2,0,191707159,0,469621
1020,0,961017,0,273165627,126346501
1025,1,1602597,0,236945155,622214
1025,3,0,164236525,0,542828
1025,0,1602603,0,236936831,128550367
1030,1,1581022,0,239336556,9477236
1030,0,1581020,0,239329753,119039697
1035,3,0,173139252,0,454124
1040,2,0,169680632,0,496898
1040,3,0,169683944,0,485819
1040,0,1691990,0,242256444,130092397
1045,1,1582669,0,238323568,3079074
1045,3,0,164778765,0,557696
1045,0,1582652,0,238323915,125230674
1050,2,0,170923916,0,820931
1050,0,1589649,0,238555654,126814317
1055,3,0,162173928,0,546172
1055,0,1583385,0,233763525,107990756
1060,2,0,163549838,0,414768
1060,3,0,163545185,0,499035
1060,0,1567494,0,233731652,107488733
1065,2,0,154487928,0,56006
1065,0,541597,0,220592040,116293047
1065,1,543990,0,220703653,10217141
1070,0,1506556,0,107593962,4585803
1075,1,1582954,0,20830179,381854
1080,3,0,37358616,0,1676646
1085,1,1584400,0,17246314,446576
1090,3,0,17798811,0,510514
1095,0,1585638,0,20604391,502851
1100,0,1754639,0,19940878,443443
1100,2,0,19601500,0,489665
1105,2,0,17841104,0,448701
1105,3,0,17848114,0,458181
1110,2,0,26085317,0,297946
1110,1,1565468,0,18339590,778166
1115,3,0,6283061,0,38947
1120,3,0,18851652,0,204581
1120,0,1599451,0,17101818,487115
1125,3,0,25927112,0,440233
1130,2,0,19243049,0,519741
1130,3,0,19265589,0,440346
1130,1,1711941,0,19603114,239569
1135,3,0,19976200,0,266140
1140,0,1576636,0,20617043,531025
1140,3,0,29088635,0,239133
1145,0,1607028,0,17364094,523331
1150,1,1551624,0,19251572,375457
1155,0,1582253,0,20192606,500502
1160,2,0,13423544,0,315294
1160,3,0,13428357,0,267719
1160,1,1475084,0,13565203,218697
1165,3,0,9471741,0,254629
1170,3,0,29467117,0,297330
1175,3,0,19510208,0,286626
1175,2,0,19516577,0,385697
1180,3,0,18592948,0,416878
1185,2,0,27325559,0,387508
1190,0,1759509,0,19176822,512000
1195,2,0,18589367,0,515821
1200,2,0,28783234,0,411019
1205,2,0,19563056,0,467384
1205,3,0,19565083,0,231181
1210,3,0,11899567,0,153380
1210,2,0,11941033,0,266089
1215,3,0,17974098,0,131807
1220,3,0,20184067,0,250682
1225,2,0,18974169,0,487749
1230,3,0,29967957,0,245839
1235,2,0,19471240,0,414584
1235,0,1567694,0,17639099,483205
1240,3,0,18684153,0,222544
1245,2,0,25124373,0,455871
1250,2,0,22010193,0,469631
1255,2,0,18986509,0,352112
1255,3,0,18986335,0,286640
1260,3,0,14097726,0,65723
1260,2,0,14134225,0,40718
1265,0,1061039,0,18121467,425031
1265,3,0,17463378,0,480605
1270,3,0,19371329,0,321059
1270,2,0,19397841,0,429141
1275,2,0,26120114,0,345788
1280,2,0,20113319,0,360615
1285,0,1568471,0,17915058,504580
1290,1,1592058,0,20362729,789683
1295,3,0,19532145,0,333847
1295,0,1575154,0,17791678,493489
1300,1,1585797,0,16374332,454738
1305,2,0,26623135,0,353733
1310,1,622803,0,4903790,139491
1310,0,623646,0,4930885,136077
1315,0,1391079,0,15550955,472484
