pic0: pic0=bus_tran_any,umask=0x20
pic1: pic1=l2_rqsts,umask=0x4f
   time cpu event      pic0      pic1 
290.038   4  tick  74085721         0 
290.754   0  tick 151565098         0 
295.006   2  tick  91298752         0 
295.011   1  tick 102468401         0 
295.011   3  tick  87418225         0 
295.011   7  tick 125229397         0 
295.011   0  tick  95774762         0 
295.057   6  tick  98395383         0 
295.084   5  tick  65001615         0 
295.800   4  tick  82345311         0 
300.011   2  tick 262089647         0 
300.011   4  tick 224631123         0 
300.011   0  tick 264897788         0 
300.011   7  tick 292548288         0 
300.011   3  tick 247880705         0 
300.012   6  tick 265542728         0 
301.906   5  tick 242158388         0 
302.733   1  tick 234034258         0 
302.733   8 total 74106068098         0 
