time ,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,InputDCPwr2,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
510,48,49,37,46,3645.6,3645.6,9656,9656,1579505,96640615,258376417,1.54E+07,133422171,2.46E+05,2.31E+06,1.579505,96.640615,258.376417,154.4414,1334.22171,2.462845,23.13258,2027,1153,162.16,1621.6,1216.2,60.81,68.891,0,0,0,0,0,0
515,48,49,37,46,3645.6,3645.6,9656,9656,783241,8.96E+07,127586450,1.54E+07,53502682,2.46E+05,2.54E+05,0.783241,89.5801,127.58645,154.4414,535.02682,2.462845,2.535675,2041,1153,163.28,1632.8,1224.6,61.23,69.353,0,0,0,0,0,0
520,48,49,37,46,3645.6,3645.6,9656,9656,787817,88725792,127495268,1.54E+07,5.60E+07,228758,2.54E+05,0.787817,88.725792,127.495268,154.4414,559.9876,2.28758,2.535675,2033,1153,162.64,1626.4,1219.8,60.99,69.089,0,0,0,0,0,0
525,48,49,37,46,3645.6,3645.6,9656,9656,795370,9.38E+07,1.35E+08,1.54E+07,6.02E+07,232513,2.54E+05,0.79537,93.82632,134.935,154.4414,602.4796,2.32513,2.535675,2045,1154,163.6,1636,1227,61.35,69.485,0,0,0,0,0,0
530,48,49,37,46,3645.6,3645.6,9656,9656,4.00E+05,8.49E+07,123666133,1.22E+07,6.02E+07,46182,2.54E+05,0.4000475,84.91626,123.666133,121.7428,602.4796,0.46182,2.535675,2052,1152,164.16,1641.6,1231.2,61.56,69.716,0,0,0,0,0,0
535,48,49,37,46,3724,3567.2,9372,9656,599230,9.10E+07,1.33E+08,1.22E+07,5.99E+07,46182,272102,0.59923,91.0347,132.6065,121.7428,598.5527,0.46182,2.72102,2091,1152,167.28,1672.8,1254.6,62.73,71.003,0,11.8,0,75.6,0,75600
540,49,49,37,46,3645.6,3645.6,9656,9372,7.92E+05,1.02E+08,1.45E+08,1.22E+07,6.53E+07,46182,244510,0.7919665,101.6244,145.1102,121.7428,653.4629,0.46182,2.4451,2079,1153,166.32,1663.2,1247.4,62.37,70.607,0,0,0,0,0,0
545,48,49,37,46,3724,3645.6,9656,9656,7.92E+05,194985933,1.45E+08,1.22E+07,6.53E+07,46182,490120,0.7919665,194.985933,145.1102,121.7428,653.4629,0.46182,4.9012,2114,1153,169.12,1691.2,1268.4,63.42,71.762,0,0,0,0,0,0
550,48,49,37,46,3724,3645.6,9656,9656,795896,8.92E+07,129268242,1.22E+07,7.03E+07,2.45E+05,490120,0.795896,89.24844,129.268242,121.7428,702.7947,2.445355,4.9012,2027,1152,162.16,1621.6,1216.2,60.81,68.891,0,0,0,0,0,0
555,48,49,37,46,3645.6,3645.6,9656,9656,795896,189949588,129268242,1.22E+07,7.03E+07,2.45E+05,566935,0.795896,189.949588,129.268242,121.7428,702.7947,2.445355,5.66935,2036,1152,162.88,1628.8,1221.6,61.08,69.188,0,0,0,0,0,0
560,48,49,37,46,3645.6,3645.6,9656,9656,795896,180885598,129268242,1.22E+07,7.03E+07,418785,566935,0.795896,180.885598,129.268242,121.7428,702.7947,4.18785,5.66935,2030,1154,162.4,1624,1218,60.9,68.99,0,0,0,0,0,0
565,48,49,37,46,3645.6,3724,9656,9656,787106,8.92E+07,128614771,1.22E+07,6.58E+07,2.18E+05,566935,0.787106,89.1587,128.614771,121.7428,657.9987,2.178785,5.66935,2052,1153,164.16,1641.6,1231.2,61.56,69.716,0,11.2,0,76.4,0,76400
570,48,49,37,46,3645.6,3645.6,9656,9656,7.91E+05,89539466,1.28E+08,1.22E+07,65603903,256701,566935,0.7914435,89.539466,127.7429,121.7428,656.03903,2.56701,5.66935,2044,1152,163.52,1635.2,1226.4,61.32,69.452,0,0,0,0,0,0
575,48,50,37,46,3645.6,3645.6,9656,9656,1590435,89539466,264561860,1.22E+07,122066635,256701,566935,1.590435,89.539466,264.56186,121.7428,1220.66635,2.56701,5.66935,2042,1153,163.36,1633.6,1225.2,61.26,69.386,0,0,0,0,0,0
580,48,49,37,46,3645.6,3724,9656,9656,1.43E+05,83036431,122926265,1.22E+07,5.90E+07,256701,58436,0.1430835,83.036431,122.926265,121.7428,590.4799,2.56701,0.58436,2191,1152,175.28,1752.8,1314.6,65.73,74.303,0,0,0,0,0,0
585,48,50,37,46,3645.6,3645.6,9656,9656,789512,8.86E+07,126990302,1.22E+07,5.57E+07,256701,274941,0.789512,88.58307,126.990302,121.7428,557.1433,2.56701,2.74941,2082,1152,166.56,1665.6,1249.2,62.46,70.706,0,0,0,0,0,0
590,49,49,37,46,3724,3645.6,9656,9656,1706461,8.86E+07,278437260,2.56E+06,6.93E+07,256701,274941,1.706461,88.58307,278.43726,25.5789,692.559,2.56701,2.74941,2051,1153,164.08,1640.8,1230.6,61.53,69.683,0,0,0,0,0,0
595,48,50,37,46,3645.6,3645.6,9656,9656,7.85E+05,95603454,1.38E+08,2.56E+06,62844178,245215,274941,0.7853795,95.603454,138.4146,25.5789,628.44178,2.45215,2.74941,2144,1152,171.52,1715.2,1286.4,64.32,72.752,0,11.4,0,77.3,0,77300
600,48,50,37,46,3724,3645.6,9656,9656,1576826,95603454,2.60E+08,17505807,5.28E+07,245215,274941,1.576826,95.603454,260.3012,175.05807,528.095,2.45215,2.74941,2033,1153,162.64,1626.4,1219.8,60.99,69.089,0,0,0,0,0,0
605,48,49,37,46,3645.6,3645.6,9656,9656,1583448,95603454,257661176,1.19E+07,59426260,245215,274941,1.583448,95.603454,257.661176,118.676,594.2626,2.45215,2.74941,2032,1152,162.56,1625.6,1219.2,60.96,69.056,0,0,0,0,0,0
610,48,50,37,46,3724,3645.6,9656,9656,791213,8.94E+07,1.30E+08,1.19E+07,71825161,2.72E+05,274941,0.791213,89.36188,130.2523,118.676,718.25161,2.723285,2.74941,2041,1152,163.28,1632.8,1224.6,61.23,69.353,0,0,0,0,0,0
615,48,50,37,46,3645.6,3645.6,9656,9372,7.90E+05,88757824,125700448,1.19E+07,68200032,226625,274941,0.7902635,88.757824,125.700448,118.676,682.00032,2.26625,2.74941,2027,1153,162.16,1621.6,1216.2,60.81,68.891,0,0,0,0,0,0
620,48,50,37,46,3645.6,3645.6,9656,9656,860011,93843763,1.34E+08,1.19E+07,50511458,2.34E+05,274941,0.860011,93.843763,134.0424,118.676,505.11458,2.343715,2.74941,2032,1155,162.56,1625.6,1219.2,60.96,69.056,0,0,0,0,0,0
625,49,49,37,46,3645.6,3645.6,9656,9656,845290,5.61E+07,164218643,1.65E+06,4.46E+07,9.43E+04,274941,0.84529,56.11003,164.218643,16.49186,446.2172,0.9433433,2.74941,2054,1155,164.32,1643.2,1232.4,61.62,69.782,0,11.4,0,78.1,0,78100
630,48,50,37,46,3724,3645.6,9656,9372,3.05E+05,8.42E+07,1.21E+08,1.65E+06,69858372,9.43E+04,1.37E+05,0.3046925,84.20534,121.1747,16.49186,698.58372,0.9433433,1.370265,2108,1155,168.64,1686.4,1264.8,63.24,71.564,0,0,0,0,0,0
635,48,49,37,46,3645.6,3645.6,9372,9656,5.26E+05,1.26E+08,8.98E+07,1.65E+06,3.28E+07,1.43E+05,165061,0.5258093,126.4404,89.83343,16.49186,328.1066,1.433183,1.65061,2046,1155,163.68,1636.8,1227.6,61.38,69.518,0,0,0,0,0,0
640,48,49,37,46,3645.6,3645.6,9656,9372,7.82E+05,89730140,128852429,1.65E+06,4.99E+07,2.52E+05,165061,0.7821575,89.73014,128.852429,16.49186,499.0621,2.521275,1.65061,2076,1155,166.08,1660.8,1245.6,62.28,70.508,0,0,0,0,0,0
645,48,49,37,46,3645.6,3645.6,9656,9656,791529,89627043,128025670,1.65E+06,6.06E+07,2.52E+05,2.48E+05,0.791529,89.627043,128.02567,16.49186,605.5117,2.521275,2.478555,2042,1155,163.36,1633.6,1225.2,61.26,69.386,0,0,0,0,0,0
650,48,50,37,46,3645.6,3645.6,9372,9656,842975,99176275,1.43E+08,1.65E+06,67405617,244696,2.48E+05,0.842975,99.176275,142.6812,16.49186,674.05617,2.44696,2.478555,2055,1155,164.4,1644,1233,61.65,69.815,0,0,0,0,0,0
655,48,50,37,46,3645.6,3645.6,9656,9656,7.96E+05,94664404,1.37E+08,1.65E+06,4.77E+07,257106,2.48E+05,0.7958605,94.664404,137.0583,16.49186,476.994,2.57106,2.478555,2115,1155,169.2,1692,1269,63.45,71.795,0,11.4,0,79.6,0,79600
660,49,49,37,46,3724,3645.6,9656,9656,782732,91780899,1.30E+08,1.65E+06,5.65E+07,2.52E+05,2.48E+05,0.782732,91.780899,129.635,16.49186,564.7743,2.523805,2.478555,2134,1155,170.72,1707.2,1280.4,64.02,72.422,0,0,0,0,0,0
665,48,49,37,46,3645.6,3645.6,9656,9656,1570992,91780899,2.55E+08,4433692,64966131,2.52E+05,2.48E+05,1.570992,91.780899,255.3494,44.33692,649.66131,2.523805,2.478555,2093,1154,167.44,1674.4,1255.8,62.79,71.069,0,0,0,0,0,0
670,48,49,37,46,3567.2,3645.6,9656,9656,7.96E+05,91397748,132812246,4433692,5.75E+07,2.52E+05,1053847,0.7956715,91.397748,132.812246,44.33692,574.5353,2.523805,10.53847,2079,1154,166.32,1663.2,1247.4,62.37,70.607,0,0,0,0,0,0
675,49,49,37,46,3724,3645.6,9656,9656,447830,8.28E+07,1.21E+08,2.10E+07,5.75E+07,8.02E+04,1053847,0.44783,82.8387,120.5017,210.1672,574.5353,0.801635,10.53847,2063,1154,165.04,1650.4,1237.8,61.89,70.079,0,0,0,0,0,0
680,48,49,37,46,3645.6,3645.6,9656,9656,5.40E+05,86758799,123742353,2.10E+07,6.38E+07,8.02E+04,200074,0.5398435,86.758799,123.742353,210.1672,637.7162,0.801635,2.00074,2068,1153,165.44,1654.4,1240.8,62.04,70.244,0,0,0,0,0,0
685,48,50,37,46,3645.6,3724,9656,9656,795819,87563810,126493018,2.10E+07,5.71E+07,248900,200074,0.795819,87.56381,126.493018,210.1672,571.3847,2.489,2.00074,2022,1155,161.76,1617.6,1213.2,60.66,68.726,0,11.6,0,80.5,0,80500
690,48,49,37,46,3645.6,3645.6,9656,9656,783721,88814070,1.26E+08,2.10E+07,59699473,254386,200074,0.783721,88.81407,125.8378,210.1672,596.99473,2.54386,2.00074,2055,1155,164.4,1644,1233,61.65,69.815,0,0,0,0,0,0
695,48,50,37,46,3645.6,3645.6,9656,9656,805220,95840166,1.41E+08,2.10E+07,5.24E+07,254386,2.52E+05,0.80522,95.840166,140.5215,210.1672,523.5562,2.54386,2.520355,2028,1154,162.24,1622.4,1216.8,60.84,68.924,0,0,0,0,0,0
700,48,50,37,46,3645.6,3645.6,9656,9656,1570235,95840166,2.48E+08,1.00E+07,5.92E+07,254386,2.52E+05,1.570235,95.840166,248.4966,99.9647,591.7044,2.54386,2.520355,2033,1155,162.64,1626.4,1219.8,60.99,69.089,0,0,0,0,0,0
705,49,49,37,46,3645.6,3645.6,9656,9656,7.93E+05,92773723,132425476,1.00E+07,60530476,2.66E+05,2.52E+05,0.7925165,92.773723,132.425476,99.9647,605.30476,2.658005,2.520355,2045,1155,163.6,1636,1227,61.35,69.485,0,0,0,0,0,0
710,48,49,37,46,3645.6,3645.6,9656,9656,8.65E+05,9.29E+07,132176044,1.00E+07,4.11E+07,2.66E+05,228136,0.8649335,92.91073,132.176044,99.9647,411.1005,2.658005,2.28136,2048,1154,163.84,1638.4,1228.8,61.44,69.584,0,0,0,0,0,0
715,49,49,37,46,3645.6,3645.6,9656,9656,7.88E+05,86901287,1.26E+08,1.00E+07,65944667,2.65E+05,228136,0.7877165,86.901287,126.0779,99.9647,659.44667,2.653695,2.28136,2047,1155,163.76,1637.6,1228.2,61.41,69.551,0,14.6,0,93.6,0,93600
720,49,50,37,46,3645.6,3645.6,9656,9656,1568007,86901287,2.54E+08,13490265,53671183,2.65E+05,228136,1.568007,86.901287,254.1131,134.90265,536.71183,2.653695,2.28136,2059,1155,164.72,1647.2,1235.4,61.77,69.947,0,0,0,0,0,0
725,49,50,37,46,3645.6,3645.6,9656,9656,206281,9.10E+07,136914377,5750139,2.84E+07,5.32E+05,1.70E+04,0.206281,91.01361,136.914377,57.50139,284.2186,5.316222,0.1697525,2091,1155,167.28,1672.8,1254.6,62.73,71.003,0,0,0,0,0,0
730,49,49,37,46,3645.6,3645.6,9656,9656,721274,91793083,1.33E+08,5750139,6.70E+07,5.32E+05,248992,0.721274,91.793083,133.2435,57.50139,670.1259,5.316222,2.48992,2135,1153,170.8,1708,1281,64.05,72.455,0,0,0,0,0,0
735,49,50,37,46,3645.6,3645.6,9656,9656,8.01E+05,89783162,1.28E+08,5750139,6.23E+07,5.32E+05,268990,0.8011435,89.783162,127.7609,57.50139,623.2661,5.316222,2.6899,2165,1154,173.2,1732,1299,64.95,73.445,0,0,0,0,0,0
740,49,50,37,46,3645.6,3645.6,9656,9656,857451,87254133,1.25E+08,5750139,53056220,262494,268990,0.857451,87.254133,125.0934,57.50139,530.5622,2.62494,2.6899,2037,1154,162.96,1629.6,1222.2,61.11,69.221,0,0,0,0,0,0
745,49,49,37,46,3645.6,3645.6,9656,9656,7.91E+05,8.73E+07,1.26E+08,5750139,6.76E+07,262494,248117,0.7913205,87.271,126.1829,57.50139,675.8806,2.62494,2.48117,2023,1154,161.84,1618.4,1213.8,60.69,68.759,0,12.4,0,82.9,0,82900
750,49,50,37,46,3645.6,3645.6,9656,9656,7.97E+05,9.13E+07,1.29E+08,5750139,59642248,2.47E+05,248117,0.7972295,91.32835,129.2943,57.50139,596.42248,2.473815,2.48117,2083,1154,166.64,1666.4,1249.8,62.49,70.739,0,0,0,0,0,0
755,49,49,37,46,3645.6,3645.6,9656,9656,787685,86889859,1.25E+08,5750139,47952616,2.47E+05,275275,0.787685,86.889859,124.5173,57.50139,479.52616,2.473815,2.75275,2037,1155,162.96,1629.6,1222.2,61.11,69.221,0,0,0,0,0,0
760,49,50,37,46,3645.6,3645.6,9656,9656,1573795,86889859,2.46E+08,6643073,62233878,2.47E+05,275275,1.573795,86.889859,245.6675,66.43073,622.33878,2.473815,2.75275,2055,1155,164.4,1644,1233,61.65,69.815,0,0,0,0,0,0
765,49,49,37,46,3645.6,3645.6,9656,9656,7.82E+05,8.90E+07,1.26E+08,6643073,53472110,2.47E+05,2.48E+05,0.7822165,88.95164,125.5661,66.43073,534.7211,2.473815,2.477095,2026,1155,162.08,1620.8,1215.6,60.78,68.858,0,0,0,0,0,0
770,49,49,37,46,3645.6,3645.6,9656,9656,7.96E+05,8.50E+07,1.23E+08,9.69E+06,2.48E+07,99105,72378,0.7957428,84.97607,122.6531,96.94152,248.036,0.99105,0.72378,2027,1155,162.16,1621.6,1216.2,60.81,68.891,0,0,0,0,0,0
775,49,50,37,46,3645.6,3645.6,9656,9656,2.04E+05,81579332,119429825,9.69E+06,67451809,8.17E+04,72378,0.2038345,81.579332,119.429825,96.94152,674.51809,0.816715,0.72378,2115,1152,169.2,1692,1269,63.45,71.795,0,12.4,0,84.3,0,84300
780,49,50,37,46,3645.6,3645.6,9656,9656,785099,89136357,124951223,9.69E+06,62862006,230694,72378,0.785099,89.136357,124.951223,96.94152,628.62006,2.30694,0.72378,2044,1153,163.52,1635.2,1226.4,61.32,69.452,0,0,0,0,0,0
785,48,50,37,46,3645.6,3645.6,9656,9656,791218,86818519,1.24E+08,9.69E+06,46719763,2.20E+05,72378,0.791218,86.818519,124.4496,96.94152,467.19763,2.202465,0.72378,2033,1153,162.64,1626.4,1219.8,60.99,69.089,0,0,0,0,0,0
790,49,50,37,46,3645.6,3645.6,9656,9372,786554,8.55E+07,122879100,9.69E+06,6.51E+07,209585,72378,0.786554,85.53408,122.8791,96.94152,650.7105,2.09585,0.72378,2033,1154,162.64,1626.4,1219.8,60.99,69.089,0,0,0,0,0,0
795,49,49,37,46,3645.6,3645.6,9656,9372,1571110,8.55E+07,247519976,2.70E+07,40632324,209585,72378,1.57111,85.53408,247.519976,269.8146,406.32324,2.09585,0.72378,2039,1155,163.12,1631.2,1223.4,61.17,69.287,0,0,0,0,0,0
800,49,50,37,46,3645.6,3724,9656,9656,5.73E+05,1.25E+08,8.93E+07,27774026,40632324,2.00E+05,182516,0.5731313,124.9069,89.26603,277.74026,406.32324,2.002483,1.82516,2043,1155,163.44,1634.4,1225.8,61.29,69.419,0,0,0,0,0,0
805,49,50,37,46,3645.6,3645.6,9656,9656,779007,8.82E+07,128196811,67007804,40632324,5.49E+05,182516,0.779007,88.20217,128.196811,670.07804,406.32324,5.490115,1.82516,2070,1153,165.6,1656,1242,62.1,70.31,0,12,0,110.8,0,110800
810,49,49,37,46,3645.6,3645.6,9656,9372,531749,1.30E+08,9.51E+07,39477336,40632324,1.17E+06,1.52E+05,0.531749,129.9714,95.08951,394.77336,406.32324,11.70297,1.521777,2071,1153,165.68,1656.8,1242.6,62.13,70.343,0,0,0,0,0,0
815,49,49,37,46,3645.6,3645.6,9656,9656,7.74E+05,8.81E+07,1.28E+08,3.00E+07,8.83E+05,134127,3.79E+05,0.7735875,88.09343,127.6129,299.6405,8.832578,1.34127,3.789482,2057,1153,164.56,1645.6,1234.2,61.71,69.881,0,0,0,0,0,0
820,49,50,38,46,3724,3645.6,9656,9372,340362,1.12E+08,8.17E+07,4.38E+07,8.83E+05,9.41E+04,9.75E+04,0.340362,112.4564,81.72818,437.9846,8.832578,0.9414733,0.9750933,2049,1153,163.92,1639.2,1229.4,61.47,69.617,0,0,0,0,0,0
825,49,49,37,46,3645.6,3645.6,9656,9656,4.20E+05,8.61E+07,122559476,66872598,8.83E+05,9.41E+04,104890,0.4196355,86.12948,122.559476,668.72598,8.832578,0.9414733,1.0489,2089,1154,167.12,1671.2,1253.4,62.67,70.937,0,0,0,0,0,0
830,49,50,37,46,3645.6,3645.6,9656,9656,856074,8.68E+07,1.24E+08,6.85E+07,8.83E+05,247681,104890,0.856074,86.78152,124.3011,685.4782,8.832578,2.47681,1.0489,2045,1153,163.6,1636,1227,61.35,69.485,0,0,0,0,0,0
835,49,50,37,46,3645.6,3645.6,9656,9656,7.85E+05,8.66E+07,124276193,5.98E+07,8.83E+05,247681,255985,0.7850985,86.59409,124.276193,597.6444,8.832578,2.47681,2.55985,2048,1155,163.84,1638.4,1228.8,61.44,69.584,0,13.8,0,86.1,0,86100
840,49,49,37,46,3645.6,3645.6,9656,9656,7.91E+05,8.88E+07,125771180,5.68E+07,8.83E+05,247681,3.34E+05,0.7908445,88.76767,125.77118,567.9478,8.832578,2.47681,3.339015,2044,1154,163.52,1635.2,1226.4,61.32,69.452,0,0,0,0,0,0
845,49,50,38,46,3645.6,3645.6,9372,9656,1.06E+06,5.89E+07,169527681,33285529,1.21E+07,174669,3.34E+05,1.063977,58.94679,169.527681,332.85529,120.8793,1.74669,3.339015,2095,1155,167.6,1676,1257,62.85,71.135,0,0,0,0,0,0
850,48,50,37,46,3645.6,3645.6,9656,9656,5.26E+05,1.26E+08,9.28E+07,43081290,1.21E+07,1780133,1.62E+05,0.5261977,126.2014,92.78822,430.8129,120.8793,17.80133,1.623243,2062,1153,164.96,1649.6,1237.2,61.86,70.046,0,0,0,0,0,0
855,49,50,38,46,3724,3645.6,9656,9656,7.84E+05,90453293,127096571,58246703,1.21E+07,1780133,2.26E+05,0.7841595,90.453293,127.096571,582.46703,120.8793,17.80133,2.260615,2151,1154,172.08,1720.8,1290.6,64.53,72.983,0,0,0,0,0,0
860,48,50,38,46,3645.6,3645.6,9656,9656,1714778,90453293,267538375,58246703,38324743,1780133,2.26E+05,1.714778,90.453293,267.538375,582.46703,383.24743,17.80133,2.260615,2115,1153,169.2,1692,1269,63.45,71.795,0,0,0,0,0,0
865,49,50,37,46,3645.6,3724,9372,9656,5.16E+05,1.14E+08,8.18E+07,36382496,38324743,1.50E+05,1.60E+05,0.5159693,114.1792,81.76185,363.82496,383.24743,1.504377,1.601873,2144,1153,171.52,1715.2,1286.4,64.32,72.752,0,11.2,0,87.7,0,87700
870,49,49,37,46,3645.6,3724,9656,9656,4.67E+05,6.03E+07,176364090,3.87E+07,2.88E+06,2.13E+06,1.60E+05,0.4674027,60.28038,176.36409,387.2721,28.84952,21.34482,1.601873,2325,1152,186,1860,1395,69.75,73.2375,0,0,0,0,0,0
875,49,49,37,46,3724,3645.6,9656,9372,582824,83795902,121009640,56973376,2.88E+06,2.88E+05,1.60E+05,0.582824,83.795902,121.00964,569.73376,28.84952,2.883155,1.601873,2107,1152,168.56,1685.6,1264.2,63.21,69.531,0,0,0,0,0,0
880,49,50,37,46,3645.6,3645.6,9656,9372,1586534,83795902,247763570,65023765,1546663,2.88E+05,1.60E+05,1.586534,83.795902,247.76357,650.23765,15.46663,2.883155,1.601873,2032,1153,162.56,1625.6,1219.2,60.96,69.056,0,0,0,0,0,0
885,49,49,37,46,3645.6,3645.6,9656,9656,7.98E+05,8.73E+07,1.23E+08,6.57E+07,1546663,2.54E+05,1.60E+05,0.7975255,87.31896,123.2049,657.2405,15.46663,2.539875,1.601873,2031,1154,162.48,1624.8,1218.6,60.93,69.023,0,0,0,0,0,0
890,49,49,38,46,3645.6,3645.6,9656,9372,5.76E+05,115478821,8.26E+07,3.62E+07,1546663,2.11E+05,2.04E+05,0.5755007,115.478821,82.62715,362.0035,15.46663,2.110593,2.039383,2042,1155,163.36,1633.6,1225.2,61.26,69.386,0,0,0,0,0,0
895,49,49,37,46,3645.6,3645.6,9372,9656,777290,9.00E+07,1.32E+08,6.42E+07,1546663,1.23E+06,2.04E+05,0.77729,90.02602,131.5055,641.5746,15.46663,12.34692,2.039383,2062,1154,164.96,1649.6,1237.2,61.86,70.046,0,13.2,0,88.4,0,88400
900,49,50,38,46,3645.6,3645.6,9656,9656,1602674,9.00E+07,245453303,6.42E+07,1005088,1.23E+06,2.04E+05,1.602674,90.02602,245.453303,641.5746,10.05088,12.34692,2.039383,2092,1152,167.36,1673.6,1255.2,62.76,71.036,0,0,0,0,0,0
905,49,50,38,46,3724,3645.6,9372,9656,1.04E+06,5.63E+07,162157720,3.98E+07,4.49E+06,1.23E+06,1.85E+05,1.042573,56.31123,162.15772,398.2218,44.94767,12.34692,1.849743,2057,1154,164.56,1645.6,1234.2,61.71,69.881,0,0,0,0,0,0
910,49,49,38,46,3645.6,3645.6,9656,9656,5.29E+05,1.12E+08,8.10E+07,39925108,4.49E+06,174069,165689,0.5293443,112.4699,80.97978,399.25108,44.94767,1.74069,1.65689,2033,1153,162.64,1626.4,1219.8,60.99,69.089,0,0,0,0,0,0
915,49,50,38,46,3645.6,3645.6,9656,9656,5.29E+05,178318265,8.10E+07,39925108,4.49E+06,1758864,165689,0.5293443,178.318265,80.97978,399.25108,44.94767,17.58864,1.65689,2027,1154,162.16,1621.6,1216.2,60.81,68.891,0,0,0,0,0,0
920,49,49,38,46,3645.6,3645.6,9656,9656,2.12E+05,8.98E+07,1.32E+08,5.55E+07,4.49E+06,2.03E+05,165689,0.2120585,89.79078,132.1348,555.3373,44.94767,2.030685,1.65689,2068,1153,165.44,1654.4,1240.8,62.04,70.244,0,0,0,0,0,0
925,49,49,38,46,3645.6,3645.6,9656,9656,783825,84389871,121269406,6.32E+07,4.49E+06,2.03E+05,2.55E+05,0.783825,84.389871,121.269406,631.5233,44.94767,2.030685,2.549055,2030,1153,162.4,1624,1218,60.9,68.99,0,12,0,89.4,0,89400
930,49,49,38,46,3645.6,3645.6,9656,9656,7.97E+05,89090498,125510536,64479681,4.49E+06,2.03E+05,263444,0.7970065,89.090498,125.510536,644.79681,44.94767,2.030685,2.63444,2036,1154,162.88,1628.8,1221.6,61.08,69.188,0,0,0,0,0,0
935,49,50,38,46,3567.2,3645.6,9656,9656,1.05E+06,5.73E+07,1.64E+08,36707320,7143696,2.03E+05,2.99E+05,1.051604,57.33695,164.3987,367.0732,71.43696,2.030685,2.994237,2036,1155,162.88,1628.8,1221.6,61.08,69.188,0,0,0,0,0,0
940,49,50,38,46,3645.6,3645.6,9656,9656,1581656,5.73E+07,243210337,36707320,8979991,2.03E+05,2.99E+05,1.581656,57.33695,243.210337,367.0732,89.79991,2.030685,2.994237,2032,1153,162.56,1625.6,1219.2,60.96,69.056,0,0,0,0,0,0
945,49,50,38,46,3724,3645.6,9656,9656,1.03E+06,58899538,1.64E+08,3.72E+07,6.49E+06,2.03E+05,1.56E+05,1.03193,58.899538,163.7705,371.9636,64.94194,2.030685,1.560477,2036,1154,162.88,1628.8,1221.6,61.08,69.188,0,0,0,0,0,0
950,49,49,38,46,3567.2,3645.6,9656,9656,1302126,57896025,1.67E+08,4.33E+07,209939,257559,1.56E+05,1.302126,57.896025,167.0393,433.2259,2.09939,2.57559,1.560477,2040,1155,163.2,1632,1224,61.2,69.32,0,0,0,0,0,0
955,49,50,38,46,3645.6,3645.6,9656,9656,7.85E+05,8.41E+07,1.21E+08,6.34E+07,209939,257559,235096,0.7853875,84.10346,120.7369,633.943,2.09939,2.57559,2.35096,2037,1155,162.96,1629.6,1222.2,61.11,69.221,0,23.8,0,253.2,0,253200
960,49,49,38,46,3645.6,3645.6,9656,9656,1568686,8.41E+07,244164953,6.47E+07,484026,257559,235096,1.568686,84.10346,244.164953,647.2918,4.84026,2.57559,2.35096,2036,1154,162.88,1628.8,1221.6,61.08,69.188,0,0,0,0,0,0
965,47,50,37,46,3724,3645.6,9372,9656,1.30E+06,8.41E+07,234046005,5.80E+07,7511776,257559,235096,1.297176,84.10346,234.046005,579.6937,75.11776,2.57559,2.35096,2043,1155,163.44,1634.4,1225.8,61.29,69.419,0,0,0,0,0,0
970,47,50,38,46,3645.6,3645.6,9656,9656,193568,1.17E+08,8.78E+07,3.72E+07,7511776,1.04E+05,1572383,0.193568,117.1746,87.82207,371.805,75.11776,1.043603,15.72383,2106,1153,168.48,1684.8,1263.6,63.18,71.498,0,0,0,0,0,0
975,47,49,38,46,3645.6,3645.6,9372,9656,7.89E+05,9.84E+07,1.40E+08,6.29E+07,7511776,1.04E+05,232966,0.7890405,98.44557,140.2737,628.7709,75.11776,1.043603,2.32966,2028,1154,162.24,1622.4,1216.8,60.84,68.924,0,0,0,0,0,0
980,47,50,38,46,3567.2,3645.6,9656,9656,8.65E+05,82573268,118986069,2.76E+07,4.99E+06,138871,1.33E+05,0.8645808,82.573268,118.986069,275.9984,49.94324,1.38871,1.326618,2030,1153,162.4,1624,1218,60.9,68.99,0,0,0,0,0,0
985,47,49,38,46,3645.6,3645.6,9656,9656,1583850,82573268,2.41E+08,64354169,275068,138871,1.33E+05,1.58385,82.573268,240.6509,643.54169,2.75068,1.38871,1.326618,2025,1153,162,1620,1215,60.75,68.825,0,12,0,91.5,0,91500
990,46,50,38,46,3645.6,3645.6,9656,9656,7.88E+05,87822957,122488092,56527598,275068,2.70E+05,1.33E+05,0.7881565,87.822957,122.488092,565.27598,2.75068,2.700095,1.326618,2033,1154,162.64,1626.4,1219.8,60.99,69.089,0,0,0,0,0,0
995,46,50,37,46,3645.6,3645.6,9372,9656,1572897,87822957,241677060,56527598,3505608,2.70E+05,1.33E+05,1.572897,87.822957,241.67706,565.27598,35.05608,2.700095,1.326618,2046,1154,163.68,1636.8,1227.6,61.38,69.518,0,0,0,0,0,0
