 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 6689448 3527476 166 3794 0 0 0 0  0  0  0  0  0  417 2278  251 26 10 64
 0 0 0 6689416 3527312 150 3620 0 0 0 0  0  0  0  0  0  414 2102  246 26  7 68
 0 0 0 6689212 3527300 164 3782 0 0 0 0  0  0  0  0  0  415 2260  254 26 10 65
 0 0 0 6689208 3527300 181 3945 0 0 0 0  0  0  0  0  0  404 2320  257 26 10 64
 0 0 0 6689208 3527296 164 3785 0 0 0 0  0  0  0  0  0  400 2272  254 26 10 64
 0 0 0 6689484 3527456 167 3792 0 0 0 0  0  2  0  0  0  754 2262  291 26 11 64
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 6689452 3527420 147 3623 0 0 0 0  0  0  0  0  0  418 2082  258 26  7 67
 0 0 0 6689416 3527332 169 3784 0 0 0 0  0  0  0  0  0  412 2255  253 26  9 65
 0 0 0 6689208 3527300 164 3786 0 0 0 0  0  0  0  0  0  402 2255  256 26 10 65
 0 0 0 6689208 3527296 164 3783 0 0 0 0  0  0  0  0  0  408 2236  248 26  9 65
 0 0 0 6689516 3527444 164 3793 0 0 0 0  0  0  0  0  0  411 2262  255 26 10 65
 0 0 0 6689500 3527476 164 3778 0 0 0 0  0  2  0  0  0  486 2251  287 26 10 65
 0 0 0 6689392 3527352 169 3788 0 0 0 0  0  0  0  0  0  414 2253  257 26  9 65
 0 0 0 6689184 3527316 169 3780 0 0 0 0  0  0  0  0  0  394 2268  253 26  9 65
 0 0 0 6689184 3527276 164 3782 0 0 0 0  0  0  0  0  0  387 2272  253 26  9 65
 0 0 0 6689428 3527412 164 3789 0 0 0 0  0  0  0  0  0  402 2338  290 26  9 65
 0 0 0 7307320 4145100 187 3944 0 0 0 0  0  0  0  0  0  399 2329  252 24 12 65
 0 0 0 7461488 4299352 163 3785 0 0 0 0  0  2  0  0  0  464 2278  285 26  9 65
 0 0 0 7461280 4299368 198 3800 0 0 0 0  0  0  0  0  0  390 2255  251 26  9 65
 0 0 0 7457080 4295168 164 3780 0 0 0 0  0  0  0  0  0  421 2249  250 26  9 65
 0 0 0 7457196 4295164 164 3791 0 0 0 0  0  0  0  0  0  414 2246  257 26  9 65
 0 0 0 7457032 4294920 164 3773 0 0 0 0  0  0  0  0  0  415 2234  247 26  9 65
