tiime	cpu	FSB	L2miss
2920	0		512984
2922	1	2085120	
2924	1		44711
2924	0		90100
2926	0	20517060	
2928	0		24070
2930	0	522136	
2932	0		433754
2934	1	4124074	
2936	1		55079
2938	1	9582434	
2940	0		281933
2942	0	2189200	
2944	1		49465
2946	0	22110386	
2948	0		78508
2950	0	1522326	
2952	0		338309
2954	1	12532740	
2956	0		65465
2958	1	3523444	
2960	0		452617
2962	1	1692200	
2962	0	1705304	
2964	0		62378
2966	1	23879412	
2966	0	23886084	
2968	0		15206
2970	0	1528634	
2972	1		316534
2972	0		327380
2974	0	13793268	
2976	0		29004
2978	0	2939042	
2980	0		817620
2982	0	2205916	
2984	0		89987
2986	0	15208930	
2988	0		309140
2990	0	557038	
2992	0		248319
2992	1		361246
2994	0	14124010	
2996	0		5224
2996	1		78771
2998	0	2880549	
3000	0		634717
3002	0	2265330	
3004	0		55982
3006	1	10715056	
3006	0	10745562	
3008	1		479957
3010	0	1567244	
3012	1		48424
3012	0		107821
3014	0	20587106	
3016	0		67568
3018	1	926764	
3020	0		727038
3022	1	2256718	
3024	1		62279
3026	1	10065144	
3028	0		236051
3030	0	1467908	
3032	0		47768
3032	1		85577
3034	0	20502574	
3036	0		85369
3038	0	2007382	
3040	0		407050
3042	1	11765416	
3044	0		89238
3046	0	6878700	
3048	0		519485
3050	1	867232	
3052	0		67486
3054	0	22629194	
3056	0		28046
3058	1	1850362	
3060	0		271100
3062	0	13372319	
3064	1		64500
3066	0	3026356	
3066	1	3054276	
3068	0		692380
3070	0	1618146	
3072	1		143887
3074	1	18416003	
3074	0	18423301	
3076	1		182663
3078	0	970476	
3080	0		295404
3082	0	14102526	
3084	0		8935
3086	0	2801592	
3088	0		695955
3090	0	1498238	
3092	0		77149
3094	0	10751768	
3096	1		534831
3096	0		458377
3098	1	1986268	
3100	0		29437
3102	0	21373818	
3104	0		4919
3104	1		105917
3106	0	1443892	
3108	1		588381
3110	0	671606	
3112	0		78545
3114	0	10394827	
3116	0		231745
3118	0	2052414	
3120	0		63981
3120	1		84482
3122	0	21648228	
3124	0		56022
3126	0	1498336	
3128	1		483163
3130	0	8637920	
3132	1		131875
3134	0	8198534	
3134	1	8243782	
3136	1		626742
3138	0	926536	
3140	1		1767
3140	0		36735
3142	0	22522884	
3144	0		58039
3146	0	1820594	
3148	1		336951
3148	0		303734
3150	0	13366752	
3152	0		41370
3154	0	2985436	
3156	0		688052
3158	0	2011646	
3160	1		80456
3162	0	22737364	
3164	0		8295
3166	1	1669221	
3168	0		264693
3170	0	12385584	
3172	0		27612
3174	0	2735246	
3176	0		745957
3178	0	1923314	
3180	0		30853
3182	1	12462478	
3184	0		516495
3186	0	1976564	
3188	1		216988
3188	0		115123
3190	0	18183096	
3192	0		113393
3194	0	1253106	
3196	1		763014
3198	0	1014666	
3200	0		18719
3202	0	10239210	
3204	0		318422
3206	0	1442026	
3208	1		41620
3208	0		113409
3210	1	20757868	
3212	0		83970
3214	0	1541061	
3216	1		683490
3216	0		538509
3218	0	5846162	
3220	1		83601
3222	0	10212460	
3222	1	10236764	
3224	0		648131
3226	1	1515326	
3228	0		83260
3230	1	20776402	
3232	0		30821
3234	0	1461294	
3236	0		211492
3236	1		387187
3238	0	13612213	
3240	0		12046
3242	0	3927924	
3244	0		589818
3246	0	1499921	
3248	1		23196
3250	0	22346108	
3252	0		131650
3254	0	1309914	
3256	0		386762
3256	1		322925
3258	0	13523950	
3260	1		38272
3262	0	3484163	
3264	0		499634
3266	0	1607620	
3268	1		86423
3270	1	21257314	
3272	1		118220
3274	0	1478854	
3276	0		339758
3278	1	15633138	
3280	0		80264
3282	1	3102260	
3282	0	3132122	
3284	0		869836
3286	0	2302740	
3288	0		13772
3290	0	9761828	
3292	0		396197
3294	1	1752493	
3296	0		139211
3298	0	20153074	
3300	0		59404
3302	1	2280144	
3304	0		831792
3306	0	1924188	
3308	0		44980
3310	0	10967875	
3312	1		491907
3314	0	1769406	
3316	1		70580
3316	0		102843
3318	0	20018762	
3320	0		17143
3322	0	2118962	
3324	0		733099
3326	1	4696032	
3328	1		39750
3330	0	10086648	
3332	1		993828
3334	0	1890676	
3336	0		50860
3338	0	21590134	
3340	0		21820
3342	0	2352670	
3344	0		360035
3346	1	13184242	
3348	1		19686
3348	0		54728
3350	1	5278969	
3350	0	5286860	
3352	0		810260
3354	0	1497684	
3356	0		75460
3358	0	22802252	
3360	1		54907
3362	0	2232226	
3364	0		265155
3366	0	13495320	
3368	0		42090
3370	0	3008062	
3372	1		521276
3374	0	1407047	
3376	0		108666
3378	0	21180344	
3380	0		26683
3382	0	2111138	
3384	1		256819
3384	0		367261
3386	1	13834378	
3388	1		56641
3390	0	2496118	
3392	0		846443
3394	0	1544700	
3396	0		28733
3398	1	13493332	
3400	0		291028
3402	1	2072945	
3404	1		162983
3404	0		284431
3406	1	16518734	
3408	0		52770
3410	0	482378	
3412	0		974009
3414	0	1623364	
3416	0		22640
3418	0	11326180	
3418	1	11362126	
3420	0		510193
3422	1	2307940	
3424	1		41350
3424	0		77064
3426	0	21018004	
3428	0		69260
3430	0	1580302	
3432	0		670029
3434	0	3522400	
3436	0		92649
3438	0	9385752	
3440	0		251801
3442	0	1598408	
3444	0		49432
3444	1		72976
3446	1	21773450	
3448	0		77627
3450	0	1419010	
3452	0		331248
3454	0	13453260	
3456	1		19289
3458	0	3754754	
3458	1	3787204	
3460	0		533996
3462	0	2088222	
3464	0		93266
3466	0	22705812	
3468	0		10574
3470	0	573876	
3472	1		330985
3472	0		281208
3474	0	13029422	
3476	0		67241
3478	0	3448642	
3480	0		707786
3482	1	1960580	
3482	0	2152630	
3484	0		8118
3486	0	17226532	
3488	0		321059
3490	1	1525198	
3492	1		337549
3492	0		315024
3494	0	14199792	
3496	0		88800
3498	0	1753254	
3500	0		593479
3502	0	2007008	
3504	0		11171
3506	1	10832246	
3506	0	10845233	
3508	1		572229
3510	0	1835442	
3512	0		63325
3512	1		55638
3514	0	20718258	
3516	0		78529
3518	0	1945758	
3520	1		755692
3522	0	1771086	
3524	0		49914
3526	0	9552392	
3528	0		578974
3530	0	578000	
3532	0		29236
3534	0	22057548	
3536	0		61569
3538	1	2237146	
3540	1		666703
3542	1	6588640	
3544	1		109632
3546	0	9778300	
3548	0		421205
3550	1	1525135	
3552	1		150373
3552	0		50138
3554	0	21576246	
3556	0		66364
3558	0	1013652	
3560	0		313644
3562	0	13230046	
3564	0		81727
3566	1	3661156	
3566	0	3688376	
3568	1		762890
3570	1	1542594	
3572	1		69371
3574	0	22551162	
3576	1		26578
3578	0	1946978	
3580	0		354973
3582	1	13703668	
3584	1		124463
3586	0	2670122	
3586	1	2700698	
3588	0		787150
3590	0	624554	
3592	0		37185
3594	1	12651022	
3596	0		411270
3598	0	1913720	
3600	0		121997
3602	0	17775018	
3604	1		25032
3606	1	1806914	
3608	0		752372
3610	0	1477141	
3612	1		108976
3614	0	10659088	
3616	0		254515
3618	0	1367746	
3620	0		23645
3620	1		67583
3622	0	21186496	
3624	1		77670
3626	0	1448434	
3628	0		513337
3630	0	1512508	
3632	1		31522
3634	0	10636691	
3636	1		538021
3638	0	2026994	
3640	0		51242
3642	1	21840228	
3644	1		31439
3646	0	1332458	
3648	0		376320
3650	0	12391012	
3652	0		36120
3654	0	5202684	
3656	0		859615
3658	1	2350276	
3660	0		13484
3662	1	22134112	
3664	0		94607
3666	0	1543380	
3668	1		286523
3668	0		376522
3670	0	16453216	
3672	0		82273
3674	0	3508574	
3676	1		1149442
3678	0	2205207	
3680	0		31023
3682	0	20420522	
3684	0		116353
3686	0	2266660	
3688	1		421000
3690	0	15679318	
3692	1		48370
3692	0		190445
3694	1	8771926	
3694	0	8772547	
3696	1		577390
3698	0	2132950	
3700	1		49240
3702	0	12536021	
3704	1		315172
3706	1	3338326	
3708	1		154261
3710	0	18342592	
3712	0		76062
3714	0	3261894	
3714	1	3385804	
3716	1		667844
3718	1	2913466	
3720	1		84755
3722	1	13604658	
3724	0		475122
3726	1	3533999	
3728	1		90891
3730	0	24337566	
3732	0		12271
3734	0	2183822	
3736	0		701582
3736	1		887922
3738	0	1974384	
3740	1		26888
3742	0	9800074	
3744	0		449034
3746	0	1491650	
3748	0		35371
3750	0	21209156	
3752	1		180844
3754	1	2477488	
3756	0		359962
3758	0	15485356	
3760	0		37391
3762	1	5260526	
3762	0	5295654	
3764	1		908279
3766	0	3065392	
3768	0		80331
3770	0	24856950	
3772	1		51237
3774	1	3234881	
3776	0		316416
3778	1	17450696	
3780	1		63804
3782	1	4911854	
3782	0	4958598	
3784	0		754189
3784	1		911892
3786	1	3333472	
3788	0		102551
3790	0	18455426	
3792	0		228334
3794	0	1892968	
3796	1		212255
3798	0	12998418	
3800	0		28627
3802	1	2044805	
3802	0	2072100	
3804	1		556148
3806	1	1526358	
3808	1		94066
3810	0	12655764	
3812	0		552685
3814	0	2578154	
3816	0		106210
3818	1	22039658	
3820	0		80221
3822	1	2088862	
3824	1		853238
3826	0	2928776	
3828	0		55326
3830	1	11778696	
3832	1		443197
3834	1	2848292	
3836	1		104452
3836	0		82182
3838	1	26561542	
3840	0		59588
3842	1	3523592	
3844	0		587889
3844	1		610647
3846	0	11207518	
3848	0		41661
3850	0	9567468	
3852	1		668053
3854	0	1856600	
3856	1		86390
3856	0		251567
3858	1	20842344	
3860	0		46779
3862	1	1649010	
3864	1		308476
3864	0		331697
3866	0	13529363	
3868	0		83569
3868	1		83239
3870	0	3457892	
3872	1		625124
3874	0	2206452	
3876	1		23072
3878	1	26803620	
3880	0		52708
3882	1	2397792	
3884	0		331863
3886	0	15342356	
3888	1		45284
3888	0		75547
3890	0	3277380	
3890	1	3330390	
3892	1		884346
3894	1	4489779	
3896	1		63832
3898	0	21717918	
3900	1		185131
3902	1	5724028	
3904	1		228518
3906	0	13519975	
3908	1		2717
3908	0		107559
3910	0	2520788	
3912	0		722092
3914	0	1793230	
3916	1		82796
3918	0	9993447	
3918	1	10014846	
3920	0		601332
3922	0	1353960	
3924	0		104571
3926	1	22291953	
3928	1		20999
3930	1	1690278	
3932	0		804606
3934	1	2535443	
3936	1		29883
3938	1	12805432	
3940	0		550607
3942	1	2992842	
3944	1		114212
3944	0		74402
3946	0	23491476	
3948	1		58129
3950	0	1627710	
3952	0		726275
3954	1	7997364	
3956	1		72907
3958	1	13093672	
3958	0	13135769	
3960	0		794182
3962	0	1595216	
3964	0		119553
3966	0	21072611	
3968	0		14118
3970	0	1511228	
3972	1		334282
3972	0		299089
3974	0	13666029	
3976	0		190467
3978	0	2431628	
3978	1	2618742	
3980	0		466901
3982	1	3273128	
3984	0		79095
3986	1	26040822	
3988	0		55573
3990	1	2381492	
3992	1		352924
3994	0	16253606	
3996	0		43856
3998	0	3675898	
4000	0		641080
4002	0	2483806	
4004	1		103314
4006	0	20920276	
4008	0		303850
4010	0	3501334	
4012	0		399274
4014	1	17296698	
4016	1		47019
4018	1	5864870	
4018	0	5893378	
4020	0		540920
4022	0	1514528	
4024	0		82226
4026	1	10656292	
4026	0	10683899	
4028	0		428496
4030	0	2054150	
4032	0		109638
4034	1	20926856	
4036	0		176814
4038	1	367884	
4040	0		837939
4042	0	1351478	
4044	0		75060
4046	0	11602782	
4048	0		365696
4050	0	2674832	
4052	0		106784
4054	1	25633014	
4056	1		44024
4058	1	2395404	
4060	0		640505
4062	0	9410738	
4064	1		59656
4066	0	12482926	
4068	1		553395
4070	1	3381499	
4072	1		85221
4072	0		87281
4074	0	25200422	
4076	1		191110
4078	1	1335415	
4078	0	1343948	
4080	0		187830
4082	1	12953034	
4084	0		85871
4086	1	3211992	
4088	1		771385
4090	0	2249934	
4092	1		111675
4094	0	22604158	
4096	0		140027
4098	0	2179060	
4100	0		270656
4102	0	15027248	
4104	1		92419
4106	0	3290500	
4106	1	3336848	
4108	1		586074
4110	1	2946688	
4112	1		60775
4114	0	19494236	
4114	1	19531616	
4116	0		316394
4118	0	2620024	
4120	1		368028
4120	0		360085
4122	0	16037268	
4124	0		116053
4126	0	4386214	
4126	1	4432208	
4128	1		877096
4130	0	3040872	
4132	0		62238
4134	1	13666480	
4134	0	13680294	
4136	0		682229
4138	0	1297962	
4140	0		80680
4142	1	20249200	
4144	0		85313
4146	0	1520638	
4148	1		724888
4150	0	2091582	
4152	0		49984
4154	0	11628028	
4156	0		482145
4158	0	832716	
4160	0		52785
4162	0	22587340	
4164	0		22402
4166	1	2091600	
4168	1		689230
4170	0	6965420	
4172	0		58286
4174	0	12537746	
4176	0		350776
4178	1	2709682	
4180	0		87540
4180	1		97022
4182	1	25204932	
4184	1		130963
4186	0	2987647	
4188	0		328939
4190	0	17879670	
4192	0		35618
4194	1	3814981	
4194	0	3895158	
4196	0		658515
4198	0	1452684	
4200	0		15340
4202	0	21431272	
4204	0		7571
4206	1	1507550	
4208	0		278137
4210	0	14241844	
4212	0		118620
4214	0	3625200	
4216	1		800097
4218	1	626104	
4220	0		53455
4222	0	20554196	
4224	0		230021
4226	1	2599328	
4228	1		291098
4230	1	18013844	
4232	1		32469
4234	1	3943250	
4234	0	3987533	
4236	0		719810
4238	0	3326562	
4240	0		100178
4242	0	14307600	
4244	1		340490
4246	0	3275639	
4248	0		80982
4250	0	19707510	
4252	0		37637
4254	0	2009724	
4256	0		746959
4258	0	1720290	
4260	0		18703
4262	1	10034000	
4262	0	10054416	
4264	0		681061
4266	1	1515686	
4266	0	1524496	
4268	0		78021
4270	0	23395658	
4272	0		32738
4274	0	2233580	
4276	0		781292
4278	1	5325212	
4280	1		43969
4282	0	11256598	
4284	1		528758
4286	1	2020596	
4288	1		64051
4288	0		111920
4290	1	26310540	
4292	1		46661
4294	1	3323774	
4296	1		382951
4296	0		309224
4298	0	16709994	
4300	1		68913
4302	1	4805752	
4302	0	4862482	
4304	0		893597
4306	0	6117114	
4308	0		25154
4310	0	21796310	
4312	0		25392
4314	0	1945074	
4316	0		283875
4318	1	13343592	
4318	0	13355688	
4320	0		9744
4322	0	3053886	
4322	1	3082344	
4324	0		907801
4326	0	1589760	
4328	0		123906
4330	0	16131078	
4332	0		456368
4334	1	2560048	
4336	0		304228
4338	0	15284442	
4340	0		61739
4342	0	3948692	
4342	1	3978274	
4344	0		967105
4346	1	2511040	
4348	1		38144
4350	0	13114447	
4352	0		529005
4354	0	4340230	
4356	0		140257
4358	1	23920898	
4360	1		78710
4362	1	3272118	
4364	1		956324
4366	0	2385358	
4368	0		42586
4370	0	9759443	
4372	0		519286
4374	0	1948868	
4376	0		104653
4376	1		26098
4378	0	20745502	
4380	0		86660
4382	1	1511844	
4384	1		567076
4386	0	11677856	
4388	0		82268
4390	1	8470218	
4390	0	8481138	
4392	0		413211
4394	1	2082390	
4396	0		172809
4398	1	23022848	
4400	0		60757
4402	1	2025508	
4404	0		304242
4406	0	17246276	
4408	0		40561
4410	0	4742548	
4412	0		635552
4414	1	3996589	
4414	0	3996102	
4416	0		64123
4418	1	27169774	
4420	1		223658
4422	0	1621000	
4424	0		408736
4426	0	14380128	
4428	0		28913
4430	0	2389709	
4432	0		548472
4434	0	1919960	
4436	0		63856
4438	1	15352936	
4440	0		249838
4442	0	3378312	
4444	0		282159
4446	0	15134628	
4448	0		47993
4450	0	3435054	
4450	1	3479508	
4452	0		831166
4454	0	2624150	
4456	0		160708
4458	0	11527070	
4460	0		489920
4462	1	2474344	
4464	1		115744
4464	0		83346
4466	0	24087805	
4468	0		62153
4470	0	4080756	
4472	1		804423
4474	0	2987734	
4476	1		79315
4478	0	13875614	
4480	0		203519
4482	0	1566330	
4484	0		89946
4484	1		48527
4486	0	22696090	
4488	0		34437
4490	0	1432412	
4492	0		508921
4494	0	8411776	
4496	0		89823
4498	0	8683204	
4500	0		508566
4502	0	1729895	
4504	0		94879
4506	1	24547964	
4508	1		30092
4510	1	3081816	
4512	0		311755
4514	0	15190443	
4516	0		176788
4518	0	3459292	
4518	1	3502196	
4520	0		592801
4522	0	2362562	
4524	0		38940
4526	0	26192346	
4528	1		85909
4530	1	3904206	
4532	1		439761
4534	1	16821060	
4536	1		174896
4538	1	2671880	
4538	0	2703956	
4540	0		745905
4542	0	1655694	
4544	1		92914
4546	0	18931842	
4548	0		153350
4550	0	1231280	
4552	0		236521
4552	1		383137
4554	0	13799305	
4556	1		91055
4558	0	4317542	
4560	1		776669
4562	1	1804368	
4564	1		27211
4566	0	12730797	
4568	0		560406
4570	0	2789266	
4572	0		79444
4572	1		107412
4574	1	23510392	
4576	1		72652
4578	1	1578554	
4580	1		817463
4582	0	2808824	
4584	0		99726
4586	0	13716784	
4588	0		327526
4590	0	4373721	
4592	0		104819
4592	1		89785
4594	0	22635216	
4596	0		67938
4598	0	1386862	
4600	0		733105
4602	0	5691555	
4604	0		91041
4606	1	11035842	
4606	0	11064848	
4608	1		693156
4610	0	1200140	
4612	0		43328
4612	1		72761
4614	1	23630504	
4616	0		90312
4618	0	1611388	
4620	0		427246
4622	0	14308872	
4624	0		20433
4626	1	7125118	
4626	0	7163404	
4628	1		531494
4630	0	3049350	
4632	0		64009
4634	0	24144998	
4636	1		119731
4638	0	1619844	
4640	0		271922
4642	0	16853656	
4644	1		61635
4646	0	5199784	
4646	1	5255904	
4648	0		840490
4650	0	6216662	
4652	1		63193
4654	0	20941548	
4656	1		138759
4658	0	1725076	
4660	0		273125
4662	0	14219998	
4664	1		2208
4664	0		101335
4666	0	3939516	
4668	0		658912
4670	0	1235472	
4672	1		135212
4674	1	13636044	
4676	1		482164
4678	0	1851772	
4680	1		259889
4680	0		230181
4682	0	17986838	
4684	1		29375
4686	1	3884170	
4688	1		739403
4690	1	3083868	
4692	0		73534
4694	0	12259562	
4696	0		571430
4698	1	2540260	
4700	0		117358
4702	0	26146590	
4704	0		61854
4706	0	3960044	
4708	0		686911
4710	0	2410670	
4712	0		70448
4714	0	9953714	
4716	0		585862
4718	0	1373386	
4720	1		39418
4720	0		134811
4722	0	20526044	
4724	0		93648
4726	0	2897086	
4728	0		395647
4730	0	12813490	
4732	0		17581
4734	1	7853352	
4736	0		401649
4738	1	1809234	
4740	0		115550
4742	0	24323152	
4744	1		34155
4744	0		91735
4746	0	3574510	
4748	1		339206
4748	0		342323
4750	1	16754261	
4752	1		45363
4754	1	3757664	
4754	0	3810703	
4756	0		735850
4758	1	2189996	
4758	0	2190916	
4760	0		70525
4762	1	26132434	
4764	0		73540
4766	1	4409496	
4768	0		339718
4770	0	13609070	
4772	0		65356
4774	1	2619670	
4774	0	2644874	
4776	0		677469
4778	0	1419446	
4780	1		5384
4780	0		109997
4782	1	15449432	
4784	0		438670
4786	1	4920010	
4788	0		306733
4790	0	14590888	
4792	1		18099
4794	1	2613122	
4794	0	2651156	
4796	0		654676
4798	1	2065348	
4800	0		66707
4802	1	12404382	
4804	1		667886
4804	0		370639
4806	0	2812688	
4808	0		72259
4808	1		102265
4810	0	24938944	
4812	1		41483
4814	1	3292880	
4816	0		677575
4818	1	1918683	
4820	1		68941
4822	0	14825272	
4824	0		482246
4826	0	2343218	
4828	0		25627
4830	1	21265824	
4832	0		62573
4834	0	1407546	
4836	1		418583
4838	0	6366308	
4840	0		106563
4842	0	10046319	
4842	1	10070336	
4844	0		440699
4846	0	4273436	
4848	0		42348
4848	1		82993
4850	1	23980188	
4852	1		39513
4854	1	2191622	
4856	0		320211
4858	0	16428813	
4860	1		59654
4860	0		60098
4862	0	4374337	
4864	0		764752
4866	0	3455030	
4868	0		62238
4870	1	26672900	
4870	0	26672928	
4872	0		97873
4874	0	3433464	
4876	0		446897
4878	0	15361652	
4880	0		61134
4882	1	2442000	
4882	0	2471896	
4884	1		797014
4884	0		669473
4886	0	1987198	
4888	1		6456
4890	0	16518179	
4892	0		339387
4894	0	1453212	
4896	1		276484
4896	0		378797
4898	0	13705794	
4900	0		98586
4902	1	4371707	
4902	0	4404010	
4904	0		751578
4906	0	4075886	
4908	1		32233
4910	1	11874708	
4910	0	11922790	
4912	1		505021
4914	1	2025698	
4916	1		90086
4916	0		90888
4918	0	24703366	
4920	1		77922
4922	0	2674760	
4924	1		892953
4926	1	3072892	
4928	1		76667
4930	1	13510258	
4930	0	13554220	
4932	0		296940
4934	1	3345450	
4936	0		171903
4936	1		122377
4938	0	23608984	
4940	0		58816
4942	0	1620288	
4944	1		481938
4946	1	8611582	
4948	1		61935
4950	0	10379376	
4950	1	10403047	
4952	0		250670
4954	0	1483164	
4956	0		30744
4956	1		123201
4958	0	21293534	
4960	0		153080
4962	0	2028910	
4964	1		254177
4964	0		392779
4966	0	17127434	
4968	1		27566
4970	0	3416724	
4972	1		931876
4974	1	2579247	
4976	1		52941
4978	1	25655084	
4980	1		57442
4980	0		70442
4982	1	2857466	
4984	1		352604
4986	0	17569626	
4988	0		60605
4990	0	4484612	
4992	1		792321
4994	1	3922986	
4996	0		201772
4998	0	12426042	
5000	0		310427
5002	1	1664042	
5004	1		182165
5006	0	16035306	
5008	0		72151
5010	0	2150239	
5012	1		697513
5014	1	1894720	
5016	0		116896
5018	0	10065526	
5020	0		503129
5022	0	1583490	
5024	1		34276
5024	0		106954
5026	0	20998570	
5028	0		24113
5030	0	472402	
5032	0		725896
5034	0	2260932	
5036	0		15933
5038	0	9698075	
5040	0		671880
5042	1	2811534	
5044	0		97007
5046	0	23189222	
5048	1		92462
5050	0	2139868	
5052	0		404850
5054	0	13163710	
5056	0		280262
5058	1	7198692	
5060	0		433989
5062	0	2330250	
5064	1		118540
5064	0		93560
5066	1	25172567	
5068	1		58600
5070	0	2267113	
5072	0		323133
5074	0	17027422	
5076	0		62660
5078	0	3975916	
5080	0		813391
5082	0	2163240	
5084	0		94853
5086	0	20440918	
5088	1		40534
5090	0	568088	
5092	0		503908
5094	0	17759520	
5096	1		234686
5098	0	16474690	
5100	1		785904
5102	0	1512094	
5104	1		4266
5104	0		63044
5106	0	17744308	
5108	0		248580
5110	1	1448592	
5110	0	1448796	
5112	1		309077
5114	1	12791932	
5116	1		65177
5118	0	1353890	
5120	1		755815
5122	1	1092884	
5124	0		53085
5126	1	14923984	
5126	0	14961976	
5128	1		275296
5130	0	1334262	
5132	1		351944
5134	0	13157700	
5136	1		7641
5136	0		75760
5138	1	2159372	
5138	0	2171122	
5140	0		791182
5142	1	1696180	
5144	1		83456
5146	0	11616556	
5148	0		454751
5150	1	441248	
5152	0		357346
5154	0	13043620	
5156	1		5629
5156	0		67271
5158	1	2079844	
5160	0		726352
5162	0	1868416	
5164	0		4178
5166	0	10093946	
5168	1		506143
5170	0	1504930	
5172	1		318035
5174	0	15904234	
5176	0		62757
5178	0	984885	
5180	1		790345
5182	0	1870348	
5184	1		8985
5184	0		65721
5186	1	10090762	
5188	1		467070
5190	1	1346662	
5192	0		91052
5194	0	18572172	
5196	0		15788
5198	1	1387130	
5198	0	1389252	
5200	0		774649
5202	0	1564820	
5204	1		78913
5206	0	9228298	
5206	1	9255132	
5208	0		412246
5210	1	427664	
5212	0		77225
5214	1	19218554	
5216	0		5600
5216	1		73449
5218	1	1250598	
5220	0		766855
5222	0	1559734	
5222	1	1563886	
5224	0		58464
5226	0	9870388	
5228	0		569497
5230	1	1461003	
5230	0	1461512	
5232	0		143842
5234	0	18986644	
5236	0		87794
5238	1	394842	
5238	0	394654	
5240	0		745535
5242	1	1090660	
5244	1		64284
5246	0	21820064	
5248	0		519472
5250	1	1341120	
5250	0	1340600	
5252	0		73916
5254	0	19183046	
5256	1		71782
5258	0	1318288	
5260	0		700834
5262	1	1540856	
5264	1		6824
5266	0	9914508	
5268	0		473314
5270	0	534126	
5270	1	538522	
5272	0		35529
5274	0	19375648	
5276	1		5168
5276	0		75576
5278	0	1419368	
5280	0		773138
5282	1	1523492	
5284	1		62744
5286	0	9474292	
5288	0		2230258
5290	1	1446150	
5292	0		41867
5294	1	19348012	
5296	0		46713
5298	1	320718	
5300	1		797296
5302	1	1604940	
5304	1		56644
5306	1	9587408	
5308	0		427960
5310	0	29313014	
5312	0		36617
5314	1	19592740	
5316	0		6131
5318	0	1419730	
5320	0		768311
5322	0	3102076	
5324	0		3478
5324	1		94866
5326	1	8899042	
5326	0	8931178	
5328	0		498819
5330	1	77784194	
5330	0	77893806	
5332	0		64208
5334	0	19839192	
5336	1		61644
5338	1	1230092	
5340	0		583839
5340	1		595352
5342	0	6052106	
5344	1		9499
5346	0	9298863	
5348	1		555723
5350	0	1504782	
5352	0		125741
5354	0	19507952	
5356	0		83857
5358	0	274098	
5360	1		553798
5362	0	7086012	
5364	0		52331
5366	1	9128608	
5368	0		526984
5370	0	1350454	
5372	1		97184
5374	0	20161077	
5376	0		67650
5378	1	1294608	
5380	0		525817
5382	1	8820093	
5384	1		93314
5386	0	8534077	
5388	1		411296
5390	1	491614	
5392	1		32573
5394	1	20244968	
5396	1		67654
5398	0	1348942	
5400	1		385589
5402	0	10072766	
5404	0		5972
5406	1	9169956	
5408	0		426642
5410	0	1516584	
5412	1		136944
5412	0		39068
5414	1	19804286	
5416	0		1103864
5418	1	280344	
5420	1		285450
5422	1	12232464	
5424	1		53370
5426	0	7380164	
5428	0		598056
5430	1	1386322	
5430	0	1387378	
5432	0		91176
5434	1	19883274	
5436	1		81978
5438	0	110952432	
5440	1		375680
5442	1	12506242	
5444	0		3679
5446	0	5842008	
5448	0		521003
5450	0	529334	
5452	1		41018
5454	0	20262308	
5456	0		11374
5458	1	1673288	
5460	0		275476
5462	1	12296382	
5464	0		6184
5466	0	3767312	
5468	1		693620
5470	1	1432576	
5472	1		7665
5472	0		114767
5474	0	20408096	
5476	0		87621
5478	0	318944	
5480	0		281341
5480	1		349321
5482	1	11907602	
5484	0		59056
5486	0	3021300	
5488	0		866510
5490	0	1372903	
5492	1		10098
5492	0		60497
5494	0	20849388	
5496	0		72124
5498	1	1317888	
5498	0	1317924	
5500	0		434323
5502	0	12636944	
5504	1		5466
5504	0		97641
5506	1	2366692	
5508	1		709495
5510	1	603512	
5510	0	604624	
5512	1		44877
5514	1	20717490	
5514	0	20730316	
5516	1		62247
5518	1	1216862	
5520	1		368743
5522	1	12955436	
5522	0	12960568	
5524	1		4567
5524	0		68162
5526	0	2902070	
5528	0		762294
5530	0	1430082	
5532	0		96526
5534	0	20675864	
5536	0		48962
5538	0	240542	
5540	0		315230
5542	0	12986458	
5544	1		9296
5546	0	2834109	
5548	1		722646
5550	0	1409186	
5552	0		53824
5554	0	20761412	
5556	0		71307
5558	1	1322384	
5560	0		414152
5560	1		243359
5562	0	12933520	
5564	1		5236
5566	0	1888384	
5566	1	1919200	
5568	1		754297
5570	1	548352	
5570	0	551916	
5572	1		7554
5572	0		48214
5574	0	19463684	
5576	0		87862
5578	1	1218800	
5578	0	1220078	
5580	1		354186
5580	0		277580
5582	0	12929968	
5584	1		6031
5584	0		68706
5586	0	2552292	
5586	1	2586535	
5588	0		716858
5590	0	1498078	
5592	1		109835
5594	1	16564154	
5596	1		150224
5598	1	357567	
5598	0	360896	
5600	0		354852
5602	1	12837978	
5604	0		10155
5606	0	2651536	
5608	0		673878
5610	1	1407760	
5612	1		65494
5614	0	14302988	
5616	0		239787
5618	0	1368244	
5618	1	1371356	
5620	1		429723
5622	1	13231158	
5624	0		3569
5624	1		97537
5626	1	19581012	
5628	1		700626
5630	1	558734	
5632	0		42904
5634	0	12446692	
5634	1	12469528	
5636	1		344043
5638	0	1297262	
5640	1		288200
5642	0	13307156	
5644	1		60328
5646	0	2294326	
5648	1		707280
5650	1	1405365	
5652	0		13616
5654	1	10685042	
5656	0		551836
5658	1	284704	
5660	1		201548
5662	0	14939644	
5664	1		8955
5664	0		61770
5666	0	2203026	
5666	1	2221590	
5668	1		1163601
5670	0	1465754	
5670	1	1465028	
5672	0		62135
5674	0	10018360	
5674	1	10049154	
5676	0		471736
5678	0	1382524	
5680	1		160370
5682	0	17743944	
