tiime	cpu	FSB	L2miss
554	0	13144583	
556	1		57734
558	0	2486588	
558	1	2509576	
560	0		608574
562	1	1727522	
564	0		56704
566	0	17639763	
568	0		149300
570	0	1477260	
572	0		296641
572	1		336392
574	0	14124648	
576	0		8565
578	0	2738656	
580	0		714798
582	0	2117174	
584	0		91953
586	1	10818470	
586	0	10841096	
588	1		480370
590	0	507688	
592	0		86229
594	0	19660898	
596	0		71030
598	0	1866180	
600	1		726958
602	0	3129674	
604	0		67138
606	0	9808482	
608	0		468079
610	1	1542416	
612	0		35495
614	0	20212716	
616	0		78198
618	1	973670	
620	0		290500
622	0	14248432	
624	0		8936
626	1	3840748	
626	0	3846614	
628	0		495869
630	0	1480978	
632	1		16765
634	0	22539848	
