parsecsingle.sh: Executing swaptions benchmark.
parsecsingle.sh: Destination directory is /usr/home/awl8049/scheduler/
parsecsingle.sh: Using parsec_awldev1swaptions as id for this run
parsecsingle.sh: Clearing memory on power meter
parsecsingle.sh: Restarting teaplant.
And now we start the Parsecsingle swaptions benchmark at 
DEBUG - PARSECPLAT is amd64-bsd.gcc
DEBUG buildfile = /usr/home/awl8049/Projects/parsec-2.1/config/gcc.bldconf
[PARSEC] Benchmarks to run:  swaptions

[PARSEC] [========== Running benchmark swaptions ==========]
[PARSEC] Deleting old run directory.
[PARSEC] Setting up run directory.
[PARSEC] No archive for input 'native' available, skipping input setup.
[PARSEC] Running 'time /usr/home/awl8049/Projects/parsec-2.1/pkgs/apps/swaptions/inst/amd64-bsd.gcc/bin/swaptions -ns 128 -sm 1000000 -nt 1':
[PARSEC] [---------- Beginning of output ----------]
PARSEC Benchmark Suite Version 2.1
Swaption101: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption102: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption103: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption104: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption105: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption106: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption107: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption108: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption109: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption110: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption111: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption112: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption113: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption114: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption115: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption116: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption117: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption118: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption119: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption120: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption121: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption122: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption123: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption124: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption125: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption126: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
