 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 42639976 30065888 186 4785 0 0 0 0 0 0  2  0  0  991 2273  400  6  5 88
 0 0 0 42410836 29836692 55 1596 0 0 0 0 0  0  0  0  0  788 1144  264  6  5 89
 0 0 0 42410592 29836652 99 3099 0 0 0 0 0  0  0  0  0  772 1675  308  6  6 87
 0 0 0 42410676 29837064 106 3121 0 0 0 0 0 0  2  0  0  878 1709  338  6  6 88
 0 0 0 42409580 29836712 120 3140 0 0 0 0 0 0  0  0  0  851 1651  316  6  5 89
 0 0 0 42408624 29836664 108 3122 0 0 0 0 0 0  0  0  0  746 1681  313  6  6 88
 0 0 0 42409044 29836868 171 4663 0 0 0 0 0 0  2  0  0  827 2273  416  6  3 90
 0 0 0 42408820 29836664 108 3119 0 0 0 0 0 0  0  0  0  838 1659  308  6  4 89
 0 0 0 42407096 29835032 55 1598 0 0 0 0 0  0  0  0  0  788 1127  240  6  5 89
 0 0 0 42404828 29832912 171 4659 0 0 0 0 0 0  2  0  0  867 2255  402  6  4 89
 0 0 0 42404592 29832544 55 1598 0 0 0 0 0  0  0  0  0  866 1079  248  6  5 88
 0 0 0 42404488 29832532 108 3125 0 0 0 0 0 0  0  0  0  758 1688  315  6  6 88
 0 0 0 42406120 29833624 181 4792 0 0 0 0 0 0  2  0  0  960 2271  408  6  4 90
 0 0 0 42410704 29836580 55 1599 0 0 0 0 0  0  0  0  0  809 1176  272  6  5 89
 0 0 0 42410828 29836580 158 4664 0 0 0 0 0 0  0  0  0  859 2224  380  6  5 89
 0 0 0 42410932 29836988 121 3143 0 0 0 0 0 0  2  0  0  852 1680  338  6  4 90
 0 0 0 42410684 29836588 55 1598 0 0 0 0 0  0  0  0  0  808 1111  247  6  5 88
 0 0 0 42408908 29836544 158 4662 0 0 0 0 0 0  0  0  0  886 2245  383  6  6 88
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 42408616 29836964 55 1601 0 0 0 0 0  0  2  0  0  833 1138  272  6  5 89
 0 0 0 42408628 29836580 120 3139 0 0 0 0 0 0  0  0  0  814 1667  314  6  5 89
 0 0 0 42408564 29836548 158 4664 0 0 0 0 0 0  0  0  0  861 2235  382  6  6 88
 0 0 0 42408496 29836472 120 3151 0 0 0 0 0 0  2  0  0  865 1683  339  6  4 90
 0 0 0 42404824 29832504 106 3136 0 0 0 0 0 0  0  0  0  874 1684  310  6  3 90
 0 0 0 42404788 29832540 111 3141 0 0 0 0 0 0  0  0  0  768 1676  312  6  4 90
 0 0 0 42404456 29832804 55 1606 0 0 0 0 0  0  2  0  0  881 1121  270  6  5 89
 0 0 0 42404576 29832472 173 4681 0 0 0 0 0 0  0  0  0  802 2287  397  6  5 89
 0 0 0 42429624 29857560 70 1709 0 0 0 0 0  0  0  0  0  785 1197  247  6  5 89
 0 0 0 42656324 30084660 106 3124 0 0 0 0 0 0  2  0  0  781 1669  329  6  5 89
 0 0 0 42656520 30084360 171 4672 0 0 0 0 0 0  0  0  0  872 2243  389  6  4 90
 0 0 0 42655696 30083720 60 1598 0 0 0 0 0  0  0  0  0  733 1129  247  6  5 89
 0 0 0 42654244 30082592 171 4676 0 0 0 0 0 0  2  0  0  818 2229  403  6  5 89
 0 0 0 42654588 30082268 106 3133 0 0 0 0 0 0  0  0  0  817 1681  321  6  3 91
 0 0 0 42653012 30081036 60 1607 0 0 0 0 0  0  0  0  0  739 1104  247  6  5 89
 0 0 0 42649976 30078424 106 3134 0 0 0 0 0 0  2  0  0  804 1685  335  6  6 88
 0 0 0 42650264 30078116 171 4690 0 0 0 0 0 0  0  0  0  844 2255  385  6  4 90
 0 0 0 42713372 30140984 60 1603 0 0 0 0 0  0  0  0  0  760 1128  250  6  5 89
 0 0 0 43282880 30707088 250 5930 0 0 0 0 0 0  2  0  0  925 5906  412  1  4 95
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43321812 30744276 100 3138 0 0 0 0 0 0  0  0  0  760 1697  326  0  3 97
 0 0 0 43321464 30744716 77 2223 0 0 0 0 0  0  0  0  0  812 1349  279  0  5 95
 0 0 0 43321820 30745764 128 4054 0 0 0 0 0 0  2  0  0  812 2015  379  0  4 96
