time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
340,10243189,6085709,1.0243189,0.6085709,48,59,38,30,36,27,17,38,29,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1609,1287.2,965.4,48.27,48.27,0,95.4
350,1472067,1146953,0.1472067,0.1146953,48,60,38,30,36,27,17,38,30,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1603,1282.4,961.8,48.09,48.09,0,0
360,8686513,5634780,0.8686513,0.563478,48,60,38,30,36,27,17,38,30,30,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1611,1288.8,966.6,48.33,48.33,0,0
370,509746571,321178006,50.9746571,32.1178006,47,60,38,30,36,27,17,38,30,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1608,1286.4,964.8,48.24,48.24,0,33.1
380,335389754,218647468,33.5389754,21.8647468,48,58,38,30,36,27,17,38,30,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1629,1303.2,977.4,48.87,48.87,0,0
390,14326787,8974271,1.4326787,0.8974271,49,57,38,30,36,28,17,38,30,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1638,1310.4,982.8,49.14,49.14,0,0
400,521538589,336805040,52.1538589,33.680504,45,59,38,30,36,27,17,38,30,30,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1635,1308,981,49.05,49.05,0,28.1
410,2825816,2166268,0.2825816,0.2166268,45,59,38,30,36,27,17,38,30,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1609,1287.2,965.4,48.27,48.27,0,0
420,763685,674420,0.0763685,0.067442,47,59,38,30,36,28,17,38,31,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1608,1286.4,964.8,48.24,48.24,0,0
430,92476838,61504805,9.2476838,6.1504805,47,59,38,30,36,27,17,38,31,30,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1700,1360,1020,51,51,0,29.3
440,3382100,2332625,0.33821,0.2332625,46,60,38,30,36,28,17,38,31,30,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1615,1292,969,48.45,48.45,0,0
450,3997251,2626797,0.3997251,0.2626797,46,60,38,31,36,28,17,38,31,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1653,1322.4,991.8,49.59,49.59,0,0
460,9246124,5880861,0.9246124,0.5880861,45,60,38,31,36,28,17,38,31,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1654,1323.2,992.4,49.62,49.62,0,34
470,10502120,8248275,1.050212,0.8248275,47,59,38,31,36,28,17,38,31,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1662,1329.6,997.2,49.86,49.86,0,0
480,10377653,8559560,1.0377653,0.855956,44,60,38,31,36,28,17,38,31,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1632,1305.6,979.2,48.96,48.96,0,0
490,5707288,3911926,0.5707288,0.3911926,46,59,39,31,36,28,17,38,31,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1668,1334.4,1000.8,50.04,50.04,0,35.3
500,1341669800,688260648,134.16698,68.8260648,45,60,38,31,36,28,17,38,31,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1652,1321.6,991.2,49.56,49.56,0,0
510,5333310,3387791,0.533331,0.3387791,44,60,38,31,36,28,17,38,31,30,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1661,1328.8,996.6,49.83,49.83,0,0
520,4980223,4065366,0.4980223,0.4065366,44,60,39,31,36,28,17,38,31,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1614,1291.2,968.4,48.42,48.42,0,45.3
530,814577629,432047510,81.4577629,43.204751,42,59,39,31,37,28,17,39,31,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1787,1429.6,1072.2,53.61,53.61,0,0
540,74275005,47452487,7.4275005,4.7452487,47,57,39,31,37,28,17,39,31,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1628,1302.4,976.8,48.84,48.84,0,0
550,370473779,189839017,37.0473779,18.9839017,51,51,39,31,37,28,17,39,31,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1570,1256,942,47.1,47.1,0,39.5
