 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9162132 6014112 122 3692 0 0 0 0  0  0  0  0  0  428 5800  244 25  8 67
 0 0 0 9148144 6001604 134 3784 0 0 0 0  0  0  0  0  0  417 2983  248 26  9 65
 0 0 0 9137656 5991596 139 3916 0 0 0 0  0  2  0  0  0  446 3970  296 25  9 65
 0 0 0 9124068 5977224 13 1138 0 0 0  0  0  0  0  0  0  359 1662   88 25  1 74
 0 0 0 9094636 5950336 127 4372 0 0 0 0  0  0  0  0  0  415 2319  255 25  9 66
 0 0 0 9073124 5931360 134 5858 0 0 0 0  0  0  0  0  0  408 2433  247 25  9 65
 0 0 0 9030280 5889892 87 2659 0 0 0  0  0  0  0  0  0  381 3106  200 25  9 66
 0 0 0 9076092 5937344 390 19328 0 0 0 0 0  0  0  0  0  390 3016  158 20  6 74
 0 0 0 9085260 5999988 262 34155 0 0 0 0 0  2  0  0  0  539 3544  305 20 16 64
 0 0 0 9103804 6052032 257 22815 0 0 0 0 0  0  0  0  0  584 3698  258 20 15 64
 0 0 0 9109644 6017556 239 34707 0 0 0 0 0  0  0  0  0  409 3547  221 17 15 67
 0 0 0 9112808 6031312 447 37175 0 0 0 0 0  0  0  0  0  402 5051  229 17 11 71
 0 0 0 9061288 5913128 412 47461 0 0 0 0 0  0  0  0  0  407 4782  282 15 21 64
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9188976 6040112 1697 30121 0 0 0 0 0 0  0  0  0  430 13185 396 18 19 63
 0 0 0 9073408 6005052 934 46550 0 0 0 0 0  3  0  0  0  633 7857  286 14 19 68
 0 0 0 9257168 6096664 1445 24765 0 0 0 0 0 0  0  0  0  406 12701 327 20 12 68
 0 0 0 9143596 6025784 1098 34854 0 0 0 0 0 0  0  0  0  423 10386 354 17 19 63
 0 0 0 9147456 6079160 791 42958 0 0 0 0 0  0  0  0  0  429 7573  317 16 20 64
 0 0 0 9214440 6080828 2654 34357 0 0 0 0 0 0  0  0  0  398 20233 390 15 17 67
 0 0 0 9278744 6118492 3954 32320 0 0 0 0 0 0  0  0  0  457 27541 632 16 20 64
 0 0 0 9159520 6038664 1192 55750 0 0 0 0 0 5  0  0  0  997 9574  435 14 23 63
 0 0 0 9040292 5959056 490 39824 0 0 0 0 0  0  0  0  0  413 5094  280 15 21 64
 0 0 0 9155964 6027260 180 43878 0 0 0 0 0  0  0  0  0  383 2504  122 15 12 73
 0 0 0 9154596 6054676 253 33011 0 0 0 0 0  0  0  0  0  420 3830  263 18 15 66
 0 0 0 9103104 6023524 358 46763 0 0 0 0 0  0  0  0  0  432 4426  270 15 21 64
 0 0 0 9215888 6073968 506 23536 0 0 0 0 0  0  0  0  0  437 4926  270 21 15 64
 0 0 0 9193216 6068444 53 18357 0 0 0 0  0  3  0  0  0  621 2652  150 21  5 74
 0 0 0 9242752 6084304 220 8200 0 0 0 0  0  0  0  0  0  426 4658  253 25 11 65
 0 0 0 9166880 6007824 137 9076 0 0 0 0  0  0  0  0  0  418 3309  253 25 10 65
 0 0 0 9118512 5957924 60 1442 0 0 0  0  0  0  0  0  0  362 1407  152 25  8 67
 0 0 0 9179756 6019096 159 5376 0 0 0 0  0  0  0  0  0  401 3211  203 25  3 72
 0 0 0 9179776 6081884 570 39512 0 0 0 0 0  0  0  0  0  435 5745  291 17 19 64
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9221200 6069924 336 22426 0 0 0 0 0 28  0  0  0  617 4245  321 21 15 64
 0 0 0 9244888 6132920 712 24073 0 0 0 0 0  0  0  0  0  858 6724  213 20 13 67
 0 0 0 9317476 6145320 676 7757 0 0 0 0  0  2  0  0  0  435 5708  358  4  6 90
 1 0 0 9306512 6133884 932 11135 0 0 0 0 0  0  0  0  0  470 12695 407 16 16 68
 6 0 0 9250992 6088020 2676 31649 0 0 0 0 0 0  0  0  0  740 31871 1331 71 29 0
 6 0 0 9241840 6083052 3256 33753 0 0 0 0 0 0  0  0  0  720 32284 900 71 29  0
 9 0 0 9226944 6070856 3712 33284 0 0 0 0 0 13 0  0  0 2520 32166 1132 72 28 0
 7 0 0 9222944 6069932 4740 46662 0 0 0 0 0 0  0  0  0  875 43503 1567 62 38 0
 7 0 0 9217780 6069120 3429 39933 0 0 0 0 0 0  0  0  0  819 36329 1134 65 35 0
 6 0 0 9226192 6075152 1867 27550 0 0 0 0 0 0  0  0  0  650 22068 555 77 23  0
 5 0 0 9194392 6043472 1158 19526 0 0 0 0 0 0  0  0  0  637 16464 543 85 15  0
 4 0 0 9154308 6007580 1022 17922 0 0 0 0 0 0  0  0  0  543 13300 460 88 12  0
 3 0 0 9175964 6017416 1417 17332 0 0 0 0 0 3  0  0  0 1382 11166 385 83 17  0
 0 0 0 9227860 6062116 201 4519 0 0 0 0  0  3  0  0  0  448 2881  208 26  5 70
 0 0 0 9178272 6120652 950 12845 0 0 0 0 0  0  0  0  0  413 4490  340  5 11 84
 0 0 0 8701848 5930044 134 6352 0 0 0 0  0  0  0  0  0  427 2349  252 25 10 65
 0 0 0 8701660 5929776 57 1348 0 0 0  0  0  0  0  0  0  408 1337  145 25  5 70
 0 0 0 8701624 5939428 77 2288 0 0 0  0  0  0  0  0  0  408 1600  190 25  4 70
 0 0 0 8701680 5947728 136 3628 0 0 0 0  0  4  0  0  0  588 2247  301 26  9 65
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 8701532 5948432 140 3634 0 0 0 0  0  0  0  0  0  422 2161  243 26  9 65
 0 0 0 8701528 5948348 39 1089 0 0 0  0  0  0  0  0  0  372 1150  146 25  4 71
