Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,time , HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
460,41,52,34,46,3645.6,3645.6,9656,9656,770,5.66E+05,220628572,7.63E+07,177420,1.72E+05,2.55E+06,2.42E+07,0.5661803,220.628572,76.27265,1.77E+00,1.72E+00,2.55E+01,2.42E+02,2061,1145,164.88,123.66,61.83,64.3032,0,0,0,0,0,0
465,41,51,34,46,3645.6,3645.6,9656,9656,775,8.48E+05,1.01E+08,1.37E+08,118729,1.48E+05,25694061,2.42E+07,0.8480927,101.4337,137.0068,1.19E+00,1.48E+00,2.57E+02,2.42E+02,2058,1145,164.64,123.48,61.74,64.2096,0,12.4,0,82.2,0,82200
470,41,52,34,46,3645.6,3645.6,9656,9656,780,2.01E+05,2.03E+08,68008189,118729,1.59E+05,2.69E+07,6.77E+04,0.2009007,203.1144,68.008189,1.19E+00,1.59E+00,2.69E+02,6.77E-01,2149,1144,171.92,128.94,64.47,67.0488,0,0,0,0,0,0
475,42,51,34,46,3645.6,3645.6,9656,9656,785,527547,2.06E+08,7.07E+07,219449,1.59E+05,7507385,1.95E+07,0.527547,205.7029,70.6842,2.19E+00,1.59E+00,7.51E+01,1.95E+02,2059,1145,164.72,123.54,61.77,64.2408,0,0,0,0,0,0
480,41,52,34,46,3645.6,3567.2,9656,9656,790,7.97E+05,191529802,133247661,2.92E+05,1.59E+05,7507385,29609232,0.7965065,191.529802,133.247661,2.92E+00,1.59E+00,7.51E+01,2.96E+02,2058,1145,164.64,123.48,61.74,64.2096,0,0,0,0,0,0
485,42,52,34,46,3645.6,3645.6,9656,9656,795,518536,2.10E+08,7.08E+07,2.92E+05,250573,19714569,7.27E+06,0.518536,209.802,70.81587,2.92E+00,2.51E+00,1.97E+02,7.27E+01,2060,1144,164.8,123.6,61.8,64.272,0,0,0,0,0,0
490,41,52,34,46,3645.6,3645.6,9656,9372,800,8.74E+05,1.56E+08,107399597,3.52E+05,250573,2.06E+07,7.27E+06,0.8737765,156.2385,107.399597,3.52E+00,2.51E+00,2.06E+02,7.27E+01,2066,1145,165.28,123.96,61.98,64.4592,0,0,0,0,0,0
495,41,52,34,46,3724,3645.6,9656,9656,805,5.20E+05,2.08E+08,7.08E+07,3.52E+05,1.90E+05,8.84E+06,18145545,0.5198543,208.4053,70.76327,3.52E+00,1.90E+00,8.84E+01,1.81E+02,2055,1144,164.4,123.3,61.65,64.116,0,12.8,0,108.6,0,108600
500,42,51,34,46,3645.6,3645.6,9372,9656,810,5.26E+05,2.10E+08,7.17E+07,206214,1.90E+05,1.80E+07,9.04E+06,0.5256843,209.9606,71.66555,2.06E+00,1.90E+00,1.80E+02,9.04E+01,2059,1145,164.72,123.54,61.77,64.2408,0,0,0,0,0,0
505,41,52,34,46,3645.6,3645.6,9656,9372,815,5.23E+05,2.06E+08,70287744,2.40E+05,1.90E+05,1.50E+07,11971102,0.5232933,205.7866,70.287744,2.40E+00,1.90E+00,1.50E+02,1.20E+02,2061,1144,164.88,123.66,61.83,64.3032,0,0,0,0,0,0
510,41,52,34,46,3645.6,3645.6,9656,9656,820,5.24E+05,1.95E+08,6.67E+07,1.76E+05,1.90E+05,1727839,23929886,0.5242263,195.1848,66.73234,1.76E+00,1.90E+00,1.73E+01,2.39E+02,2059,1144,164.72,123.54,61.77,64.2408,0,0,0,0,0,0
515,41,52,34,46,3645.6,3645.6,9656,9656,825,4.57E+05,3.66E+07,2.35E+07,5.43E+04,1.90E+05,6.38E+05,23929886,0.4567385,36.62432,23.53574,5.43E-01,1.90E+00,6.38E+00,2.39E+02,2049,1145,163.92,122.94,61.47,63.9288,0,0,0,0,0,0
520,41,52,34,46,3645.6,3645.6,9656,9656,830,550917,40226019,29950784,2.92E+05,1.90E+05,9521461,23929886,0.550917,40.226019,29.950784,2.92E+00,1.90E+00,9.52E+01,2.39E+02,2134,1144,170.72,128.04,64.02,66.5808,0,0,0,0,0,0
525,41,52,34,46,3645.6,3645.6,9656,9656,835,5.24E+05,5.76E+07,2.06E+07,2.92E+05,2.05E+05,8.16E+06,1.19E+06,0.5242963,57.64289,20.60523,2.92E+00,2.05E+00,8.16E+01,1.19E+01,2049,1145,163.92,122.94,61.47,63.9288,0,12.2,0,83.9,0,83900
530,41,52,34,46,3645.6,3645.6,9372,9656,840,782884,4.35E+07,3.09E+07,2.92E+05,3.01E+05,8.16E+06,5526354,0.782884,43.51214,30.87412,2.92E+00,3.01E+00,8.16E+01,5.53E+01,2038,1143,163.04,122.28,61.14,63.5856,0,0,0,0,0,0
535,41,52,34,46,3645.6,3645.6,9372,9656,845,5.25E+05,5.49E+07,20121180,2.01E+05,3.01E+05,1.44E+05,9.24E+06,0.5248553,54.8665,20.12118,2.01E+00,3.01E+00,1.44E+00,9.24E+01,2041,1143,163.28,122.46,61.23,63.6792,0,0,0,0,0,0
540,41,52,34,46,3645.6,3645.6,9656,9656,850,5.21E+05,5.62E+07,20288912,2.01E+05,2.00E+05,8741275,5.57E+05,0.5208563,56.24555,20.288912,2.01E+00,2.00E+00,8.74E+01,5.57E+00,2045,1144,163.6,122.7,61.35,63.804,0,0,0,0,0,0
545,41,53,34,46,3645.6,3645.6,9372,9372,855,5.26E+05,5.73E+07,20311772,2.01E+05,2.25E+05,5951772,3.35E+06,0.5255803,57.25348,20.311772,2.01E+00,2.25E+00,5.95E+01,3.35E+01,2039,1145,163.12,122.34,61.17,63.6168,0,0,0,0,0,0
550,42,52,34,46,3645.6,3645.6,9656,9656,860,5.79E+05,55367822,2.05E+07,2.01E+05,1.45E+05,3016775,6.33E+06,0.5791677,55.367822,20.45234,2.01E+00,1.45E+00,3.02E+01,6.33E+01,2041,1143,163.28,122.46,61.23,63.6792,0,0,0,0,0,0
555,41,52,34,46,3645.6,3645.6,9372,9656,865,5.25E+05,5.65E+07,1.98E+07,2.01E+05,223812,5605766,3.72E+06,0.5250837,56.45327,19.83137,2.01E+00,2.24E+00,5.61E+01,3.72E+01,2044,1145,163.52,122.64,61.32,63.7728,0,16.6,0,96.9,0,96900
560,41,52,34,46,3645.6,3645.6,9656,9656,870,5.27E+05,5.69E+07,2.00E+07,194747,223812,829034,8.48E+06,0.5272307,56.87096,20.00948,1.95E+00,2.24E+00,8.29E+00,8.48E+01,2043,1144,163.44,122.58,61.29,63.7416,0,0,0,0,0,0
565,41,52,34,46,3645.6,3645.6,9656,9656,875,1.57E+05,4.26E+07,1.46E+07,2.84E+04,223812,2.70E+04,9.05E+06,0.1569937,42.55192,14.56999,2.84E-01,2.24E+00,2.70E-01,9.05E+01,2043,1144,163.44,122.58,61.29,63.7416,0,0,0,0,0,0
570,41,52,34,46,3645.6,3645.6,9656,9656,880,4.62E+05,5.45E+07,1.95E+07,2.84E+04,1.74E+05,2.98E+06,6.25E+06,0.4621853,54.5353,19.52226,2.84E-01,1.74E+00,2.98E+01,6.25E+01,2088,1144,167.04,125.28,62.64,65.1456,0,0,0,0,0,0
575,41,52,34,46,3724,3645.6,9656,9656,885,795077,42551650,30090536,314930,1.74E+05,1.37E+07,6.25E+06,0.795077,42.55165,30.090536,3.15E+00,1.74E+00,1.37E+02,6.25E+01,2048,1145,163.84,122.88,61.44,63.8976,0,0,0,0,0,0
580,41,52,34,46,3645.6,3645.6,9372,9656,890,859438,40979321,3.00E+07,339563,1.74E+05,10616716,6.25E+06,0.859438,40.979321,29.9776,3.40E+00,1.74E+00,1.06E+02,6.25E+01,2042,1144,163.36,122.52,61.26,63.7104,0,0,0,0,0,0
585,41,52,34,46,3645.6,3645.6,9372,9656,895,5.30E+05,60463453,2.14E+07,339563,2.07E+05,8.79E+06,5.37E+05,0.5300523,60.463453,21.37892,3.40E+00,2.07E+00,8.79E+01,5.37E+00,2043,1145,163.44,122.58,61.29,63.7416,0,12.4,0,86.9,0,86900
590,41,52,34,47,3645.6,3645.6,9656,9656,900,532743,6.25E+07,2.21E+07,339563,2.10E+05,4770400,4531105,0.532743,62.52258,22.1346,3.40E+00,2.10E+00,4.77E+01,4.53E+01,2057,1143,164.56,123.42,61.71,64.1784,0,0,0,0,0,0
595,41,53,34,47,3567.2,3567.2,9656,9656,905,5.26E+05,5.99E+07,2.18E+07,1.93E+05,2.10E+05,4019766,5197254,0.5257397,59.89671,21.77518,1.93E+00,2.10E+00,4.02E+01,5.20E+01,2059,1144,164.72,123.54,61.77,64.2408,0,0,0,0,0,0
600,41,52,34,47,3645.6,3645.6,9656,9656,910,517859,61005616,2.14E+07,1.93E+05,2.02E+05,5.36E+06,3.89E+06,0.517859,61.005616,21.44052,1.93E+00,2.02E+00,5.36E+01,3.89E+01,2059,1143,164.72,123.54,61.77,64.2408,0,0,0,0,0,0
605,41,53,34,47,3645.6,3645.6,9372,9656,915,5.23E+05,6.29E+07,2.19E+07,179162,2.02E+05,523737,8746262,0.5229853,62.88632,21.9265,1.79E+00,2.02E+00,5.24E+00,8.75E+01,2061,1144,164.88,123.66,61.83,64.3032,0,0,0,0,0,0
610,41,52,34,47,3645.6,3645.6,9372,9372,920,1110538,2.77E+07,3.97E+07,1.17E+05,1.05E+05,523737,5.58E+05,1.110538,27.72016,39.65509,1.17E+00,1.05E+00,5.24E+00,5.58E+00,2059,1144,164.72,123.54,61.77,64.2408,0,0,0,0,0,0
615,41,52,34,47,3645.6,3645.6,9656,9656,925,116911,5.61E+07,1.90E+07,1.17E+05,1.59E+05,6.77E+04,9252337,0.116911,56.06717,19.03899,1.17E+00,1.59E+00,6.77E-01,9.25E+01,2216,1143,177.28,132.96,63.48,66.0192,0,12.4,0,87.8,0,87800
620,41,53,34,47,3645.6,3567.2,9656,9656,930,5.16E+05,6.26E+07,21886667,1.17E+05,224701,6.09E+06,3.31E+06,0.5164437,62.64016,21.886667,1.17E+00,2.25E+00,6.09E+01,3.31E+01,2059,1143,164.72,123.54,61.77,64.2408,0,0,0,0,0,0
625,42,52,34,47,3645.6,3645.6,9656,9372,935,5.21E+05,6.01E+07,2.18E+07,1.83E+05,224701,1.59E+05,9.20E+06,0.5205147,60.08089,21.80071,1.83E+00,2.25E+00,1.59E+00,9.20E+01,2060,1144,164.8,123.6,61.8,64.272,0,0,0,0,0,0
630,41,52,34,47,3724,3645.6,9656,9656,940,5.25E+05,60908186,21343822,1.83E+05,2.12E+05,3.15E+06,6144303,0.5254193,60.908186,21.343822,1.83E+00,2.12E+00,3.15E+01,6.14E+01,2058,1145,164.64,123.48,61.74,64.2096,0,0,0,0,0,0
635,41,52,34,47,3645.6,3645.6,9656,9656,945,522844,6.29E+07,2.23E+07,1.83E+05,219095,3.38E+06,5937562,0.522844,62.92938,22.25906,1.83E+00,2.19E+00,3.38E+01,5.94E+01,2058,1144,164.64,123.48,61.74,64.2096,0,0,0,0,0,0
640,41,51,34,47,3645.6,3645.6,9656,9656,950,5.71E+05,6.28E+07,2.28E+07,269189,219095,8.23E+06,1002967,0.5710083,62.84129,22.83641,2.69E+00,2.19E+00,8.23E+01,1.00E+01,2062,1143,164.96,123.72,61.86,64.3344,0,0,0,0,0,0
645,41,51,34,46,3645.6,3645.6,9372,9656,955,5.26E+05,6.22E+07,21740473,3.02E+05,219095,5273281,3992230,0.5258807,62.21327,21.740473,3.02E+00,2.19E+00,5.27E+01,3.99E+01,2062,1144,164.96,123.72,61.86,64.3344,0,16.2,0,100.6,0,100600
650,42,52,34,46,3645.6,3645.6,9656,9656,960,5.25E+05,8.93E+07,31412604,3.02E+05,1.74E+05,8.69E+05,1.30E+07,0.5246833,89.28544,31.412604,3.02E+00,1.74E+00,8.69E+00,1.30E+02,2058,1143,164.64,123.48,61.74,64.2096,0,0,0,0,0,0
655,41,51,34,46,3645.6,3645.6,9372,9656,965,5.23E+05,5.85E+07,21216767,3.02E+05,1.33E+05,1.47E+07,13628398,0.5230797,58.52809,21.216767,3.02E+00,1.33E+00,1.47E+02,1.36E+02,2028,1143,162.24,121.68,60.84,63.2736,0,0,0,0,0,0
660,41,51,34,46,3645.6,3645.6,9656,9372,970,7.42E+05,28881264,39720477,116418,166722,1.47E+07,26997315,0.7422577,28.881264,39.720477,1.16E+00,1.67E+00,1.47E+02,2.70E+02,2025,1144,162,121.5,60.75,63.18,0,0,0,0,0,0
665,41,51,34,46,3645.6,3645.6,9656,9372,975,3.75E+05,4.14E+07,27925881,116418,222163,25918879,26997315,0.3753265,41.35289,27.925881,1.16E+00,2.22E+00,2.59E+02,2.70E+02,2062,1144,164.96,123.72,61.86,64.3344,0,0,0,0,0,0
670,41,51,34,46,3645.6,3645.6,9656,9372,980,8.51E+05,46570495,3.42E+07,528773,222163,25918879,40076660,0.8512415,46.570495,34.1916,5.29E+00,2.22E+00,2.59E+02,4.01E+02,2023,1143,161.84,121.38,60.69,63.1176,0,0,0,0,0,0
675,41,51,34,46,3645.6,3645.6,9656,9656,985,5.23E+05,6.38E+07,2.26E+07,528773,2.12E+05,18525134,9.87E+06,0.5231307,63.84597,22.64992,5.29E+00,2.12E+00,1.85E+02,9.87E+01,2026,1144,162.08,121.56,60.78,63.2112,0,11.4,0,90.4,0,90400
680,41,51,34,46,3645.6,3645.6,9656,9656,990,5.25E+05,62946382,22463191,528773,1.86E+05,19350867,9.01E+06,0.5246893,62.946382,22.463191,5.29E+00,1.86E+00,1.94E+02,9.01E+01,2024,1144,161.92,121.44,60.72,63.1488,0,0,0,0,0,0
685,41,51,34,46,3645.6,3645.6,9656,9656,995,5.21E+05,60309350,21825500,2.10E+05,1.86E+05,16011301,1.22E+07,0.5211753,60.30935,21.8255,2.10E+00,1.86E+00,1.60E+02,1.22E+02,2023,1143,161.84,121.38,60.69,63.1176,0,0,0,0,0,0
690,41,50,34,46,3645.6,3645.6,9656,9656,1000,5.16E+05,66430264,2.37E+07,2.10E+05,525817,1.53E+05,2.79E+07,0.5162577,66.430264,23.70859,2.10E+00,5.26E+00,1.53E+00,2.79E+02,2027,1143,162.16,121.62,60.81,63.2424,0,0,0,0,0,0
695,41,50,34,46,3724,3645.6,9656,9656,1005,5.24E+05,6.30E+07,2.22E+07,2.19E+05,525817,2.23E+07,6.25E+06,0.5236943,62.99597,22.17562,2.19E+00,5.26E+00,2.23E+02,6.25E+01,2027,1145,162.16,121.62,60.81,63.2424,0,0,0,0,0,0
700,41,50,34,46,3645.6,3645.6,9372,9656,1010,5.66E+05,6.13E+07,22214300,2.28E+05,525817,1.28E+07,15222458,0.5664207,61.25435,22.2143,2.28E+00,5.26E+00,1.28E+02,1.52E+02,2029,1144,162.32,121.74,60.87,63.3048,0,0,0,0,0,0
705,41,50,34,46,3645.6,3645.6,9656,9656,1015,5.24E+05,63869777,2.24E+07,2.28E+05,2.30E+05,1.68E+07,1.17E+07,0.5238913,63.869777,22.35165,2.28E+00,2.30E+00,1.68E+02,1.17E+02,2030,1144,162.4,121.8,60.9,63.336,0,11,0,91.2,0,91200
710,42,49,34,46,3567.2,3645.6,9372,9656,1020,4.37E+05,38963476,2.59E+07,4.42E+04,2.30E+05,5.57E+04,1.17E+07,0.4367975,38.963476,25.85525,4.42E-01,2.30E+00,5.57E-01,1.17E+02,2025,1142,162,121.5,60.75,63.18,0,0,0,0,0,0
715,41,49,34,46,3645.6,3567.2,9372,9656,1025,3.21E+05,5.85E+07,2.14E+07,4.42E+04,1.39E+05,1.66E+05,28188702,0.3210363,58.52781,21.4047,4.42E-01,1.39E+00,1.66E+00,2.82E+02,2153,1141,172.24,129.18,64.59,67.1736,0,0,0,0,0,0
720,41,49,34,46,3645.6,3645.6,9656,9656,1030,5.18E+05,62263641,21661142,4.42E+04,2.30E+05,1.03E+07,1.79E+07,0.5183903,62.263641,21.661142,4.42E-01,2.30E+00,1.03E+02,1.79E+02,2024,1143,161.92,121.44,60.72,63.1488,0,0,0,0,0,0
725,41,49,34,45,3645.6,3645.6,9656,9656,1035,5.22E+05,6.28E+07,2.23E+07,2.19E+05,2.30E+05,6.47E+06,21768975,0.5219407,62.79916,22.34873,2.19E+00,2.30E+00,6.47E+01,2.18E+02,2031,1144,162.48,121.86,60.93,63.3672,0,0,0,0,0,0
730,42,48,34,45,3724,3645.6,9656,9656,1040,583190,1.29E+08,4.48E+07,214399,2.30E+05,2.69E+07,1.36E+06,0.58319,129.2191,44.80708,2.14E+00,2.30E+00,2.69E+02,1.36E+01,2027,1143,162.16,121.62,60.81,63.2424,0,0,0,0,0,0
735,42,48,34,45,3645.6,3645.6,9656,9656,1045,5.19E+05,2.25E+08,76220758,214399,2.39E+05,1.66E+07,11950135,0.5185667,225.2859,76.220758,2.14E+00,2.39E+00,1.66E+02,1.20E+02,2066,1143,165.28,123.96,61.98,64.4592,0,10.4,0,92.9,0,92900
740,41,48,34,45,3645.6,3645.6,9656,9656,1050,5.26E+05,224325894,76279974,214399,2.03E+05,1.93E+05,2.84E+07,0.5263323,224.325894,76.279974,2.14E+00,2.03E+00,1.93E+00,2.84E+02,2064,1142,165.12,123.84,61.92,64.3968,0,0,0,0,0,0
745,41,48,34,45,3645.6,3645.6,9656,9656,1055,5.30E+05,2.21E+08,7.51E+07,2.14E+05,2.03E+05,20756871,7.79E+06,0.5297277,220.7651,75.11896,2.14E+00,2.03E+00,2.08E+02,7.79E+01,2066,1142,165.28,123.96,61.98,64.4592,0,0,0,0,0,0
750,41,48,34,45,3645.6,3645.6,9656,9656,1060,5.16E+05,2.25E+08,7.61E+07,2.14E+05,2.22E+05,1.38E+06,27192458,0.5163167,225.3492,76.12031,2.14E+00,2.22E+00,1.38E+01,2.72E+02,2060,1142,164.8,123.6,61.8,64.272,0,0,0,0,0,0
755,41,48,34,45,3645.6,3645.6,9656,9656,1065,5.28E+05,2.23E+08,75515826,205717,2.22E+05,1.56E+07,1.29E+07,0.5275287,222.6775,75.515826,2.06E+00,2.22E+00,1.56E+02,1.29E+02,2072,1143,165.76,124.32,62.16,64.6464,0,0,0,0,0,0
760,41,48,34,45,3645.6,3645.6,9372,9656,1070,1.72E+05,211731619,7.12E+07,205717,6.03E+04,14115461,14402683,0.1719083,211.731619,71.21855,2.06E+00,6.03E-01,1.41E+02,1.44E+02,2070,1142,165.6,124.2,62.1,64.584,0,0,0,0,0,0
765,41,49,34,45,3645.6,3645.6,9656,9656,1075,492080,223731530,75523279,205717,2.39E+05,177077,2.82E+07,0.49208,223.73153,75.523279,2.06E+00,2.39E+00,1.77E+00,2.82E+02,2104,1142,168.32,126.24,63.12,65.6448,0,15,0,106.1,0,106100
770,41,48,34,45,3645.6,3645.6,9656,9656,1080,776941,1.70E+08,115999592,205717,296548,4.10E+07,2.82E+07,0.776941,170.4726,115.999592,2.06E+00,2.97E+00,4.10E+02,2.82E+02,2059,1141,164.72,123.54,61.77,64.2408,0,0,0,0,0,0
775,42,47,34,45,3645.6,3645.6,9656,9656,1085,5.30E+05,2.23E+08,76544512,2.15E+05,296548,9424114,1.92E+07,0.5301017,223.02,76.544512,2.15E+00,2.97E+00,9.42E+01,1.92E+02,2075,1142,166,124.5,62.25,64.74,0,0,0,0,0,0
780,41,48,34,45,3567.2,3645.6,9656,9656,1090,5.27E+05,223531185,7.58E+07,2.15E+05,1.91E+05,2.82E+07,1.98E+05,0.5265757,223.531185,75.7974,2.15E+00,1.91E+00,2.82E+02,1.98E+00,2061,1142,164.88,123.66,61.83,64.3032,0,0,0,0,0,0
785,41,47,34,44,3645.6,3645.6,9656,9656,1095,522238,222579027,7.55E+07,2.15E+05,194281,14158286,1.42E+07,0.522238,222.579027,75.53585,2.15E+00,1.94E+00,1.42E+02,1.42E+02,2065,1143,165.2,123.9,61.95,64.428,0,0,0,0,0,0
790,41,48,34,45,3567.2,3645.6,9656,9656,1100,5.81E+05,2.21E+08,7.58E+07,2.15E+05,1.34E+05,1.09E+07,17551692,0.5809503,221.2707,75.77383,2.15E+00,1.34E+00,1.09E+02,1.76E+02,2057,1142,164.56,123.42,61.71,64.1784,0,0,0,0,0,0
795,42,47,34,44,3645.6,3645.6,9656,9656,1105,5.29E+05,2.26E+08,7.63E+07,2.15E+05,2.43E+05,7.63E+06,2.10E+07,0.5293173,226.2926,76.28197,2.15E+00,2.43E+00,7.63E+01,2.10E+02,2058,1142,164.64,123.48,61.74,64.2096,0,15.8,0,105.9,0,105900
800,41,47,34,44,3567.2,3645.6,9656,9656,1110,784997,96643049,68036425,218858,2.43E+05,7.63E+06,23509036,0.784997,96.643049,68.036425,2.19E+00,2.43E+00,7.63E+01,2.35E+02,2061,1142,164.88,123.66,61.83,64.3032,0,0,0,0,0,0
