 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6656712 7716440 148 1824 0 0 0 0  0  0  0  0  0  491 1502  269 25  3 72
 0 0 0 6656456 7716324 148 1827 0 0 0 0  0  0  0  0  0  513 1552  303 25  3 72
 0 0 0 6656708 7716424 91 1011 0 0 0  0  0  1  0  0  0  477 1154  235 25  3 72
 0 0 0 6656676 7716384 57 813 0 0  0  0  0  1  0  0  0  454  900  234 25  1 74
 0 0 0 6656420 7716272 148 1826 0 0 0 0  0  0  0  0  0  494 1502  270 25  3 72
 0 0 0 6656388 7716244 148 1828 0 0 0 0  0  0  0  0  0  508 1493  282 25  3 72
 0 0 0 6656648 7716364 148 1826 0 0 0 0  0  0  0  0  0  494 1504  271 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6656364 7716228 148 1825 0 0 0 0  0  0  0  0  0  512 1490  275 25  3 72
 0 0 0 6656648 7716352 148 1827 0 1 1 0  0  1  0  0  0  523 1509  276 25  3 72
 0 0 0 6656392 7716244 148 1826 0 0 0 0  0  0  0  0  0  508 1487  274 25  3 72
 0 0 0 6656648 7716352 147 1823 0 0 0 0  0  0  0  0  0  494 1499  270 25  3 72
 0 0 0 6656396 7716244 148 1826 0 0 0 0  0  0  0  0  0  520 1490  276 25  3 72
 0 0 0 6656412 7716236 91 1009 0 0 0  0  0  0  0  0  0  457 1141  226 25  2 73
 0 0 0 6656648 7716348 57 816 0 0  0  0  0  0  0  0  0  456  894  229 25  1 74
 0 0 0 6656648 7716344 148 1826 0 1 1 0  0  0  0  0  0  521 1504  275 25  3 72
 0 0 0 6656364 7716200 148 1826 0 0 0 0  0  0  0  0  0  499 1489  276 25  3 72
 0 0 0 6656648 7716336 148 1825 0 0 0 0  0  0  0  0  0  493 1501  269 25  3 72
 0 0 0 6656392 7716228 148 1826 0 0 0 0  0  0  0  0  0  510 1487  274 25  3 72
 0 0 0 6656624 7716324 148 1827 0 0 0 0  0  0  0  0  0  493 1507  266 25  3 72
 0 0 0 6656372 7716200 148 1825 0 0 0 0  0  0  0  0  0  507 1492  277 25  3 72
 0 0 0 6656340 7716164 148 1827 0 1 1 0  0  2  0  0  0  532 1503  269 25  3 72
 0 0 0 6656624 7716296 148 1824 0 0 0 0  0  0  0  0  0  500 1488  272 25  3 72
 0 0 0 6656340 7716160 90 1008 0 0 0  0  0  0  0  0  0  450 1114  225 25  2 73
 0 0 0 6656624 7716296 58 818 0 0  0  0  0  0  0  0  0  475  913  265 25  1 74
 0 0 0 6656624 7716296 148 1826 0 0 0 0  0  0  0  0  0  503 1506  272 25  3 72
 0 0 0 6656368 7716188 148 1826 0 0 0 0  0  0  0  0  0  508 1552  306 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6656624 7716296 148 1824 0 0 0 0  0  1  0  0  0  522 1504  272 25  3 72
 0 0 0 6656348 7716168 148 1827 0 0 0 0  0  0  0  0  0  503 1491  274 25  3 72
 0 0 0 6656316 7716136 148 1826 0 0 0 0  0  0  0  0  0  486 1503  269 25  3 72
 0 0 0 6656572 7716256 148 1825 0 0 0 0  0  0  0  0  0  498 1491  274 25  3 72
 0 0 0 6656288 7716112 148 1824 0 0 0 0  0  0  0  0  0  500 1505  270 25  3 72
 0 0 0 6656572 7716236 148 1827 0 0 0 0  0  0  0  0  0  507 1490  270 25  3 72
