Time Temp Temp Temp Ambient_Temp Temp Ambient_Temp Ambient_Temp Planar_Temp IOH_THERMTRIP CPU_Temp_Interf Temp Temp Temp FAN_MOD_1A_RPM FAN_MOD_2A_RPM FAN_MOD_3A_RPM FAN_MOD_4A_RPM FAN_MOD_5A_RPM FAN_MOD_6A_RPM FAN_MOD_1B_RPM FAN_MOD_2B_RPM FAN_MOD_3B_RPM FAN_MOD_4B_RPM FAN_MOD_5B_RPM FAN_MOD_6B_RPM Fan_Redundancy et
510 -57 -48 39 29 36 27 15 39 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
520 -57 -49 38 29 36 27 15 39 5Dh 76h 28 36 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
530 -57 -49 39 30 36 27 15 39 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
540 -57 -51 39 29 36 27 14 39 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
550 -57 -50 39 29 37 27 14 39 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
560 -54 -51 39 29 36 27 14 39 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
570 -53 -51 39 29 37 27 14 39 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
580 -57 -48 39 29 37 27 14 39 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
590 -53 -48 38 29 37 27 14 39 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
600 -56 -48 38 29 37 27 14 39 5Dh 76h 28 37 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
610 -57 -47 39 29 36 27 14 39 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
620 -57 -47 38 29 37 27 14 39 5Dh 76h 28 37 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
630 -57 -47 39 29 36 27 14 39 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
640 -53 -50 38 29 37 27 14 39 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
650 -57 -50 38 29 36 27 14 39 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
660 -57 -50 39 29 37 27 14 39 5Dh 76h 28 37 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
670 -53 -55 38 29 36 27 14 39 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
680 -52 -55 38 29 36 27 14 39 5Dh 76h 28 36 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
690 -53 -55 38 29 36 27 14 39 5Dh 76h 29 35 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
700 -52 -56 38 29 36 27 15 39 5Dh 76h 29 35 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
710 -51 -56 38 29 36 27 15 39 5Dh 76h 30 35 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
