Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
145,45,51,37,47,3645.6,3567.2,8662,8449,495012,492621,493816.5,371592672,371793175,371692923.5,246703587,246563857,246633722,1429918,3121663,47936885,22471314,228.8,115,1.83,171.6,137.28,68.64,0.49,371.69,246.63,14.3,31.22,479.37,224.71,0,0,0,0,0,0
150,45,51,37,47,3567.2,3567.2,8662,8449,1544053,1543966,1544009.5,353428434,353632916,353530675,238816049,238713667,238764858,3470721,451630,71561852,409372,228.9,115.1,1.83,171.68,137.34,68.67,1.54,353.53,238.76,34.71,4.52,715.62,4.09,0,0,0,0,0,0
155,45,51,37,47,3567.2,3567.2,8662,8449,1530547,1530582,1530564.5,309144333,308941976,309043154.5,211900425,212034587,211967506,1572727,397238,74482585,460629,228.4,115,1.9,171.3,137.04,68.52,1.53,309.04,211.97,15.73,3.97,744.83,4.61,0,0,0,0,0,0
160,45,51,37,47,3567.2,3567.2,8662,8449,1521278,1521247,1521262.5,352260320,352279923,352270121.5,238456412,238416010,238436211,1634915,2131881,22214010,50266672,228.5,115,1.85,171.38,137.1,68.55,1.52,352.27,238.44,16.35,21.32,222.14,502.67,0,0,0,0,0,0
165,45,51,37,47,3488.8,3567.2,8662,8449,1533424,1533424,1533424,329631933,329630726,329631329.5,225206964,225217270,225212117,572124,2230096,72090146,2186403,228.5,115.1,1.83,171.38,137.1,68.55,1.53,329.63,225.21,5.72,22.3,720.9,21.86,0,0.6,0,3.6,0,3.6
170,45,51,37,48,3567.2,3567.2,8662,8449,1517582,1517588,1517585,359870970,359872013,359871491.5,244265106,244281173,244273139.5,3709676,521232,30007361,41796664,228.5,115,1.83,171.38,137.1,68.55,1.52,359.87,244.27,37.1,5.21,300.07,417.97,0,1.2,0,5.2,0,5.2
175,45,51,37,47,3567.2,3567.2,8662,8449,1554841,1554837,1554839,361221530,361222068,361221799,243974337,243943179,243958758,3841302,389093,70658614,1488846,228.6,114.9,1.83,171.45,137.16,68.58,1.55,361.22,243.96,38.41,3.89,706.59,14.89,0,0.2,0,0.8,0,0.8
180,45,51,37,48,3567.2,3567.2,8662,8449,1540182,1540176,1540179,396282552,396070108,396176330,265435177,265347836,265391506.5,4412628,1060764,23897205,46406628,228.7,115,1.83,171.53,137.22,68.61,1.54,396.18,265.39,44.13,10.61,238.97,464.07,0,0.4,0,1.9,0,1.9
185,45,51,37,47,3567.2,3567.2,8662,8662,1531143,1531147,1531145,328278360,328489467,328383913.5,224612888,224728309,224670598.5,2352439,436618,65475612,7957492,228.8,114.9,1.83,171.6,137.28,68.64,1.53,328.38,224.67,23.52,4.37,654.76,79.57,0,0,0,0,0,0
190,45,50,37,48,3567.2,3567.2,8662,8662,857444,857440,857442,300918843,300903334,300911088.5,204320815,204350055,204335435,1295042,155990,50895635,23783145,228.9,114.9,1.83,171.68,137.34,68.67,0.86,300.91,204.34,12.95,1.56,508.96,237.83,0,0,0,0,0,0
195,45,51,37,48,3567.2,3567.2,8662,8449,917497,917497,917497,283012282,282820308,282916295,194899177,194751310,194825243.5,411058,248854,981822,75852785,229,114.9,1.83,171.75,137.4,68.7,0.92,282.92,194.83,4.11,2.49,9.82,758.53,0,0.4,0,3.6,0,3.6
200,45,51,37,48,3567.2,3567.2,8662,8449,1530643,1530686,1530664.5,310838743,311045780,310942261.5,217543614,217633282,217588448,545712,1440909,22990501,52475665,228.7,114.9,1.83,171.53,137.22,68.61,1.53,310.94,217.59,5.46,14.41,229.91,524.76,0,1,0,6.6,0,6.6
205,45,51,37,48,3567.2,3567.2,8662,8662,1544003,1544003,1544003,328547441,328528006,328537723.5,224028135,224061725,224044930,2478963,415826,73020989,457353,228.4,114.9,1.88,171.3,137.04,68.52,1.54,328.54,224.04,24.79,4.16,730.21,4.57,0,0,0,0,0,0
210,45,51,37,47,3567.2,3645.6,8662,8449,1519940,1519938,1519939,354549017,354569586,354559301.5,241733841,241701758,241717799.5,2847010,777595,530662,71877641,228.4,114.9,1.83,171.3,137.04,68.52,1.52,354.56,241.72,28.47,7.78,5.31,718.78,0,0,0,0,0,0
215,45,51,37,48,3567.2,3567.2,8662,8449,1546353,1546318,1546335.5,299962374,299944789,299953581.5,207255628,207281370,207268499,1247729,396730,73262767,1361263,228.4,114.9,1.83,171.3,137.04,68.52,1.55,299.95,207.27,12.48,3.97,732.63,13.61,0,0,0,0,0,0
220,45,51,37,48,3567.2,3567.2,8449,8449,1531030,1531030,1531030,324373345,324374741,324374043,221497692,221516660,221507176,2249302,373677,806220,73023106,228.5,115,1.83,171.38,137.1,68.55,1.53,324.37,221.51,22.49,3.74,8.06,730.23,0,0,0,0,0,0
225,45,51,37,47,3567.2,3645.6,8662,8449,1556637,1559122,1557879.5,320944047,320958705,320951376,220883530,220920113,220901821.5,1965200,462900,54014204,20465874,228.7,115,1.83,171.53,137.22,68.61,1.56,320.95,220.9,19.65,4.63,540.14,204.66,0,0.8,0,5.3,0,5.3
230,45,51,37,48,3645.6,3645.6,8662,8449,1668353,1665872,1667112.5,334987189,334967690,334977439.5,231267318,231183574,231225446,2579994,376832,73097695,744341,228.7,115,1.83,171.53,137.22,68.61,1.67,334.98,231.23,25.8,3.77,730.98,7.44,0,0.8,0,4,0,4
235,45,50,37,47,3567.2,3645.6,8662,8449,1541231,1541227,1541229,288819700,288831077,288825388.5,200174133,200177190,200175661.5,604108,465347,1376482,74797704,228.7,115,1.83,171.53,137.22,68.61,1.54,288.83,200.18,6.04,4.65,13.76,747.98,0,0,0,0,0,0
240,45,51,37,47,3567.2,3645.6,8662,8449,417863,421540,419701.5,272317124,272233555,272275339.5,185834490,185915371,185874930.5,79917,82444,141106,75215917,228.7,115,1.83,171.53,137.22,68.61,0.42,272.28,185.87,0.8,0.82,1.41,752.16,0,0.2,0,1.6,0,1.6
245,45,51,37,47,3567.2,3567.2,8449,8449,1335853,1332209,1334031,309812418,309888273,309850345.5,213134446,213107926,213121186,485279,1512506,626531,73463053,228.8,114.9,1.83,171.6,137.28,68.64,1.33,309.85,213.12,4.85,15.13,6.27,734.63,0,0,0,0,0,0
