pic0: pic0=NB_ht_bus1_bandwidth,umask0=0x01
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x02
pic2: pic2=NB_ht_bus1_bandwidth,umask=0x04
pic3: pic3=NB_ht_bus1_bandwidth,umask=0x08,sys
   time cpu event      pic0      pic1      pic2      pic3 
1025.006   1  tick 118280045 216101844 216101844 216101844 
1030.006   1  tick  96496753  62130892  62130892  62130892 
1030.007   0  tick   1502056     17413     17413     17413 
1035.006   0  tick   1491689      2759      2759      2759 
1035.006   1  tick 109790639 166286238 166286238 166286238 
1040.006   0  tick   1592076     20103     20103     20103 
1040.006   1  tick 107739190 123826873 123826873 123826873 
1045.006   1  tick 101966346 103070515 103070515 103070515 
1045.095   0  tick   2914316     18150     18150     18150 
1050.006   0  tick     66681       546       546       546 
1050.006   1  tick 105816881 138596169 138596169 138596169 
1055.006   0  tick   2945423     18164     18164     18164 
1055.006   1  tick 103197166  90832982  90832982  90832982 
1060.006   0  tick   1589943     21127     21127     21127 
1060.006   1  tick 119352632 218854632 218854632 218854632 
1065.006   0  tick    941239       566       566       566 
1065.285   1  tick 139365596 356240040 356240040 356240040 
1070.006   0  tick   1936651     19203     19203     19203 
1070.006   1  tick 106673065 151200291 151200291 151200291 
1075.006   0  tick   1620246     18246     18246     18246 
1075.006   1  tick 129336412 295977015 295977023 295977031 
1080.006   0  tick   1595921     18274     18274     18274 
1080.006   1  tick 107844779 135548137 135548129 135548121 
1085.002   1  tick 111206573 185401344 185401344 185401344 
1085.006   0  tick    250271      2830      2830      2830 
1090.006   0  tick   2737821     18582     18582     18582 
1090.006   1  tick 118657857 202895182 202895182 202895182 
1095.006   0  tick   1667337     18353     18353     18353 
1095.006   1  tick 115789058 197113633 197113633 197113633 
1100.006   1  tick 116497269 206820206 206820206 206820206 
1100.993   0  tick   2532122     15833     15833     15833 
1105.006   0  tick    440784      5354      5354      5354 
1105.006   1  tick 102149057  98473726  98473726  98473726 
1110.006   0  tick   1621815     18218     18218     18218 
1110.006   1  tick  96603608  55576253  55576253  55576253 
1115.006   0  tick   1650147     18152     18152     18152 
1115.006   1  tick 113195220 178713242 178713242 178713242 
1120.005   1  tick 123621396 276873598 276873598 276873598 
1120.006   0  tick    694157      9581      9581      9581 
1125.006   0  tick    885229      9458      9458      9458 
1125.006   1  tick 100435623  73576232  73576232  73576232 
1130.006   0  tick   2953947     20081     20081     20081 
1130.006   1  tick 130838755 305147871 305147871 305147871 
1135.006   0  tick   1584358     18252     18252     18252 
1135.006   1  tick 114398155 188067459 188067459 188067459 
1140.006   0  tick     33906       712       712       712 
1140.007   1  tick 116206490 215958126 215958134 215958134 
1145.006   0  tick   2890335     17968     17968     17968 
1145.006   1  tick 132720240 316926658 316926650 316926650 
1150.006   0  tick   1614354     21093     21093     21093 
1150.006   1  tick 104534340 115754761 115754762 115754777 
1155.002   0  tick   1085179     11430     11430     11430 
1155.006   1  tick 134343332 346470871 346470870 346470855 
1160.006   0  tick    617893      9263      9263      9263 
1160.006   1  tick 108176322 138865315 138865315 138865315 
1165.006   0  tick   2975782     20013     20013     20013 
1165.006   1  tick 102866382 101772646 101772646 101772646 
1170.006   0  tick   1675373     18218     18218     18218 
1170.006   1  tick 105212878 120938787 120938787 120938787 
1175.006   0  tick    477241      5695      5695      5695 
1175.010   1  tick 112643347 184315654 184315671 184315671 
1180.006   0  tick   1143627     17761     17761     17761 
1180.006   1  tick 105767148 124152566 124152549 124152549 
1185.006   0  tick   1613135     18224     18224     18224 
1185.006   1  tick 125144524 264973656 264973656 264973656 
1190.006   0  tick   1644287     20805     20805     20805 
1190.006   1  tick 106994057 127439685 127439685 127439685 
1195.006   1  tick 104075415 109311914 109311914 109311914 
1195.015   0  tick    884102      9716      9716      9716 
1200.006   0  tick    750346      8902      8902      8902 
1200.006   1  tick 108907018 156920138 156920138 156920138 
1205.006   0  tick   1616523     18152     18152     18152 
1205.006   1  tick 114654173 187242171 187242171 187242171 
1210.006   0  tick   2927982     21037     21037     21037 
1210.006   1  tick 112053944 155507438 155507447 155507447 
1215.006   1  tick 120198547 254229299 254229290 254229290 
1215.007   0  tick    349771      4609      4609      4609 
1220.006   0  tick   2552604     16856     16856     16856 
1220.006   1  tick 136336627 344913422 344913438 344913438 
1225.006   0  tick   1617296     18208     18208     18208 
1225.006   1  tick 104703492 105269638 105269622 105269622 
1230.006   0  tick   1590151      3582      3582      3582 
1230.007   1  tick 130731806 325583350 325583350 325583350 
1235.006   0  tick   1314549     14976     14976     14976 
1235.006   1  tick 109687666 153334701 153334701 153334701 
1240.006   0  tick   2889986     21056     21056     21056 
1240.006   1  tick 127504156 277356366 277356366 277356366 
1245.006   1  tick 121190403 235713829 235713829 235713829 
1245.006   0  tick   1393065     18169     18169     18169 
1250.006   0  tick    265682      4832      4832      4832 
1250.006   1  tick 106657054 141185751 141185751 141185751 
1255.006   0  tick   1585400     18205     18205     18205 
1255.006   1  tick 117025835 203518708 203518721 203518724 
1260.006   0  tick   3011460     18249     18249     18249 
1260.006   1  tick 106704709 120464967 120464954 120464951 
1265.006   1  tick 117576078 236381617 236381617 236381617 
1265.918   0  tick   2051723      9240      9240      9240 
1270.006   0  tick   2239655     12159     12159     12159 
1270.006   1  tick  94014181  32068300  32068300  32068300 
1275.006   1  tick 106293486 130616083 130616083 130616083 
1275.238   0  tick   2904983     18128     18128     18128 
1280.006   0  tick     59272      2294      2294      2294 
1280.006   1  tick 104349533 114108458 114108458 114108458 
1285.006   0  tick   1645814     18190     18190     18190 
1285.006   1  tick  93729357  32541422  32541422  32541422 
1290.006   0  tick   3008083     18236     18236     18236 
1290.006   1  tick 102701964  99889774  99889784  99889790 
1295.006   0  tick    706044      9134      9134      9134 
1295.010   1  tick 112758738 184272277 184272267 184272277 
1300.006   0  tick    898343     12287     12287     12287 
1300.006   1  tick 105277026 122101946 122101946 122101930 
1305.006   0  tick   4324872     19289     19289     19289 
1305.006   1  tick  94561483  34569123  34569123  34569123 
1310.006   0  tick    669971     10400     10400     10400 
1310.007   1  tick 114055687 190626782 190626782 190626782 
1315.006   0  tick    996956     10740     10740     10740 
1315.006   1  tick 102561830 101487060 101487073 101487076 
1320.006   0  tick   2904606     18240     18240     18240 
1320.006   1  tick 134546115 330891807 330891794 330891791 
1325.006   0  tick   1625417     18255     18255     18255 
1325.006   1  tick 103996309 109957032 109957032 109957032 
1330.006   0  tick      4835      3235      3235      3235 
1330.006   1  tick  96853137  60900576  60900576  60900576 
1335.006   0  tick   1668513     22261     22261     22261 
1335.006   1  tick 111917461 168165339 168165339 168165339 
1340.006   0  tick   2953372     20528     20528     20528 
1340.006   1  tick 108454377 137401474 137401474 137401474 
1345.006   1  tick 113391115 177137995 177137995 177137995 
1345.009   0  tick    936904     10514     10514     10514 
1350.006   0  tick    702011      8082      8082      8082 
1350.006   1  tick  99210111  87944138  87944138  87944138 
1355.006   0  tick   1635449     18170     18170     18170 
1355.006   1  tick 114554801 187908186 187908186 187908186 
1360.006   0  tick   1621132     18989     18989     18989 
1360.006   1  tick 116152496 198464470 198464470 198464470 
1365.006   1  tick 124038927 256238544 256238544 256238544 
1365.007   0  tick   1500747     18371     18371     18371 
1370.006   0  tick   1456314      1271      1271      1271 
1370.006   1  tick 101770946 103458229 103458229 103458229 
1375.006   0  tick   2930746     18196     18196     18196 
