Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
190,42,45,34,42,3645.6,3645.6,9656,9656,1630089,18846667,2.01E+07,2.73E+05,1.99E+05,410623,242402,1.630089,18.846667,20.11629,2.73E+00,1.99E+00,4.11E+00,2.42E+00,2055.62,1131,1644.493617,123.3370213,61.66851064,61.66851064,0,1.2,0,0.8,0,819.2
195,42,45,34,42,3645.6,3645.6,9656,9656,1630089,19753420,2.01E+07,2.73E+05,1.99E+05,410623,410120,1.630089,19.75342,20.11629,2.73E+00,1.99E+00,4.11E+00,4.10E+00,2064.38,1135,1651.506383,123.8629787,61.93148936,61.93148936,0,0,0,0,0,0
200,42,45,34,42,3645.6,3567.2,9656,9656,1630089,20126586,2.01E+07,2.73E+05,1.99E+05,410623,241879,1.630089,20.126586,20.11629,2.73E+00,1.99E+00,4.11E+00,2.42E+00,2061.46,1135,1649.168794,123.6876596,61.84382979,61.84382979,0,0,0,0,0,0
205,42,46,34,42,3645.6,3645.6,9656,9656,7.55E+05,9.13E+06,1.01E+07,2.73E+05,1.50E+05,410623,179612,0.7553105,9.132782,10.14421,2.73E+00,1.50E+00,4.11E+00,1.80E+00,2060,1135,1648,123.6,61.8,61.8,0,0,0,0,0,0
210,42,45,34,42,3645.6,3645.6,9372,9372,8.25E+05,9697471,9.71E+06,278814,1.50E+05,410623,1.87E+05,0.8248085,9.697471,9.708362,2.79E+00,1.50E+00,4.11E+00,1.87E+00,2060,1131,1648,123.6,61.8,61.8,0,0,0,0,0,0
215,42,46,34,42,3645.6,3645.6,9656,9656,8.25E+05,19204142,9.71E+06,278814,1.50E+05,410623,331392,0.8248085,19.204142,9.708362,2.79E+00,1.50E+00,4.11E+00,3.31E+00,2070.23,1130,1656.18156,124.213617,62.10680851,62.10680851,0,16.2,0,74.9,0,76697.6
220,42,46,34,42,3645.6,3645.6,9656,9656,8.25E+05,19057574,9.71E+06,278814,1.50E+05,541043,331392,0.8248085,19.057574,9.708362,2.79E+00,1.50E+00,5.41E+00,3.31E+00,2058.54,1128,1646.831206,123.5123404,61.75617021,61.75617021,0,1.2,0,0.8,0,819.2
225,42,46,34,42,3645.6,3567.2,9656,9656,8.25E+05,18666830,9.71E+06,278814,1.50E+05,541043,583084,0.8248085,18.66683,9.708362,2.79E+00,1.50E+00,5.41E+00,5.83E+00,2064.38,1126,1651.506383,123.8629787,61.93148936,61.93148936,0,0,0,0,0,0
230,42,46,34,42,3645.6,3645.6,9656,9656,756531,9144376,1.01E+07,278814,1.74E+05,2.77E+05,583084,0.756531,9.144376,10.05722,2.79E+00,1.74E+00,2.77E+00,5.83E+00,2065.84,1130,1652.675177,123.9506383,61.97531915,61.97531915,0,0,0,0,0,0
235,42,46,34,42,3645.6,3645.6,9656,9656,756531,17627646,1.01E+07,278814,1.74E+05,2.77E+05,277432,0.756531,17.627646,10.05722,2.79E+00,1.74E+00,2.77E+00,2.77E+00,2052.7,1130,1642.156028,123.1617021,61.58085106,61.58085106,0,0,0,0,0,0
240,42,46,34,42,3645.6,3645.6,9656,9656,756531,19501787,1.01E+07,278814,1.74E+05,537635,277432,0.756531,19.501787,10.05722,2.79E+00,1.74E+00,5.38E+00,2.77E+00,2054.16,1132,1643.324823,123.2493617,61.62468085,61.62468085,0,0,0,0,0,0
245,42,46,34,42,3645.6,3645.6,9372,9372,1527356,19501787,20049130,523414,1.74E+05,537635,277432,1.527356,19.501787,20.04913,5.23E+00,1.74E+00,5.38E+00,2.77E+00,2060,1131,1648,123.6,61.8,61.8,0,11,0,69.4,0,71065.6
250,42,46,34,42,3645.6,3645.6,9656,9656,1527356,17098068,20049130,523414,1.74E+05,632222,277432,1.527356,17.098068,20.04913,5.23E+00,1.74E+00,6.32E+00,2.77E+00,2076.07,1129,1660.856738,124.5642553,62.28212766,62.28212766,0,1.2,0,0.8,0,819.2
255,42,46,34,42,3645.6,3645.6,9656,9656,1527356,20374235,20049130,523414,1.74E+05,632222,410076,1.527356,20.374235,20.04913,5.23E+00,1.74E+00,6.32E+00,4.10E+00,2064.38,1136,1651.506383,123.8629787,61.93148936,61.93148936,0,0,0,0,0,0
260,42,46,34,42,3645.6,3645.6,9656,9656,1527356,18315141,20049130,523414,1.74E+05,632222,399224,1.527356,18.315141,20.04913,5.23E+00,1.74E+00,6.32E+00,3.99E+00,2064.38,1133,1651.506383,123.8629787,61.93148936,61.93148936,0,0,0,0,0,0
265,42,45,34,42,3724,3645.6,9656,9656,1527356,18984921,20049130,523414,1.74E+05,396261,399224,1.527356,18.984921,20.04913,5.23E+00,1.74E+00,3.96E+00,3.99E+00,2057.08,1127,1645.662411,123.4246809,61.71234043,61.71234043,0,0,0,0,0,0
270,42,45,34,42,3645.6,3645.6,9656,9656,1527356,20440969,20049130,523414,1.74E+05,446233,399224,1.527356,20.440969,20.04913,5.23E+00,1.74E+00,4.46E+00,3.99E+00,2060,1138,1648,123.6,61.8,61.8,0,0,0,0,0,0
