Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missc3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
125,43,45.44444444,34.22222222,43.22222222,3558.488889,3575.911111,8614.666667,8378,1538239,1538517.222,1538378.111,16388157.78,16582729.22,16485443.5,19312219.44,19313271.89,19312745.72,447859.7778,252109.4444,399622.1111,556289.5556,207.1333333,115.0888889,1.658888889,155.3533333,124.28,62.14,1.537777778,16.48555556,19.31222222,4.476666667,2.521111111,3.995555556,5.562222222,0,2.244444444,0,11.35555556,0,11628.08889
130,43,45.44444444,34.11111111,43.11111111,3549.777778,3584.622222,8591,8401.666667,1537604,1537333.556,1537468.778,16227964.44,16015796.44,16121880.44,18832198.33,18826704.78,18829451.56,428480.8889,248468.2222,401083,444037.2222,207.0666667,115.0555556,1.678888889,155.3022222,124.24,62.12,1.537777778,16.12111111,18.82888889,4.285555556,2.484444444,4.01,4.441111111,0,1.644444444,0,7.944444444,0,8135.111111
135,42.88888889,45.33333333,34.22222222,43.22222222,3567.2,3584.622222,8591,8425.333333,1538167.222,1538155,1538161.111,14641205.22,15956015.22,15298610.28,19476313.33,19478300.11,19477306.78,427425.3333,276243,340597.8889,493383.6667,207.1,115.0888889,1.657777778,155.3277778,124.26,62.13,1.538888889,15.29888889,19.47777778,4.273333333,2.762222222,3.406666667,4.934444444,0,1.377777778,0,6.711111111,0,6872.177778
140,43,45.22222222,34.22222222,43.11111111,3558.488889,3575.911111,8614.666667,8354.333333,699767.1111,701506,700636.5556,5050024.889,4081355,4565690,5019960.889,5016071.333,5018016.167,114052.4444,40334.66667,94223.55556,138304.3333,207.1888889,115.0777778,1.661111111,155.3933333,124.3133333,62.15666667,0.701111111,4.565555556,5.016666667,1.138888889,0.402222222,0.941111111,1.382222222,0,0.355555556,0,2.033333333,0,2082.133333
145,42.77777778,45.22222222,34.11111111,43.11111111,3558.488889,3584.622222,8662,8472.666667,1065518.556,1064113.667,1064816.111,14554516.33,14447156.89,14500836.61,16396549.33,16412198,16404373.67,396559.1111,280333,367251.2222,324697.4444,207.1444444,115.0333333,1.664444444,155.36,124.2866667,62.14333333,1.064444444,14.50111111,16.40333333,3.965555556,2.803333333,3.672222222,3.248888889,0,0.444444444,0,3.333333333,0,3413.333333
150,42.88888889,45.22222222,34.11111111,43.22222222,3558.488889,3575.911111,8567.333333,8401.666667,1546247.778,1545929.778,1546088.778,16428240.44,16173884.44,16301062.5,18676119.67,18667241.78,18671680.78,432275.2222,300829.6667,433959.5556,445799.8889,207.1,115.0666667,1.671111111,155.3266667,124.26,62.13,1.547777778,16.30111111,18.67222222,4.324444444,3.007777778,4.34,4.458888889,0,1.133333333,0,9.9,0,10137.6
155,43.11111111,45.33333333,34.11111111,43.22222222,3615.111111,3671.733333,8614.666667,8401.666667,1541890.222,1541891,1541890.611,15668802.11,15944425.44,15806613.83,17995278.44,17996806.89,17996042.67,447352.8889,332346.4444,442695.4444,395735.5556,207.0555556,115.0777778,1.675555556,155.2944444,124.2333333,62.11666667,1.54,15.80555556,17.99777778,4.474444444,3.325555556,4.426666667,3.957777778,0,1.666666667,0,6.855555556,0,7020.088889
160,43.11111111,45.11111111,34.22222222,43.22222222,3541.066667,3575.911111,8567.333333,8425.333333,1536627.111,1536624.889,1536626,16197129.44,15941721.78,16069425.67,18519179.56,18517146.78,18518163.22,431484.3333,277828.1111,436796.6667,366024.8889,208.1888889,115.0444444,1.657777778,156.1455556,124.9133333,62.45666667,1.537777778,16.06888889,18.51888889,4.314444444,2.78,4.367777778,3.661111111,0,1.222222222,0,4.933333333,0,5051.733333
165,43,45.22222222,34,43.22222222,3558.488889,3584.622222,8567.333333,8520,1535883.222,1535883.444,1535883.333,16229966.67,16199436.44,16214701.56,19451296.22,19452157.89,19451727.06,472566.7778,311090.4444,363448,443286.5556,207.3333333,115.0777778,1.661111111,155.5033333,124.4,62.2,1.537777778,16.21555556,19.45333333,4.725555556,3.112222222,3.635555556,4.433333333,0,1.022222222,0,4.466666667,0,4573.866667
170,42.88888889,45.22222222,34.11111111,43.11111111,3575.911111,3593.333333,8614.666667,8401.666667,1542542.444,1542539.889,1542541.167,14661062.44,14983122.33,14822092.39,16642618.22,16637533.33,16640075.83,460595.2222,285076,358450.5556,318861.2222,207.2222222,115.0666667,1.668888889,155.42,124.3333333,62.16666667,1.541111111,14.82333333,16.63888889,4.606666667,2.85,3.585555556,3.187777778,0,0.777777778,0,3.144444444,0,3219.911111
