Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
210,43,46,34,43,3567.2,3567.2,8662,8236,1525060,1525060,1525060,14474340,14474811,14474575.5,17697052,17705787,17701419.5,396174,227774,427981,326567,207.2,114.9,1.66,155.4,124.32,62.16,1.53,14.47,17.7,3.96,2.28,4.28,3.27,0,0,0,0,0,0
215,43,46,34,43,3488.8,3567.2,8662,8449,1561906,1561906,1561906,13719767,13719240,13719503.5,14967637,14959036,14963336.5,495840,421528,271646,239470,207.3,114.8,1.66,155.48,124.38,62.19,1.56,13.72,14.96,4.96,4.22,2.72,2.39,0,0.2,0,1.9,0,1945.6
220,43,46,34,43,3567.2,3567.2,8662,8236,1553328,1553328,1553328,12731251,12731898,12731574.5,14507614,14507809,14507711.5,484674,372298,319724,196231,207.4,114.7,1.66,155.55,124.44,62.22,1.55,12.73,14.51,4.85,3.72,3.2,1.96,0,0.2,0,2.3,0,2355.2
225,43,46,34,43,3488.8,3567.2,8662,8449,1560298,1560232,1560265,16447967,16449748,16448857.5,20358622,20352207,20355414.5,479960,432014,298462,632230,207.5,114.8,1.67,155.63,124.5,62.25,1.56,16.45,20.36,4.8,4.32,2.98,6.32,0,0,0,0,0,0
230,43,46,34,44,3567.2,3567.2,8662,8449,1536756,1536822,1536789,13451083,13451826,13451454.5,16894968,16900703,16897835.5,349142,240213,395464,387175,207.5,114.7,1.66,155.63,124.5,62.25,1.54,13.45,16.9,3.49,2.4,3.95,3.87,0,1.4,0,5.8,0,5939.2
235,44,46,34,43,3567.2,3567.2,8449,8449,1511529,1511539,1511534,11154771,11151142,11152956.5,13456431,13494614,13475522.5,283842,161598,291471,274083,207.7,114.7,1.66,155.78,124.62,62.31,1.51,11.15,13.48,2.84,1.62,2.91,2.74,0,0,0,0,0,0
240,43,46,34,43,3567.2,3567.2,8662,8449,225718,225646,225682,5698392,5699747,5699069.5,7684593,7640214,7662403.5,131332,121841,163190,197044,207.5,114.8,1.66,155.63,124.5,62.25,0.23,5.7,7.66,1.31,1.22,1.63,1.97,0,0,0,0,0,0
245,43,46,34,43,3567.2,3567.2,8662,8449,1521186,1521248,1521217,15205329,15205073,15205201,18017039,18024068,18020553.5,401588,246599,375285,387798,207.2,114.9,1.72,155.4,124.32,62.16,1.52,15.21,18.02,4.02,2.47,3.75,3.88,0,0.2,0,1.6,0,1638.4
250,43,46,34,43,3567.2,3567.2,8662,8449,1508767,1508767,1508767,14816583,14815865,14816224,17100222,17100525,17100373.5,423614,235639,410352,304648,207.2,114.8,1.66,155.4,124.32,62.16,1.51,14.82,17.1,4.24,2.36,4.1,3.05,0,0.2,0,2.3,0,2355.2
255,44,46,34,44,3567.2,3645.6,8662,8449,1530083,1530083,1530083,16602970,16606637,16604803.5,21935307,21941437,21938372,416250,212551,386231,836189,207.3,114.9,1.67,155.48,124.38,62.19,1.53,16.6,21.94,4.16,2.13,3.86,8.36,0,0.2,0,1.7,0,1740.8
260,43,46,34,43,3567.2,3567.2,8449,8449,1531973,1531973,1531973,15061454,15057106,15059280,16472416,16465797,16469106.5,565874,423343,487213,112595,207.3,114.9,1.66,155.48,124.38,62.19,1.53,15.06,16.47,5.66,4.23,4.87,1.13,0,0.8,0,3.8,0,3891.2
265,43,46,34,44,3567.2,3645.6,8449,8449,1554580,1554580,1554580,13418722,13419400,13419061,15361458,15361612,15361535,507782,386167,321421,183219,207.4,114.8,1.66,155.55,124.44,62.22,1.55,13.42,15.36,5.08,3.86,3.21,1.83,0,0.6,0,2.2,0,2252.8
