time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
480,465841951,230951850,465.841951,230.95185,54,51,38,29,36,27,16,38,28,34,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1711,1368.8,1026.6,51.33,51.33,0,0
490,479996638,242032746,479.996638,242.032746,57,50,38,29,36,27,16,38,28,34,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1600,1280,960,48,48,0,33.8
500,462121161,230568578,462.121161,230.568578,58,50,38,29,36,27,16,38,28,34,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1605,1284,963,48.15,48.15,0,0
510,476874887,239098499,476.874887,239.098499,57,50,38,29,36,27,16,38,27,34,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1696,1356.8,1017.6,50.88,50.88,0,0
520,467158119,232631913,467.158119,232.631913,58,50,38,29,36,27,16,38,27,35,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1643,1314.4,985.8,49.29,49.29,0,47.2
530,465139308,232285595,465.139308,232.285595,58,50,38,29,36,27,16,38,27,35,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1599,1279.2,959.4,47.97,47.97,0,0
540,458519792,227048089,458.519792,227.048089,58,49,38,29,36,27,16,38,27,35,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1714,1371.2,1028.4,51.42,51.42,0,0
550,474729819,238239610,474.729819,238.23961,58,49,38,29,36,27,16,38,27,35,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1613,1290.4,967.8,48.39,48.39,0,34.8
560,464018575,229882106,464.018575,229.882106,56,50,38,29,36,27,16,38,28,35,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1637,1309.6,982.2,49.11,49.11,0,0
570,458513651,227091184,458.513651,227.091184,57,49,38,29,36,27,16,38,28,35,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1593,1274.4,955.8,47.79,47.79,0,0
