Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr
565,42,52,34,48,3567.2,3567.2,8662,8662,1585105,1585105,1585105,21465180,21499390,21482285,20820715,20827252,20823983.5,226.1,114.3,1.862,169.575,135.66,67.83
570,42,52,34,48,3567.2,3567.2,8662,8662,1540752,1540752,1540752,20144253,20114724,20129488.5,23937386,23936566,23936976,226,114.3,1.816,169.5,135.6,67.8
575,42,52,34,48,3567.2,3645.6,8662,8662,1549234,1549234,1549234,17124681,17121525,17123103,18567927,18563393,18565660,226,114.3,1.819,169.5,135.6,67.8
580,42,52,34,48,3567.2,3567.2,8662,8662,373621,372070,372845.5,4464606,4318180,4391393,4540840,4451694,4496267,226.1,114.3,1.819,169.575,135.66,67.83
585,42,50,34,48,3567.2,3567.2,8662,8449,1450967,1452454,1451710.5,17975336,18105674,18040505,24749930,24833943,24791936.5,226.1,114.3,1.817,169.575,135.66,67.83
590,42,49,34,48,3567.2,3567.2,8662,8662,1582588,1582652,1582620,16363637,16378443,16371040,16876961,16879969,16878465,226.2,114.3,1.818,169.65,135.72,67.86
595,42,51,34,48,3567.2,3567.2,8662,8662,1599817,1599817,1599817,18250505,18256847,18253676,17633729,17640589,17637159,226.2,114.3,1.818,169.65,135.72,67.86
600,42,52,34,48,3567.2,3567.2,8662,8662,1581109,1581103,1581106,19171411,19160084,19165747.5,22701010,22694484,22697747,226.3,114.3,1.818,169.725,135.78,67.89
605,42,52,34,47,3567.2,3567.2,8662,8449,1559148,1559154,1559151,16320586,16318027,16319306.5,17516286,17518050,17517168,226,114.3,1.82,169.5,135.6,67.8
610,42,50,34,47,3567.2,3567.2,8662,8449,1533229,1533229,1533229,17458287,17464300,17461293.5,17323157,17322544,17322850.5,225.7,114.2,1.87,169.275,135.42,67.71
615,42,49,34,47,3567.2,3645.6,8662,8662,1578239,1578169,1578204,19275045,19163673,19219359,25036720,25030577,25033648.5,225.8,114.2,1.845,169.35,135.48,67.74
620,42,49,34,47,3567.2,3567.2,8662,8449,1575047,1575117,1575082,16887686,17027979,16957832.5,17381135,17388619,17384877,225.9,114.2,1.82,169.425,135.54,67.77
625,42,48,34,47,3567.2,3645.6,8662,8662,1533330,1519872,1526601,11074208,10991226,11032717,11210511,11201219,11205865,226,114.2,1.819,169.5,135.6,67.8
630,42,48,34,47,3567.2,3567.2,8662,8662,339907,353365,346636,10935246,10997957,10966601.5,15878641,15888711,15883676,226,114.3,1.819,169.5,135.6,67.8
635,42,48,34,47,3567.2,3567.2,8662,8662,1532800,1532800,1532800,17811693,17800575,17806134,19084088,19084531,19084309.5,226,114.3,1.818,169.5,135.6,67.8
640,42,48,34,47,3567.2,3567.2,8662,8449,1571664,1571664,1571664,15724324,15724502,15724413,16067414,16066872,16067143,226.1,114.2,1.817,169.575,135.66,67.83
645,42,48,34,46,3567.2,3645.6,8662,8662,1600153,1600071,1600112,18520313,18412599,18466456,24710087,24701379,24705733,209,114.4,1.675,156.75,125.4,62.7
650,42,48,34,46,3567.2,3567.2,8662,8662,1578753,1578835,1578794,15493128,15496659,15494893.5,17245607,17254858,17250232.5,208.7,114.3,1.675,156.525,125.22,62.61
655,42,48,34,46,3567.2,3567.2,8662,8449,1607009,1607009,1607009,23105101,23069910,23087505.5,28527426,28526406,28526916,221.3,114.3,1.809,165.975,132.78,66.39
660,42,47,34,46,3567.2,3567.2,8662,8662,1559644,1559602,1559623,36398085,36540616,36469350.5,70667463,70663415,70665439,225.9,114.2,1.864,169.425,135.54,67.77
665,42,47,34,46,3567.2,3567.2,8449,8449,1569678,1569720,1569699,32387982,32380426,32384204,63888544,63896285,63892414.5,225.1,114.3,1.808,168.825,135.06,67.53
670,42,47,34,46,3488.8,3567.2,8662,8662,1573507,1573507,1573507,31515288,31420874,31468081,62780032,62777493,62778762.5,224.7,114.3,1.702,168.525,134.82,67.41
675,42,47,34,46,3567.2,3567.2,8662,8662,1079516,1081077,1080296.5,23786514,23884419,23835466.5,53591435,53640572,53616003.5,209.3,114.4,1.674,156.975,125.58,62.79
680,42,47,34,46,3567.2,3567.2,8662,8662,743185,741624,742404.5,8584656,8585698,8585177,9911513,9860995,9886254,209.5,114.4,1.674,157.125,125.7,62.85
685,42,47,34,45,3567.2,3645.6,8662,8662,1945185,1945185,1945185,22843491,22839793,22841642,25595950,25596864,25596407,208.8,114.4,1.673,156.6,125.28,62.64
690,42,47,34,45,3645.6,3645.6,8662,8449,1536945,1536945,1536945,17686291,17685424,17685857.5,21473363,21479661,21476512,208.5,114.4,1.67,156.375,125.1,62.55
695,42,47,34,45,3488.8,3567.2,8449,8449,1539238,1539238,1539238,16388627,16392052,16390339.5,17751175,17743813,17747494,208.2,114.4,1.671,156.15,124.92,62.46
700,42,47,34,45,3567.2,3645.6,8449,8662,1542077,1542077,1542077,15521100,15516456,15518778,16349425,16350235,16349830,208.1,114.3,1.671,156.075,124.86,62.43
705,42,47,34,45,3567.2,3645.6,8662,8662,1532363,1532363,1532363,17373739,17377129,17375434,24394765,24398743,24396754,207.5,114.3,1.671,155.625,124.5,62.25
710,42,47,34,45,3567.2,3567.2,8662,8662,1544838,1544838,1544838,15526225,15529853,15528039,16799423,16794902,16797162.5,207.5,114.2,1.733,155.625,124.5,62.25
715,42,46,34,45,3567.2,3645.6,8449,8449,1542871,1542871,1542871,16863595,16853148,16858371.5,17046436,17045968,17046202,207.5,114.1,1.673,155.625,124.5,62.25
720,42,47,34,45,3567.2,3645.6,8662,8662,1531846,1531846,1531846,17629175,17637763,17633469,23548005,23557401,23552703,207.6,114.3,1.67,155.7,124.56,62.28
725,42,46,34,45,3567.2,3567.2,8662,8662,816636,816616,816626,4468115,4404137,4436126,5243053,5235144,5239098.5,207.5,114.4,1.67,155.625,124.5,62.25
730,42,46,34,45,3488.8,3567.2,8662,8662,947252,947272,947262,13509869,13572984,13541426.5,15658192,15657938,15658065,207.5,114.2,1.67,155.625,124.5,62.25
