,,,,,,,,,,,,,,,,,,Real Temp Difference,,,
scheduler,run,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat,,Average of coretemp_av,,cpu,,,,,,CPU,,,
ule,1,120,1,59.81,83.98,39.73,30.59,22.94,,,360,35.813,37.853,35.020,35.227,,360,-1.953,-1.913,2.420,0.417
ule,1,120,2,4.337,6.822,30.73,6.981,5.236,,,365,35.810,37.933,35.183,35.017,,365,-1.790,-2.000,2.540,0.207
ule,1,120,3,1.228,1.786,33.73,6.123,4.592,,,370,35.893,38.143,35.060,34.977,,370,-1.500,-1.790,2.377,-0.040
ule,1,125,0,22.47,28.32,35.1,14.32,10.74,,,375,35.893,38.143,35.100,34.977,,375,-1.457,-1.623,2.250,-0.127
ule,1,125,1,62.97,88.38,39.85,31.87,23.9,,,380,35.893,38.310,34.977,34.977,,380,-1.457,-1.457,2.083,-0.127
ule,1,125,2,4.341,6.848,30.85,7.007,5.255,,,385,35.850,38.310,35.020,34.977,,385,-1.333,-1.667,2.127,-0.167
ule,1,125,3,1.228,1.79,33.85,6.145,4.608,,,390,35.853,38.477,34.933,34.977,,390,-1.330,-1.500,1.997,-0.210
ule,1,130,0,24.3,30.78,34.98,15.01,11.26,,,395,35.810,38.433,34.977,35.017,,395,-1.207,-1.750,2.040,-0.210
ule,1,130,1,65.58,92.02,39.48,32.85,24.64,,,400,36.100,38.433,34.850,35.017,,400,-0.710,-1.750,1.873,-0.460
ule,1,130,2,4.346,6.874,30.98,7.032,5.274,,,405,36.103,38.310,35.017,35.060,,405,-0.663,-1.707,1.873,-0.500
ule,1,130,3,1.383,2.01,34.35,6.29,4.718,,,410,36.060,38.267,35.060,35.100,,410,-0.627,-2.127,1.877,-0.293
ule,1,135,0,26.1,33.2,34.85,15.69,11.77,,,415,36.060,38.600,34.767,35.100,,415,-0.627,-1.627,1.417,-0.293
ule,1,135,1,67.67,94.92,39.1,33.61,25.21,,,420,36.060,38.600,34.810,35.100,,420,-0.583,-1.293,1.210,-0.333
ule,1,135,2,4.899,7.667,31.6,7.361,5.521,,,425,36.060,38.517,34.767,35.100,,425,-0.790,-1.210,1.167,-0.333
ule,1,135,3,1.537,2.23,34.6,6.395,4.796,,,430,36.143,38.643,34.600,35.060,,430,-0.627,-1.250,1.000,-0.373
ule,1,140,0,27.78,35.45,34.85,16.35,12.26,,,435,36.187,38.727,34.603,35.017,,435,-0.790,-0.957,1.003,-0.417
ule,1,140,1,69.88,98.02,39.1,34.5,25.87,,,440,35.893,38.850,34.603,34.977,,440,-1.337,-0.833,1.043,-0.250
ule,1,140,2,5.453,8.46,31.6,7.585,5.689,,,445,35.933,38.977,34.437,34.977,,445,-1.503,-0.583,0.920,-0.250
ule,1,140,3,1.692,2.451,34.6,6.457,4.843,,,450,35.933,38.810,34.517,34.977,,450,-1.543,-0.710,1.040,-0.250
ule,1,145,0,29.25,37.38,34.85,16.91,12.68,,,455,35.977,38.600,34.643,34.937,,455,-1.627,-1.293,1.417,-0.247
ule,1,145,1,72.31,101.4,39.1,35.47,26.6,,,460,36.143,38.893,34.310,34.893,,460,-1.417,-1.500,1.293,-0.250
ule,1,145,2,6.006,9.254,31.6,7.81,5.857,,,465,36.143,38.727,34.437,34.893,,465,-1.293,-1.793,1.377,-0.250
ule,1,145,3,1.846,2.671,34.6,6.52,4.89,,,470,36.100,38.560,34.560,34.893,,470,-1.337,-2.000,1.500,-0.250
ule,1,150,0,30.82,39.47,34.98,17.54,13.16,,,475,36.143,38.643,34.393,34.937,,475,-1.167,-2.127,1.293,-0.207
ule,1,150,1,74.64,104.6,39.1,36.4,27.3,,,480,36.187,38.853,34.103,35.060,,480,-0.957,-1.960,0.837,-0.083
ule,1,150,2,6.559,10.05,31.6,8.034,6.026,,,485,36.143,38.643,34.227,35.060,,485,-0.873,-2.333,0.920,-0.040
ule,1,150,3,2.001,2.891,34.6,6.582,4.937,,,490,36.183,38.643,34.267,35.103,,490,-0.793,-2.167,0.793,0.003
ule,1,155,0,32.4,41.53,34.98,18.15,13.61,,,495,36.103,38.437,34.393,35.183,,495,-0.790,-2.000,0.667,0.083
ule,1,155,1,76.81,107.6,38.6,37.17,27.88,,,500,35.937,38.060,34.643,35.227,,500,-0.917,-2.253,0.793,0.127
ule,1,155,2,7.112,10.84,31.73,8.279,6.21,,,505,36.020,38.477,34.393,35.183,,505,-0.790,-1.670,0.420,0.040
ule,1,155,3,2.314,3.318,34.98,6.768,5.076,,,510,36.020,38.600,34.270,35.183,,510,-0.707,-1.210,0.170,-0.127
ule,1,160,0,33.95,43.56,34.98,18.75,14.06,,,515,35.977,38.433,34.437,35.143,,515,-0.667,-1.000,0.087,-0.250
ule,1,160,1,78.44,109.9,38.1,37.74,28.3,,,520,35.937,38.020,34.853,35.020,,520,-0.707,-1.417,0.503,-0.373
ule,1,160,2,8.225,12.38,32.23,8.805,6.604,,,525,35.937,38.187,34.687,35.017,,525,-0.707,-1.207,0.337,-0.377
ule,1,160,3,2.628,3.746,35.1,6.912,5.184,,,530,35.977,38.393,34.560,34.937,,530,-0.707,-1.167,0.337,-0.457
ule,1,165,0,35.13,45.04,34.98,19.19,14.39,,,535,36.017,38.560,34.393,34.850,,535,-0.877,-1.000,0.337,-0.587
ule,1,165,1,80.47,112.7,38.1,38.54,28.91,,,540,36.017,38.560,34.437,34.853,,540,-0.917,-1.167,0.503,-0.583
ule,1,165,2,9.338,13.92,32.23,9.247,6.935,,,545,35.937,38.310,34.520,34.853,,545,-1.163,-1.290,0.630,-0.540
ule,1,165,3,2.941,4.173,35.1,7.036,5.277,,,550,35.977,38.517,34.353,34.853,,550,-1.377,-1.293,0.587,-0.373
ule,1,170,0,36.05,46.15,35.23,19.57,14.68,,,555,35.933,38.350,34.477,34.893,,555,-1.460,-1.710,0.837,-0.250
ule,1,170,1,82.93,116.1,38.6,39.6,29.7,,,560,35.977,38.560,34.353,34.937,,560,-1.417,-1.500,0.713,-0.207
ule,1,170,2,10.45,15.46,32.23,9.689,7.267,,,565,36.017,38.727,34.227,34.937,,565,-1.377,-1.543,0.710,-0.207
ule,1,170,3,3.1,4.383,34.73,7.035,5.276,,,570,35.937,38.517,34.310,34.937,,570,-1.413,-1.667,0.793,-0.373
ule,1,175,0,37.11,47.45,35.48,20.01,15,,,575,35.937,38.350,34.477,34.937,,575,-1.250,-2.087,0.917,-0.330
ule,1,175,1,85.82,120,39.23,40.85,30.64,,,580,35.980,38.350,34.437,34.893,,580,-1.163,-1.960,0.753,-0.373
ule,1,175,2,11.02,16.24,31.85,9.85,7.388,,,585,35.980,38.183,34.603,34.893,,585,-0.997,-2.337,0.880,-0.373
ule,1,175,3,3.26,4.594,34.6,7.076,5.307,,,590,35.893,37.643,35.017,34.893,,590,-0.833,-2.667,1.040,-0.417
ule,1,180,0,38.36,49.01,35.6,20.5,15.37,,,595,35.893,37.643,35.017,34.850,,595,-0.833,-2.667,1.040,-0.460
ule,1,180,1,88.52,123.7,39.35,41.93,31.45,,,600,35.893,37.767,34.853,34.810,,600,-0.790,-2.377,0.753,-0.540
ule,1,180,2,11.58,17.01,31.98,10.09,7.571,,,605,35.850,37.433,35.143,34.767,,605,-0.877,-2.710,1.043,-0.583
ule,1,180,3,3.419,4.805,34.6,7.137,5.353,,,610,35.893,37.810,34.893,34.767,,610,-0.833,-2.333,0.670,-0.417
