pic0: pic0=NB_ht_bus0_bandwidth,umask0=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
pic3: pic3=NB_ht_bus1_bandwidth,umask=0x08,sys
   time cpu event      pic0      pic1      pic2      pic3 
395.010   1  tick 4986701166         0 4986701168         0 
400.010   1  tick 4986721489         0 4986721489         0 
405.010   0  tick 4986717230         0 4986717232         0 
410.010   0  tick 4986664213         0 4986664214         0 
415.010   0  tick 4986647121         0 4986647118         0 
420.010   1  tick 4986723232         0 4986723232         0 
425.010   2  tick         0 4986690363         0 4986690363 
430.010   3  tick         0 4986651386         0 4986651386 
435.010   0  tick 4986658821         0 4986658822         0 
440.010   1  tick 4986659986         0 4986659984         0 
445.010   0  tick 4986630657         0 4986630657         0 
450.010   1  tick 4986743948         0 4986743945         0 
455.010   0  tick 4986718143         0 4986718143         0 
460.010   0  tick 4986668065         0 4986668065         0 
465.010   1  tick 4986702614         0 4986702614         0 
470.010   3  tick         0 4986619127         0 4986619128 
475.010   3  tick         0 4986666652         0 4986666650 
480.010   0  tick 4986612993         0 4986612992         0 
485.010   3  tick         0 4986663195         0 4986663195 
485.010   1  tick 4986762450         0 4986762448         0 
490.010   1  tick 4986624273         0 4986624275         0 
495.010   3  tick         0 4986688789         0 4986688788 
500.010   1  tick 4986724662         0 4986724663         0 
505.010   0  tick 4986726674         0 4986726673         0 
510.010   0  tick 4986620062         0 4986620063         0 
515.010   0  tick 4986689336         0 4986689336         0 
520.010   1  tick 4986657196         0 4986657198         0 
525.010   0  tick 4986614517         0 4986614517         0 
530.010   3  tick         0 4986639610         0 4986639610 
535.010   3  tick         0 4986655780         0 4986655780 
540.010   0  tick 4986685798         0 4986685800         0 
545.010   2  tick         0 4986649796         0 4986649797 
550.010   0  tick 4986630428         0 4986630429         0 
550.011   2  tick         0 4986838046         0 4986838046 
550.011   3  tick         0 4986936578         0 4986936577 
550.011   1  tick 4987124614         0 4987124617         0 
555.010   3  tick         0 4986381804         0 4986381805 
560.010   3  tick         0 4986656916         0 4986656916 
565.010   1  tick 4986549593         0 4986549593         0 
570.010   1  tick 4986728544         0 4986728542         0 
575.010   0  tick 4986656054         0 4986656055         0 
580.010   3  tick         0 4986654783         0 4986654783 
585.010   0  tick 4986690609         0 4986690610         0 
590.010   0  tick 4986655947         0 4986655946         0 
595.010   1  tick 4986690240         0 4986690240         0 
600.010   3  tick         0 4986657726         0 4986657726 
605.010   0  tick 4986645611         0 4986645611         0 
610.010   1  tick 4986684994         0 4986684992         0 
615.010   0  tick 4986671869         0 4986671870         0 
620.010   0  tick 4986706599         0 4986706599         0 
625.010   3  tick         0 4986660084         0 4986660084 
630.010   1  tick 4986616019         0 4986616019         0 
635.010   3  tick         0 4986655182         0 4986655182 
635.012   0  tick 4988222504         0 4988222503         0 
640.010   2  tick         0 4986663167         0 4986663165 
645.010   2  tick         0 4986684269         0 4986684271 
650.010   1  tick 4986657161         0 4986657158         0 
655.010   1  tick 4986653418         0 4986653418         0 
660.010   1  tick 4986561697         0 4986561700         0 
665.010   2  tick         0 4986717877         0 4986717879 
670.010   2  tick         0 4986650474         0 4986650472 
675.010   2  tick         0 4986593021         0 4986593023 
680.010   0  tick 4986642463         0 4986642462         0 
680.010   3  tick         0 4986692917         0 4986692919 
680.011   2  tick         0 4987177762         0 4987177762 
685.010   0  tick 4986655091         0 4986655090         0 
685.010   2  tick         0 4986223060         0 4986223058 
690.010   3  tick         0 4986633202         0 4986633200 
695.010   3  tick         0 4986645967         0 4986645969 
695.010   2  tick         0 4986702615         0 4986702615 
700.010   3  tick         0 4986671130         0 4986671128 
705.010   3  tick         0 4986676919         0 4986676920 
710.011   2  tick         0 4986637084         0 4986637084 
715.010   3  tick         0 4986738515         0 4986738514 
720.010   0  tick 4986689273         0 4986689274         0 
720.010   2  tick         0 4986724616         0 4986724616 
720.011   3  tick         0 4986951872         0 4986951873 
725.010   0  tick 4986625826         0 4986625825         0 
725.010   2  tick         0 4986633091         0 4986633089 
730.010   0  tick 4986663221         0 4986663224         0 
730.010   2  tick         0 4986662674         0 4986662674 
735.010   3  tick         0 4986636949         0 4986636949 
740.010   3  tick         0 4986686726         0 4986686726 
745.010   2  tick         0 4986656189         0 4986656189 
750.010   2  tick         0 4986660237         0 4986660237 
755.010   2  tick         0 4986657978         0 4986657977 
755.010   3  tick         0 4986660620         0 4986660620 
760.010   2  tick         0 4986724034         0 4986724035 
765.010   2  tick         0 4986647405         0 4986647403 
765.011   3  tick         0 4987175324         0 4987175322 
770.010   3  tick         0 4986161361         0 4986161363 
775.010   0  tick 4986653571         0 4986653572         0 
775.010   3  tick         0 4986714836         0 4986714836 
780.010   2  tick         0 4986677056         0 4986677054 
785.010   2  tick         0 4986628205         0 4986628207 
785.010   3  tick         0 4986676050         0 4986676050 
790.010   2  tick         0 4986677637         0 4986677635 
795.010   3  tick         0 4986695276         0 4986695278 
800.010   2  tick         0 4986647661         0 4986647663 
805.010   2  tick         0 4986718354         0 4986718352 
805.011   0  tick 4987092604         0 4987092606         0 
810.010   3  tick         0 4986650926         0 4986650928 
810.010   2  tick         0 4986672240         0 4986672242 
815.010   0  tick 4986654626         0 4986654627         0 
815.010   3  tick         0 4986715815         0 4986715815 
820.010   3  tick         0 4986659495         0 4986659495 
825.010   0  tick 4986653839         0 4986653837         0 
825.010   2  tick         0 4986723393         0 4986723394 
830.010   3  tick         0 4986660810         0 4986660810 
835.010   2  tick         0 4986602508         0 4986602508 
840.010   3  tick         0 4986581157         0 4986581155 
845.010   2  tick         0 4986608997         0 4986608998 
850.010   0  tick 4986618871         0 4986618872         0 
850.010   2  tick         0 4986707262         0 4986707260 
855.010   3  tick         0 4986612153         0 4986612153 
855.010   2  tick         0 4986658855         0 4986658854 
860.010   1  tick 4986656021         0 4986656019         0 
860.010   3  tick         0 4986726321         0 4986726321 
865.010   2  tick         0 4986666974         0 4986666974 
870.010   3  tick         0 4986620571         0 4986620569 
870.010   2  tick         0 4986681238         0 4986681237 
875.010   3  tick         0 4986702692         0 4986702694 
880.010   0  tick 4986657783         0 4986657784         0 
885.010   0  tick 4986674526         0 4986674528         0 
890.010   2  tick         0 4986727057         0 4986727057 
890.019   3  tick         0 4995045423         0 4995045425 
895.010   0  tick 4986655173         0 4986655177         0 
895.010   3  tick         0 4978266870         0 4978266870 
900.010   0  tick 4986664224         0 4986664225         0 
900.010   3  tick         0 4986661763         0 4986661763 
905.010   0  tick 4986722505         0 4986722505         0 
910.010   0  tick 4986617169         0 4986617171         0 
915.010   2  tick         0 4986680660         0 4986680662 
920.010   1  tick 4986648093         0 4986648095         0 
925.010   2  tick         0 4986683963         0 4986683965 
930.010   0  tick 4986679604         0 4986679602         0 
930.023   1  tick 4999381424         0 4999381421         0 
935.010   0  tick 4986658891         0 4986658891         0 
940.010   1  tick 4986713369         0 4986713368         0 
945.010   3  tick         0 4986669504         0 4986669504 
950.010   0  tick 4986634623         0 4986634626         0 
955.010   3  tick         0 4986658710         0 4986658708 
960.010   0  tick 4986734702         0 4986734704         0 
965.010   3  tick         0 4986638933         0 4986638931 
970.010   0  tick 4986673699         0 4986673702         0 
975.010   1  tick 4986716221         0 4986716222         0 
975.018   2  tick         0 4994659366         0 4994659366 
980.010   2  tick         0 4978662045         0 4978662043 
985.011   1  tick 4986754890         0 4986754890         0 
990.010   0  tick 4986679964         0 4986679966         0 
995.010   0  tick 4986699373         0 4986699372         0 
1000.010   3  tick         0 4986652900         0 4986652900 
1005.010   0  tick 4986656991         0 4986656991         0 
1010.010   1  tick 4986741456         0 4986741456         0 
1015.010   0  tick 4986722548         0 4986722548         0 
1015.020   2  tick         0 4996194490         0 4996194489 
1020.010   2  tick         0 4977133449         0 4977133450 
1025.010   1  tick 4986674437         0 4986674438         0 
1030.010   0  tick 4986714262         0 4986714265         0 
1035.010   0  tick 4986683754         0 4986683750         0 
1040.010   3  tick         0 4986688593         0 4986688593 
1045.010   3  tick         0 4986679865         0 4986679863 
1050.010   3  tick         0 4986610741         0 4986610743 
1055.010   2  tick         0 4986724399         0 4986724397 
1060.010   2  tick         0 4986604151         0 4986604151 
1060.011   0  tick 4987147930         0 4987147929         0 
1065.010   2  tick         0 4986690036         0 4986690034 
1070.010   0  tick 4986662270         0 4986662269         0 
1075.010   2  tick         0 4986665441         0 4986665439 
1080.010   2  tick         0 4986719538         0 4986719540 
1085.010   3  tick         0 4986635753         0 4986635755 
1090.010   2  tick         0 4986697310         0 4986697312 
1095.010   3  tick         0 4986670595         0 4986670595 
1100.010   0  tick 4986667168         0 4986667166         0 
1100.020   2  tick         0 4995719069         0 4995719072 
1105.010   3  tick         0 4986681980         0 4986681980 
1110.010   2  tick         0 4986648156         0 4986648154 
1115.010   2  tick         0 4986700188         0 4986700190 
1120.010   3  tick         0 4986650908         0 4986650908 
1125.010   3  tick         0 4986693924         0 4986693926 
1130.010   2  tick         0 4986651346         0 4986651346 
1135.010   2  tick         0 4986700362         0 4986700362 
1140.010   0  tick 4986672711         0 4986672711         0 
1145.010   2  tick         0 4986652098         0 4986652100 
1145.011   0  tick 4987703754         0 4987703755         0 
1150.010   0  tick 4985592646         0 4985592646         0 
1150.010   3  tick         0 4986712218         0 4986712218 
1155.010   3  tick         0 4986624721         0 4986624720 
1160.010   2  tick         0 4986668481         0 4986668479 
1165.010   3  tick         0 4986677526         0 4986677526 
1170.010   2  tick         0 4986661968         0 4986661968 
1175.010   3  tick         0 4986622539         0 4986622541 
1180.010   3  tick         0 4986635613         0 4986635613 
1185.010   2  tick         0 4986719272         0 4986719272 
1190.010   2  tick         0 4986602525         0 4986602527 
1190.010   3  tick         0 4986728893         0 4986728893 
1195.010   0  tick 4986664954         0 4986664952         0 
1195.010   2  tick         0 4986690611         0 4986690611 
1200.010   2  tick         0 4986624439         0 4986624438 
1200.010   3  tick         0 4986687571         0 4986687571 
1205.010   3  tick         0 4986619214         0 4986619214 
1210.010   3  tick         0 4986641556         0 4986641556 
1215.010   3  tick         0 4986696379         0 4986696378 
1220.010   3  tick         0 4986623332         0 4986623333 
1225.010   3  tick         0 4986690507         0 4986690507 
1230.010   0  tick 4986681715         0 4986681708         0 
1230.016   2  tick         0 4992064986         0 4992064986 
1235.010   2  tick         0 4981237362         0 4981237362 
1240.010   2  tick         0 4986677998         0 4986677996 
1245.010   2  tick         0 4986653876         0 4986653878 
1250.010   0  tick 4986642535         0 4986642533         0 
1250.010   2  tick         0 4986723047         0 4986723047 
1255.010   2  tick         0 4986622945         0 4986622945 
1260.010   3  tick         0 4986688644         0 4986688644 
1265.010   2  tick         0 4986672490         0 4986672490 
1270.010   2  tick         0 4986692534         0 4986692534 
1270.011   1  tick 4987263159         0 4987263161         0 
1275.010   0  tick 4986628034         0 4986628035         0 
1275.010   2  tick         0 4986648106         0 4986648106 
1280.010   3  tick         0 4986662094         0 4986662093 
1285.010   2  tick         0 4986663189         0 4986663189 
1290.010   0  tick 4986673767         0 4986673767         0 
1295.010   3  tick         0 4986692499         0 4986692497 
1300.010   3  tick         0 4986631432         0 4986631434 
1305.010   3  tick         0 4986665690         0 4986665688 
1310.010   2  tick         0 4986672041         0 4986672041 
1315.010   1  tick 4986698694         0 4986698698         0 
1320.010   2  tick         0 4986636227         0 4986636228 
1320.010   3  tick         0 4986687642         0 4986687642 
1325.010   3  tick         0 4986628432         0 4986628432 
1330.010   2  tick         0 4986668938         0 4986668940 
1335.010   2  tick         0 4986641874         0 4986641874 
1335.010   3  tick         0 4986673570         0 4986673571 
1340.010   3  tick         0 4986655642         0 4986655642 
1345.010   3  tick         0 4986632015         0 4986632015 
1350.010   0  tick 4986678972         0 4986678971         0 
1355.010   2  tick         0 4986675678         0 4986675678 
1360.010   3  tick         0 4986648875         0 4986648875 
1365.010   2  tick         0 4986685420         0 4986685419 
1370.010   3  tick         0 4986618270         0 4986618272 
1375.010   3  tick         0 4986653048         0 4986653048 
1380.010   2  tick         0 4986670156         0 4986670157 
1380.010   3  tick         0 4986713897         0 4986713897 
1385.010   3  tick         0 4986601122         0 4986601120 
1390.010   3  tick         0 4986673569         0 4986673571 
1395.010   3  tick         0 4986668741         0 4986668741 
1400.010   2  tick         0 4986655118         0 4986655116 
1400.011   0  tick 4987731496         0 4987731497         0 
1405.010   3  tick         0 4986663421         0 4986663421 
1410.010   2  tick         0 4986659200         0 4986659200 
1410.010   3  tick         0 4986725622         0 4986725622 
1415.010   1  tick 4986696161         0 4986696160         0 
1415.010   3  tick         0 4986657221         0 4986657221 
1420.010   3  tick         0 4986596994         0 4986596992 
1425.010   2  tick         0 4986688264         0 4986688264 
1430.010   3  tick         0 4986702741         0 4986702743 
1435.010   3  tick         0 4986620405         0 4986620405 
1440.010   0  tick 4986696017         0 4986696018         0 
1445.010   3  tick         0 4986640625         0 4986640625 
1450.010   2  tick         0 4986658466         0 4986658466 
1455.010   3  tick         0 4986620721         0 4986620723 
1455.010   2  tick         0 4986688023         0 4986688023 
1460.010   2  tick         0 4986626952         0 4986626952 
1465.010   0  tick 4986660220         0 4986660222         0 
1470.010   2  tick         0 4986674962         0 4986674962 
1475.010   3  tick         0 4986656037         0 4986656037 
1480.010   3  tick         0 4986661484         0 4986661484 
1485.010   0  tick 4986720553         0 4986720553         0 
1485.011   1  tick 4987214348         0 4987214348         0 
1490.010   3  tick         0 4986687418         0 4986687420 
1495.010   2  tick         0 4986645573         0 4986645573 
1500.010   0  tick 4986669096         0 4986669098         0 
1500.010   3  tick         0 4986704554         0 4986704552 
1505.010   3  tick         0 4986610187         0 4986610189 
1510.010   3  tick         0 4986672667         0 4986672667 
1515.010   3  tick         0 4986703522         0 4986703522 
1520.010   2  tick         0 4986660971         0 4986660973 
1525.010   0  tick 4986709300         0 4986709301         0 
1530.010   3  tick         0 4986632989         0 4986632989 
1535.010   2  tick         0 4986627189         0 4986627189 
1540.010   2  tick         0 4986652477         0 4986652477 
1545.010   3  tick         0 4986631342         0 4986631342 
1550.010   2  tick         0 4986622508         0 4986622508 
1555.010   2  tick         0 4986695992         0 4986695992 
1560.010   3  tick         0 4986693787         0 4986693787 
1565.010   3  tick         0 4986645836         0 4986645836 
1570.010   2  tick         0 4986669782         0 4986669784 
1575.010   0  tick 4986631090         0 4986631090         0 
1580.010   3  tick         0 4986613600         0 4986613602 
1585.010   3  tick         0 4986668435         0 4986668433 
1590.010   3  tick         0 4986667101         0 4986667105 
1595.010   3  tick         0 4986642660         0 4986642658 
1600.010   3  tick         0 4986678916         0 4986678916 
1605.010   1  tick 4986682094         0 4986682094         0 
1610.010   3  tick         0 4986698913         0 4986698911 
1615.010   3  tick         0 4986617522         0 4986617524 
1620.010   3  tick         0 4986680233         0 4986680233 
1625.010   3  tick         0 4986644046         0 4986644046 
1630.010   3  tick         0 4986670440         0 4986670438 
1635.010   3  tick         0 4986660442         0 4986660444 
1640.010   2  tick         0 4986664642         0 4986664642 
1645.010   2  tick         0 4986658848         0 4986658848 
